miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	314202	31100.502386	N
hsa-let-7a-2	313710	31051.802991	Y
hsa-let-7a-3	315704	31249.174115	N
hsa-let-7b	208569	20644.682981	N
hsa-let-7c	81554	8072.419563	Y
hsa-let-7d	14571	1442.274143	N
hsa-let-7e	67384	6669.837406	N
hsa-let-7f-1	147499	14599.821139	N
hsa-let-7f-2	150709	14917.554993	N
hsa-let-7g	12259	1213.426581	N
hsa-let-7i	6533	646.652733	N
hsa-mir-1-1	185	18.311764	N
hsa-mir-1-2	190	18.806677	N
hsa-mir-100	101293	10026.235314	Y
hsa-mir-101-1	52498	5196.383773	N
hsa-mir-101-2	54470	5391.577281	N
hsa-mir-103a-1	297684	29465.509297	Y
hsa-mir-103a-2	298006	29497.381665	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	970	96.013034	N
hsa-mir-105-2	940	93.043559	N
hsa-mir-106a	32	3.167440	Y
hsa-mir-106b	3537	350.101135	N
hsa-mir-107	2636	260.917895	Y
hsa-mir-10a	3450	341.489657	N
hsa-mir-10b	5561	550.441734	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	1.088808	N
hsa-mir-1180	616	60.973226	N
hsa-mir-1181	12	1.187790	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.098983	N
hsa-mir-1185-2	1	0.098983	N
hsa-mir-1193	2	0.197965	N
hsa-mir-1197	2	0.197965	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.494913	N
hsa-mir-1224	29	2.870493	N
hsa-mir-1225	1	0.098983	N
hsa-mir-1226	21	2.078633	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	30	2.969475	N
hsa-mir-1229	16	1.583720	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.296948	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.098983	N
hsa-mir-1238	1	0.098983	N
hsa-mir-124-1	323	31.971351	N
hsa-mir-124-2	308	30.486613	N
hsa-mir-124-3	293	29.001875	N
hsa-mir-1243	11	1.088808	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.197965	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1837	181.830870	N
hsa-mir-1248	57	5.642003	N
hsa-mir-1249	117	11.580954	N
hsa-mir-1250	3	0.296948	N
hsa-mir-1251	2	0.197965	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.494913	N
hsa-mir-1254-2	12	1.187790	N
hsa-mir-1255a	1	0.098983	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.395930	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	15	1.484738	N
hsa-mir-125a	62391	6175.617737	N
hsa-mir-125b-1	20226	2002.020233	N
hsa-mir-125b-2	20757	2054.579945	N
hsa-mir-126	15860	1569.862597	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	33	3.266423	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	1.880668	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	4	0.395930	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	50	4.949125	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7	0.692878	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4707	465.910671	N
hsa-mir-1270	11	1.088808	N
hsa-mir-1271	32	3.167440	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	6	0.593895	N
hsa-mir-1276	2	0.197965	N
hsa-mir-1277	5	0.494913	N
hsa-mir-1278	1	0.098983	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4883	483.331593	N
hsa-mir-128-2	3278	324.464665	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.296948	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	1681	166.389598	N
hsa-mir-1288	6	0.593895	N
hsa-mir-1289-1	1	0.098983	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2545	251.910486	N
hsa-mir-129-2	2719	269.133443	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	7	0.692878	N
hsa-mir-1292	26	2.573545	N
hsa-mir-1293	10	0.989825	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	2	0.197965	N
hsa-mir-1295b	2	0.197965	N
hsa-mir-1296	25	2.474563	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	19	1.880668	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	608	60.181366	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	6	0.593895	N
hsa-mir-1305	2	0.197965	N
hsa-mir-1306	203	20.093449	N
hsa-mir-1307	21166	2095.063792	N
hsa-mir-130a	1802	178.366482	N
hsa-mir-130b	528	52.262765	N
hsa-mir-132	9034	894.207989	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	85	8.413513	Y
hsa-mir-133a-2	93	9.205373	Y
hsa-mir-133b	3	0.296948	Y
hsa-mir-134	1943	192.323016	N
hsa-mir-1343	35	3.464388	N
hsa-mir-135a-1	13	1.286773	N
hsa-mir-135a-2	13	1.286773	N
hsa-mir-135b	109	10.789094	N
hsa-mir-136	176	17.420922	N
hsa-mir-137	7	0.692878	N
hsa-mir-138-1	102	10.096216	N
hsa-mir-138-2	57	5.642003	N
hsa-mir-139	1782	176.386832	N
hsa-mir-140	63455	6280.935127	N
hsa-mir-141	20	1.979650	N
hsa-mir-142	6241	617.749841	N
hsa-mir-143	170042	16831.183846	N
hsa-mir-144	433	42.859427	N
hsa-mir-145	5069	501.742340	N
hsa-mir-1468	70	6.928776	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	54868	5430.972320	N
hsa-mir-146b	4605	455.814455	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	143958	14249.324073	N
hsa-mir-148b	2946	291.602472	N
hsa-mir-149	772	76.414497	N
hsa-mir-150	10655	1054.658637	N
hsa-mir-151a	60593	5997.647186	N
hsa-mir-151b	96	9.502321	N
hsa-mir-152	3110	307.835604	N
hsa-mir-153-1	3	0.296948	N
hsa-mir-153-2	79	7.819618	N
hsa-mir-1537	1	0.098983	N
hsa-mir-1538	9	0.890843	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	34	3.365405	N
hsa-mir-155	10551	1044.364456	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2994	296.353633	N
hsa-mir-15b	3607	357.029911	N
hsa-mir-16-1	1764	174.605146	N
hsa-mir-16-2	1816	179.752237	N
hsa-mir-17	13367	1323.099202	Y
hsa-mir-181a-1	41048	4063.034042	N
hsa-mir-181a-2	71504	7077.645345	N
hsa-mir-181b-1	6948	687.730475	N
hsa-mir-181b-2	6947	687.631492	N
hsa-mir-181c	2012	199.152809	N
hsa-mir-181d	693	68.594879	N
hsa-mir-182	327001	32367.379522	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	158756	15714.067246	N
hsa-mir-184	3685	364.750547	N
hsa-mir-185	5578	552.124437	N
hsa-mir-186	6593	652.591684	N
hsa-mir-187	501	49.590237	N
hsa-mir-188	94	9.304356	N
hsa-mir-18a	63	6.235898	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	1	0.098983	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	71	7.027758	N
hsa-mir-190b	277	27.418155	N
hsa-mir-191	10397	1029.121149	N
hsa-mir-1910	1	0.098983	N
hsa-mir-1911	1	0.098983	N
hsa-mir-1912	6	0.593895	N
hsa-mir-1913	1	0.098983	N
hsa-mir-1914	1	0.098983	N
hsa-mir-1915	1	0.098983	N
hsa-mir-192	4855	480.560083	Y
hsa-mir-193a	12601	1247.278600	N
hsa-mir-193b	1059	104.822477	N
hsa-mir-194-1	1308	129.469122	N
hsa-mir-194-2	1520	150.453414	N
hsa-mir-195	159	15.738219	N
hsa-mir-196a-1	22	2.177615	N
hsa-mir-196a-2	30	2.969475	N
hsa-mir-196b	19	1.880668	N
hsa-mir-197	10862	1075.148016	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	78	7.720636	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	8948	885.695493	Y
hsa-mir-199a-2	13457	1332.007628	Y
hsa-mir-199b	13722	1358.237993	Y
hsa-mir-19a	131	12.966709	N
hsa-mir-19b-1	334	33.060158	N
hsa-mir-19b-2	295	29.199840	N
hsa-mir-200a	48	4.751160	N
hsa-mir-200b	157	15.540254	N
hsa-mir-200c	642	63.546771	N
hsa-mir-202	1	0.098983	N
hsa-mir-203a	870	86.114783	N
hsa-mir-203b	1	0.098983	N
hsa-mir-204	41994	4156.671495	N
hsa-mir-205	4	0.395930	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	3	0.296948	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	5876	581.621225	N
hsa-mir-20b	54	5.345056	N
hsa-mir-21	1490979	147580.842727	N
hsa-mir-210	8920	882.923983	N
hsa-mir-211	214830	21264.412472	N
