miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	110161	16054.586264	N
hsa-let-7a-2	110051	16038.555141	N
hsa-let-7a-3	110280	16071.929024	N
hsa-let-7b	139506	20331.252542	N
hsa-let-7c	44908	6544.778642	N
hsa-let-7d	1829	266.553846	N
hsa-let-7e	6609	963.178989	N
hsa-let-7f-1	38211	5568.774754	N
hsa-let-7f-2	38507	5611.913048	N
hsa-let-7g	3304	481.516626	N
hsa-let-7i	2639	384.601203	N
hsa-mir-1-1	120	17.488497	N
hsa-mir-1-2	89	12.970636	N
hsa-mir-100	60786	8858.798310	Y
hsa-mir-101-1	75442	10994.726781	N
hsa-mir-101-2	76232	11109.859388	N
hsa-mir-103a-1	60148	8765.817799	Y
hsa-mir-103a-2	59990	8742.791278	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.291475	N
hsa-mir-105-2	2	0.291475	N
hsa-mir-106a	23	3.351962	Y
hsa-mir-106b	2236	325.869000	N
hsa-mir-107	566	82.487412	Y
hsa-mir-10a	101457	14786.087259	N
hsa-mir-10b	331154	48261.548638	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.291475	N
hsa-mir-1180	72	10.493098	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.437212	N
hsa-mir-1185-2	1	0.145737	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.291475	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.145737	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	1	0.145737	N
hsa-mir-1228	8	1.165900	N
hsa-mir-1229	1	0.145737	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	12	1.748850	N
hsa-mir-1245b	1	0.145737	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	376	54.797292	N
hsa-mir-1248	3	0.437212	N
hsa-mir-1249	15	2.186062	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.145737	N
hsa-mir-1255a	3	0.437212	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	11	1.603112	N
hsa-mir-125a	1660	241.924213	N
hsa-mir-125b-1	2208	321.788350	N
hsa-mir-125b-2	2574	375.128267	N
hsa-mir-126	14174	2065.683007	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.145737	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.874425	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	32	4.663599	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5	0.728687	N
hsa-mir-1269b	13	1.894587	N
hsa-mir-127	5821	848.337857	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	11	1.603112	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	4	0.582950	N
hsa-mir-1277	1	0.145737	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	415	60.481053	N
hsa-mir-128-2	324	47.218943	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.145737	N
hsa-mir-1283-2	1	0.145737	N
hsa-mir-1284	1	0.145737	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	210	30.604870	N
hsa-mir-1288	5	0.728687	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	9	1.311637	N
hsa-mir-129-2	8	1.165900	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.291475	N
hsa-mir-1292	1	0.145737	N
hsa-mir-1293	11	1.603112	N
hsa-mir-1294	1	0.145737	N
hsa-mir-1295a	14	2.040325	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	28	4.080649	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	13	1.894587	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.291475	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	16	2.331800	N
hsa-mir-1307	4786	697.499568	N
hsa-mir-130a	272	39.640594	N
hsa-mir-130b	70	10.201623	N
hsa-mir-132	731	106.534096	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	10	1.457375	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	64	9.327199	Y
hsa-mir-133a-2	73	10.638836	Y
hsa-mir-133b	27	3.934912	Y
hsa-mir-134	2028	295.555604	N
hsa-mir-1343	3	0.437212	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	5	0.728687	N
hsa-mir-135b	95	13.845060	N
hsa-mir-136	266	38.766169	N
hsa-mir-137	2	0.291475	N
hsa-mir-138-1	1	0.145737	N
