miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	71345	6418.704670	N
hsa-let-7a-2	71148	6400.981145	Y
hsa-let-7a-3	71726	6452.982145	N
hsa-let-7b	75086	6755.271691	N
hsa-let-7c	47575	4280.186063	Y
hsa-let-7d	1918	172.556949	N
hsa-let-7e	6234	560.855069	N
hsa-let-7f-1	31458	2830.185878	N
hsa-let-7f-2	31577	2840.891966	N
hsa-let-7g	3677	330.809126	N
hsa-let-7i	3371	303.279185	N
hsa-mir-1-1	736	66.215805	N
hsa-mir-1-2	757	68.105115	N
hsa-mir-100	160869	14472.921739	Y
hsa-mir-101-1	122107	10985.615966	N
hsa-mir-101-2	123307	11093.576518	N
hsa-mir-103a-1	42401	3814.696148	Y
hsa-mir-103a-2	42872	3857.070665	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.179934	N
hsa-mir-105-2	1	0.089967	N
hsa-mir-106a	47	4.228455	Y
hsa-mir-106b	1506	135.490493	N
hsa-mir-107	434	39.045733	Y
hsa-mir-10a	533388	47987.385889	N
hsa-mir-10b	127497	11470.538780	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.269901	N
hsa-mir-1180	45	4.048521	N
hsa-mir-1181	2	0.179934	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.269901	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.179934	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.269901	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.089967	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
