miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	108875	14774.565573	N
hsa-let-7a-2	109091	14803.877226	N
hsa-let-7a-3	108805	14765.066427	N
hsa-let-7b	56805	7708.557496	N
hsa-let-7c	23288	3160.230384	N
hsa-let-7d	8838	1199.335114	N
hsa-let-7e	20208	2742.267932	N
hsa-let-7f-1	57567	7811.962492	N
hsa-let-7f-2	58224	7901.118769	N
hsa-let-7g	7518	1020.208349	N
hsa-let-7i	29446	3995.883884	N
hsa-mir-1-1	349	47.360031	N
hsa-mir-1-2	332	45.053095	N
hsa-mir-100	83257	11298.149308	Y
hsa-mir-101-1	64709	8781.146854	N
hsa-mir-101-2	65989	8954.845535	N
hsa-mir-103a-1	82732	11226.905709	Y
hsa-mir-103a-2	82485	11193.387291	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.135702	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	46	6.242296	Y
hsa-mir-106b	2608	353.911063	N
hsa-mir-107	477	64.729899	Y
hsa-mir-10a	19872	2696.672028	N
hsa-mir-10b	58299	7911.296426	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.407106	N
hsa-mir-1180	284	38.539395	N
hsa-mir-1181	1	0.135702	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.407106	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	1.357021	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	1.221319	N
hsa-mir-1229	3	0.407106	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.135702	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.542808	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	20	2.714042	N
hsa-mir-1248	9	1.221319	N
hsa-mir-1249	5	0.678510	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1335	181.162297	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	20546	2788.135240	N
hsa-mir-125b-1	23707	3217.089562	N
hsa-mir-125b-2	23265	3157.109236	N
hsa-mir-126	38857	5272.976298	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.135702	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.542808	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	155	21.033825	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	416	56.452071	N
hsa-mir-1270	69	9.363445	N
hsa-mir-1271	27	3.663957	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.271404	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	10	1.357021	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	469	63.644282	N
hsa-mir-128-2	286	38.810799	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	1	0.135702	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.135702	N
hsa-mir-1287	200	27.140419	N
hsa-mir-1288	2	0.271404	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.135702	N
hsa-mir-129-2	2	0.271404	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.542808	N
hsa-mir-1292	2	0.271404	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.271404	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	23	3.121148	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	62	8.413530	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.135702	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.135702	N
hsa-mir-1304	1	0.135702	N
hsa-mir-1305	3	0.407106	N
hsa-mir-1306	97	13.163103	N
hsa-mir-1307	9985	1354.985417	N
hsa-mir-130a	1360	184.554849	N
hsa-mir-130b	64	8.684934	N
hsa-mir-132	632	85.763724	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	566	76.807386	Y
hsa-mir-133a-2	538	73.007727	Y
hsa-mir-133b	59	8.006424	Y
hsa-mir-134	129	17.505570	N
hsa-mir-1343	11	1.492723	N
hsa-mir-135a-1	1973	267.740233	N
hsa-mir-135a-2	2372	321.885369	N
hsa-mir-135b	2643	358.660637	N
hsa-mir-136	41	5.563786	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	253	34.332630	N
hsa-mir-138-2	144	19.541102	N
hsa-mir-139	710	96.348487	N
hsa-mir-140	8498	1153.196402	N
hsa-mir-141	16768	2275.452726	N
hsa-mir-142	10063	1365.570180	N
hsa-mir-143	253079	34343.350455	N
hsa-mir-144	633	85.899426	N
hsa-mir-145	13727	1862.782656	N
hsa-mir-1468	57	7.735019	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1041	141.265881	N
hsa-mir-146b	281416	38188.740716	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.271404	N
hsa-mir-148a	218525	29654.300270	N
hsa-mir-148b	1441	195.546719	N
hsa-mir-149	156	21.169527	N
hsa-mir-150	2137	289.995377	N
hsa-mir-151a	15749	2137.172291	N
hsa-mir-151b	55	7.463615	N
hsa-mir-152	957	129.866905	N
hsa-mir-153-1	2	0.271404	N
hsa-mir-153-2	29	3.935361	N
hsa-mir-1537	1	0.135702	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	6	0.814213	N
hsa-mir-155	1748	237.207262	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1706	231.507774	N
hsa-mir-15b	1198	162.571110	N
hsa-mir-16-1	2393	324.735113	N
hsa-mir-16-2	2442	331.384516	N
hsa-mir-17	5808	788.157767	Y
hsa-mir-181a-1	26737	3628.266909	N
hsa-mir-181a-2	66979	9089.190609	N
hsa-mir-181b-1	7072	959.685215	N
hsa-mir-181b-2	7165	972.305509	N
hsa-mir-181c	2025	274.796742	N
hsa-mir-181d	668	90.648999	N
hsa-mir-182	140899	19120.289458	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	35330	4794.355010	N
hsa-mir-184	4	0.542808	N
hsa-mir-185	549	74.500450	N
hsa-mir-186	2445	331.791622	N
hsa-mir-187	218	29.583057	N
hsa-mir-188	19	2.578340	N
hsa-mir-18a	29	3.935361	Y
hsa-mir-18b	2	0.271404	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	1	0.135702	N
hsa-mir-190a	40	5.428084	N
hsa-mir-190b	2	0.271404	N
hsa-mir-191	6584	893.462592	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	1	0.135702	N
hsa-mir-192	7749	1051.555533	Y
hsa-mir-193a	1509	204.774461	N
hsa-mir-193b	42	5.699488	N
hsa-mir-194-1	1351	183.333530	N
hsa-mir-194-2	1463	198.532165	N
hsa-mir-195	94	12.755997	N
hsa-mir-196a-1	4	0.542808	N
hsa-mir-196a-2	1	0.135702	N
hsa-mir-196b	54	7.327913	N
hsa-mir-197	2053	278.596401	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	109	14.791528	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	3030	411.177347	Y
hsa-mir-199a-2	4902	665.211669	Y
hsa-mir-199b	5141	697.644469	Y
hsa-mir-19a	210	28.497440	N
hsa-mir-19b-1	679	92.141722	N
hsa-mir-19b-2	628	85.220916	N
hsa-mir-200a	34	4.613871	N
hsa-mir-200b	42	5.699488	N
hsa-mir-200c	141436	19193.161483	N
hsa-mir-202	1	0.135702	N
hsa-mir-203a	102762	13945.018668	N
hsa-mir-203b	811	110.054399	N
hsa-mir-204	46	6.242296	N
hsa-mir-205	255	34.604034	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	3252	441.303212	N
hsa-mir-20b	80	10.856168	N
hsa-mir-21	2386109	323799.989768	N
hsa-mir-210	638	86.577936	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	18	2.442638	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.135702	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	3	0.407106	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	13	1.764127	N
hsa-mir-214	57	7.735019	N
hsa-mir-215	16	2.171234	Y
hsa-mir-216a	2	0.271404	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	134	18.184081	N
hsa-mir-218-1	424	57.537688	N
hsa-mir-218-2	369	50.074073	N
hsa-mir-219a-1	33	4.478169	N
hsa-mir-219a-2	2	0.271404	N
hsa-mir-219b	3	0.407106	N
hsa-mir-22	639122	86730.194245	N
hsa-mir-221	17172	2330.276372	N
hsa-mir-222	6436	873.378682	N
hsa-mir-223	1095	148.593794	N
hsa-mir-224	210	28.497440	N
hsa-mir-2276	1	0.135702	N
hsa-mir-2277	10	1.357021	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	226	30.668673	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	27096	3676.983961	Y
hsa-mir-23b	14070	1909.328474	Y
hsa-mir-23c	2	0.271404	N
hsa-mir-24-1	4988	676.882049	N
hsa-mir-24-2	4930	669.011327	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	55227	7494.419591	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	8707	1181.558140	N
hsa-mir-26a-2	8755	1188.071840	N
hsa-mir-26b	8151	1106.107775	N
hsa-mir-27a	7006	950.728876	Y
hsa-mir-27b	13150	1784.482547	Y
hsa-mir-28	11063	1501.272275	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	91	12.348891	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	5	0.678510	N
hsa-mir-29a	91942	12476.722002	N
hsa-mir-29b-1	5957	808.377379	Y
hsa-mir-29b-2	6683	906.897100	Y
hsa-mir-29c	18811	2552.692106	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	87	11.806082	N
hsa-mir-301b	1	0.135702	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.135702	N
hsa-mir-3065	1191	161.621195	N
hsa-mir-3074	19	2.578340	N
hsa-mir-30a	518929	70419.752363	Y
hsa-mir-30b	3604	489.070350	Y
hsa-mir-30c-1	4021	545.658123	Y
hsa-mir-30c-2	4703	638.206952	Y
hsa-mir-30d	113072	15344.107265	N
hsa-mir-30e	119187	16173.925575	Y
hsa-mir-31	879	119.282141	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	22	2.985446	N
hsa-mir-3128	1	0.135702	N
hsa-mir-3129	1	0.135702	N
hsa-mir-3130-1	6	0.814213	N
hsa-mir-3130-2	8	1.085617	N
hsa-mir-3131	1	0.135702	N
hsa-mir-3132	2	0.271404	N
hsa-mir-3133	1	0.135702	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	11	1.492723	N
hsa-mir-3137	1	0.135702	N
hsa-mir-3138	1	0.135702	N
hsa-mir-3139	2	0.271404	N
hsa-mir-3140	2	0.271404	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	0	0.000000	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	2	0.271404	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	3	0.407106	N
hsa-mir-3158-1	1	0.135702	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	1	0.135702	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	14	1.899829	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	2	0.271404	N
hsa-mir-3174	1	0.135702	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	0	0.000000	N
hsa-mir-3177	0	0.000000	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	1	0.135702	N
hsa-mir-3188	0	0.000000	N
hsa-mir-3189	1	0.135702	N
hsa-mir-3190	1	0.135702	N
hsa-mir-3191	2	0.271404	N
hsa-mir-3192	2	0.271404	N
hsa-mir-3193	3	0.407106	N
hsa-mir-3194	0	0.000000	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	0	0.000000	N
hsa-mir-3199-1	0	0.000000	N
hsa-mir-3199-2	6	0.814213	N
hsa-mir-32	324	43.967479	N
hsa-mir-3200	28	3.799659	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	0	0.000000	N
hsa-mir-3202-2	0	0.000000	N
hsa-mir-320a	3607	489.477456	Y
hsa-mir-320b-1	8	1.085617	Y
hsa-mir-320b-2	17	2.306936	Y
hsa-mir-320c-1	1	0.135702	N
hsa-mir-320c-2	1	0.135702	N
hsa-mir-320d-1	1	0.135702	N
hsa-mir-320d-2	2	0.271404	N
hsa-mir-320e	0	0.000000	N
hsa-mir-323a	0	0.000000	N
hsa-mir-323b	3	0.407106	N
hsa-mir-324	413	56.044965	N
