miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	273752	41995.075989	N
hsa-let-7a-2	273564	41966.235745	Y
hsa-let-7a-3	275529	42267.677650	N
hsa-let-7b	224890	34499.374029	N
hsa-let-7c	75453	11574.908927	Y
hsa-let-7d	7590	1164.348121	N
hsa-let-7e	64813	9942.673880	N
hsa-let-7f-1	99250	15225.500789	N
hsa-let-7f-2	100898	15478.313134	N
hsa-let-7g	5292	811.822168	N
hsa-let-7i	4640	711.801750	N
hsa-mir-1-1	212	32.521976	N
hsa-mir-1-2	247	37.891171	N
hsa-mir-100	14074	2159.029704	Y
hsa-mir-101-1	32370	4965.737638	N
hsa-mir-101-2	32905	5047.809607	N
hsa-mir-103a-1	129625	19885.194355	Y
hsa-mir-103a-2	130449	20011.600528	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	189	28.993649	N
hsa-mir-105-2	191	29.300460	N
hsa-mir-106a	37	5.676005	Y
hsa-mir-106b	3034	465.432437	N
hsa-mir-107	1136	174.268704	Y
hsa-mir-10a	3110	477.091259	N
hsa-mir-10b	11664	1789.322329	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.153406	N
hsa-mir-1180	263	40.345660	N
hsa-mir-1181	6	0.920433	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.153406	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	10	1.534055	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	1.534055	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	1.840867	N
hsa-mir-1229	7	1.073839	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.460217	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.153406	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	44	6.749844	N
hsa-mir-124-2	38	5.829411	N
hsa-mir-124-3	49	7.516872	N
hsa-mir-1243	4	0.613622	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.153406	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	86	13.192877	N
hsa-mir-1248	28	4.295355	N
hsa-mir-1249	26	3.988544	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.306811	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	1.380650	N
hsa-mir-1254-2	6	0.920433	N
hsa-mir-1255a	1	0.153406	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.153406	N
hsa-mir-1258	4	0.613622	N
hsa-mir-125a	31287	4799.599427	N
hsa-mir-125b-1	7651	1173.705859	N
hsa-mir-125b-2	8533	1309.009554	N
hsa-mir-126	12925	1982.766727	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	12	1.840867	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	23	3.528328	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	32	4.908978	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.306811	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1180	181.018548	N
hsa-mir-1270	11	1.687461	N
hsa-mir-1271	25	3.835139	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.153406	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	11	1.687461	N
hsa-mir-1276	1	0.153406	N
hsa-mir-1277	2	0.306811	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2059	315.862026	N
hsa-mir-128-2	1441	221.057397	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	1191	182.706009	N
hsa-mir-1288	6	0.920433	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.153406	N
hsa-mir-129-1	846	129.781095	N
hsa-mir-129-2	889	136.377534	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	9	1.380650	N
hsa-mir-1292	16	2.454489	N
hsa-mir-1293	4	0.613622	N
hsa-mir-1294	1	0.153406	N
hsa-mir-1295a	3	0.460217	N
hsa-mir-1295b	2	0.306811	N
hsa-mir-1296	15	2.301083	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.306811	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	267	40.959282	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	13	1.994272	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	96	14.726933	N
hsa-mir-1307	20641	3166.443947	N
hsa-mir-130a	1213	186.080932	N
hsa-mir-130b	173	26.539160	N
hsa-mir-132	4204	644.916930	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.153406	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	71	10.891794	N
hsa-mir-133a-2	75	11.505416	Y
hsa-mir-133b	1	0.153406	Y
hsa-mir-134	366	56.146431	N
