miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	201036	17701.614785	N
hsa-let-7a-2	201836	17772.056357	Y
hsa-let-7a-3	202241	17807.717403	N
hsa-let-7b	260469	22934.807206	N
hsa-let-7c	13292	1170.386715	Y
hsa-let-7d	9049	796.782229	N
hsa-let-7e	14817	1304.665962	N
hsa-let-7f-1	104082	9164.624595	N
hsa-let-7f-2	105141	9257.871626	N
hsa-let-7g	8552	753.020403	N
hsa-let-7i	9911	872.683023	N
hsa-mir-1-1	128	11.270651	N
hsa-mir-1-2	133	11.710911	N
hsa-mir-100	140574	12377.816892	Y
hsa-mir-101-1	50613	4456.574092	N
hsa-mir-101-2	51573	4541.103978	N
hsa-mir-103a-1	53175	4682.163225	Y
hsa-mir-103a-2	53650	4723.987909	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.088052	N
hsa-mir-105-2	3	0.264156	N
hsa-mir-106a	76	6.691949	Y
hsa-mir-106b	5653	497.757757	N
hsa-mir-107	792	69.737156	Y
hsa-mir-10a	277244	24411.878914	N
hsa-mir-10b	89045	7840.587201	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.088052	N
hsa-mir-1180	102	8.981300	N
hsa-mir-1181	6	0.528312	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.176104	N
hsa-mir-1185-2	1	0.088052	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.088052	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	1.144676	N
hsa-mir-1227	1	0.088052	N
hsa-mir-1228	10	0.880520	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.088052	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	17	1.496883	N
hsa-mir-1245b	0	0.000000	N
