miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	42277	13174.993658	N
hsa-let-7a-2	42308	13184.654344	N
hsa-let-7a-3	42739	13318.969037	N
hsa-let-7b	79209	24684.298145	N
hsa-let-7c	12809	3991.732946	N
hsa-let-7d	1441	449.066061	N
hsa-let-7e	3655	1139.025991	N
hsa-let-7f-1	13206	4115.452048	N
hsa-let-7f-2	13362	4164.067111	N
hsa-let-7g	1320	411.358224	N
hsa-let-7i	1906	593.976344	N
hsa-mir-1-1	19	5.921065	N
hsa-mir-1-2	28	8.725781	N
hsa-mir-100	7677	2392.422034	Y
hsa-mir-101-1	15062	4693.846642	N
hsa-mir-101-2	15316	4773.001937	N
hsa-mir-103a-1	27690	8629.173650	Y
hsa-mir-103a-2	27729	8641.327416	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	471	146.780094	N
hsa-mir-105-2	468	145.845188	N
hsa-mir-106a	33	10.283956	Y
hsa-mir-106b	3091	963.263841	N
hsa-mir-107	372	115.928227	Y
hsa-mir-10a	1080	336.565819	N
hsa-mir-10b	56003	17452.495916	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	136	42.382362	N
hsa-mir-1181	4	1.246540	N
hsa-mir-1182	1	0.311635	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.623270	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.311635	N
hsa-mir-1225	1	0.311635	N
hsa-mir-1226	2	0.623270	N
hsa-mir-1227	5	1.558175	N
hsa-mir-1228	21	6.544335	N
hsa-mir-1229	2	0.623270	N
hsa-mir-1231	1	0.311635	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.311635	N
