miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	27365	4115.440474	N
hsa-let-7a-2	27252	4098.446329	N
hsa-let-7a-3	27110	4077.090855	N
hsa-let-7b	34626	5207.427073	N
hsa-let-7c	4261	640.814612	N
hsa-let-7d	2638	396.730567	N
hsa-let-7e	4531	681.420091	N
hsa-let-7f-1	16757	2520.096328	N
hsa-let-7f-2	17425	2620.557291	N
hsa-let-7g	2470	371.464936	N
hsa-let-7i	2260	339.882897	N
hsa-mir-1-1	157	23.611334	N
hsa-mir-1-2	188	28.273445	N
hsa-mir-100	13262	1994.480963	N
hsa-mir-101-1	16019	2409.108019	N
hsa-mir-101-2	16623	2499.943979	N
hsa-mir-103a-1	116660	17544.574664	Y
hsa-mir-103a-2	116379	17502.314888	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	97	14.587894	Y
hsa-mir-106b	3404	511.929814	N
hsa-mir-107	700	105.273464	Y
hsa-mir-10a	423886	63748.496281	N
hsa-mir-10b	206464	31050.257702	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.150391	N
hsa-mir-1180	34	5.113283	N
hsa-mir-1181	3	0.451172	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.451172	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.150391	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.451172	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.150391	N
hsa-mir-1226	5	0.751953	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.601563	N
hsa-mir-1229	1	0.150391	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	25	3.759767	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.150391	N
hsa-mir-1247	68	10.226565	N
hsa-mir-1248	36	5.414064	N
hsa-mir-1249	24	3.609376	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.150391	N
hsa-mir-1254-2	1	0.150391	N
hsa-mir-1255a	5	0.751953	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.300781	N
hsa-mir-125a	4356	655.101725	N
hsa-mir-125b-1	1183	177.912154	N
hsa-mir-125b-2	1340	201.523487	N
hsa-mir-126	14155	2128.779825	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.300781	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	19	2.857423	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	128	19.250005	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3501	526.517709	N
hsa-mir-1270	2	0.300781	N
hsa-mir-1271	4	0.601563	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.300781	N
hsa-mir-1277	9	1.353516	N
hsa-mir-1278	1	0.150391	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	346	52.035169	N
hsa-mir-128-2	178	26.769538	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.150391	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	89	13.384769	N
hsa-mir-1288	3	0.451172	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.150391	N
hsa-mir-129-2	7	1.052735	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.150391	N
hsa-mir-1292	4	0.601563	N
hsa-mir-1293	2	0.300781	N
hsa-mir-1294	1	0.150391	N
hsa-mir-1295a	2	0.300781	N
hsa-mir-1295b	3	0.451172	N
hsa-mir-1296	27	4.060548	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	62	9.324221	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	1	0.150391	N
hsa-mir-1306	24	3.609376	N
hsa-mir-1307	9801	1473.978881	N
hsa-mir-130a	441	66.322282	N
hsa-mir-130b	159	23.912115	N
hsa-mir-132	953	143.322301	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	181	27.220710	Y
hsa-mir-133a-2	183	27.521491	Y
hsa-mir-133b	18	2.707032	Y
hsa-mir-134	1227	184.529343	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	9	1.353516	N
hsa-mir-135a-2	2	0.300781	N
hsa-mir-135b	474	71.285174	N
hsa-mir-136	228	34.289071	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.150391	N
hsa-mir-138-2	1	0.150391	N
hsa-mir-139	669	100.611353	N
hsa-mir-140	11328	1703.625423	N
hsa-mir-141	8121	1221.322569	N
hsa-mir-142	5642	848.504117	N
hsa-mir-143	660281	99300.096897	N
hsa-mir-144	3510	527.871225	N
hsa-mir-145	22448	3375.969587	N
hsa-mir-1468	66	9.925784	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1210	181.972701	N
hsa-mir-146b	12507	1880.936013	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	21	3.158204	N
hsa-mir-148a	62326	9373.248419	N
hsa-mir-148b	363	54.591810	N
hsa-mir-149	85	12.783206	N
hsa-mir-150	1344	202.125050	N
hsa-mir-151a	9391	1412.318710	N
hsa-mir-151b	8	1.203125	N
hsa-mir-152	576	86.625021	N
hsa-mir-153-1	4	0.601563	N
hsa-mir-153-2	7	1.052735	N
hsa-mir-1537	2	0.300781	N
hsa-mir-1538	1	0.150391	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	46	6.917970	N
hsa-mir-155	2425	364.697356	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2447	368.005951	N
hsa-mir-15b	1689	254.009829	N
hsa-mir-16-1	1736	261.078190	N
hsa-mir-16-2	1753	263.634831	N
hsa-mir-17	4770	717.363459	Y
hsa-mir-181a-1	5472	822.937704	N
hsa-mir-181a-2	7328	1102.062773	N
hsa-mir-181b-1	1009	151.744178	N
hsa-mir-181b-2	1005	151.142616	N
hsa-mir-181c	404	60.757828	N
hsa-mir-181d	141	21.205083	N
hsa-mir-182	103283	15532.798775	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	25621	3853.159159	N
hsa-mir-184	46	6.917970	N
hsa-mir-185	743	111.740262	N
hsa-mir-186	1662	249.949281	N
hsa-mir-187	11	1.654297	N
hsa-mir-188	35	5.263673	N
hsa-mir-18a	178	26.769538	N
hsa-mir-18b	1	0.150391	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	29	4.361329	N
hsa-mir-190b	2	0.300781	N
hsa-mir-191	3442	517.644660	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	1	0.150391	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	165093	24828.445612	Y
hsa-mir-193a	437	65.720719	N
hsa-mir-193b	175	26.318366	N
hsa-mir-194-1	50364	7574.275316	N
hsa-mir-194-2	62408	9385.580453	N
hsa-mir-195	328	49.328137	N
hsa-mir-196a-1	1134	170.543011	N
hsa-mir-196a-2	1389	208.892630	N
hsa-mir-196b	1621	243.783264	N
hsa-mir-197	1341	201.673878	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	129	19.400395	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	4835	727.138852	Y
hsa-mir-199a-2	7685	1155.752240	Y
hsa-mir-199b	9465	1423.447619	Y
hsa-mir-19a	399	60.005874	N
hsa-mir-19b-1	807	121.365264	N
hsa-mir-19b-2	750	112.792997	N
hsa-mir-200a	13773	2071.330592	N
hsa-mir-200b	13948	2097.648958	N
hsa-mir-200c	66475	9997.219277	N
hsa-mir-202	5	0.751953	N
hsa-mir-203a	53866	8100.943416	N
hsa-mir-203b	1041	156.556679	N
hsa-mir-204	6	0.902344	N
hsa-mir-205	2051	308.451248	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2953	444.103626	N
hsa-mir-20b	129	19.400395	N
hsa-mir-21	2589180	389388.495024	N
hsa-mir-210	172	25.867194	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	5	0.751953	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	5	0.751953	N
hsa-mir-2115	2	0.300781	N
hsa-mir-2116	5	0.751953	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	64	9.625002	N
hsa-mir-214	133	20.001958	N
hsa-mir-215	5236	787.445508	Y
hsa-mir-216a	9	1.353516	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	801	120.462921	N
hsa-mir-218-1	118	17.746098	N
hsa-mir-218-2	108	16.242192	N
hsa-mir-219a-1	23	3.458985	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	7	1.052735	N
hsa-mir-22	568404	85482.654016	N
hsa-mir-221	1519	228.443416	N
hsa-mir-222	437	65.720719	N
hsa-mir-223	3848	578.703269	N
hsa-mir-224	155	23.310553	N
hsa-mir-2276	1	0.150391	N
hsa-mir-2277	7	1.052735	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	797	119.861358	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	12831	1929.662588	Y
hsa-mir-23b	5345	803.838090	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	5693	856.174040	N
hsa-mir-24-2	5758	865.949434	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	97162	14612.257531	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	4375	657.959148	N
hsa-mir-26a-2	4446	668.636885	N
hsa-mir-26b	3553	534.338023	N
hsa-mir-27a	9041	1359.681978	Y
hsa-mir-27b	9609	1445.103874	Y
hsa-mir-28	39965	6010.362819	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	8	1.203125	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	32	4.812501	N
hsa-mir-29a	63990	9623.498481	N
hsa-mir-29b-1	3006	452.074331	Y
hsa-mir-29b-2	3136	471.625117	Y
hsa-mir-29c	9960	1497.890997	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	86	12.933597	N
hsa-mir-301b	3	0.451172	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	2	0.300781	N
hsa-mir-3065	221	33.236336	N
hsa-mir-3074	37	5.564455	N
hsa-mir-30a	124623	18742.135508	Y
hsa-mir-30b	6274	943.551015	N
hsa-mir-30c-1	3313	498.244264	N
