miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	92220	11765.974237	N
hsa-let-7a-2	91852	11719.022615	Y
hsa-let-7a-3	92280	11773.629392	N
hsa-let-7b	24674	3148.055176	N
hsa-let-7c	26872	3428.489045	Y
hsa-let-7d	11408	1455.500261	N
hsa-let-7e	23209	2961.141792	N
hsa-let-7f-1	116208	14826.505466	N
hsa-let-7f-2	117443	14984.074087	N
hsa-let-7g	8051	1027.194303	N
hsa-let-7i	16095	2053.495504	N
hsa-mir-1-1	83	10.589632	N
hsa-mir-1-2	92	11.737905	N
hsa-mir-100	78249	9983.471243	Y
hsa-mir-101-1	83662	10674.093869	N
hsa-mir-101-2	85162	10865.472760	N
hsa-mir-103a-1	201764	25742.247082	Y
hsa-mir-103a-2	202650	25855.288213	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	74	9.441359	Y
hsa-mir-106b	3617	461.478300	N
hsa-mir-107	954	121.716975	Y
hsa-mir-10a	64892	8279.306009	N
hsa-mir-10b	195906	24994.848718	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	699	89.182563	N
hsa-mir-1180	733	93.520485	N
hsa-mir-1181	8	1.020687	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.127586	N
hsa-mir-1224	5	0.637930	N
hsa-mir-1225	1	0.127586	N
hsa-mir-1226	2	0.255172	N
hsa-mir-1227	2	0.255172	N
hsa-mir-1228	2	0.255172	N
hsa-mir-1229	3	0.382758	N
hsa-mir-1231	1	0.127586	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.637930	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	30	3.827578	N
hsa-mir-1248	14	1.786203	N
hsa-mir-1249	4	0.510344	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	998	127.330756	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.255172	N
hsa-mir-1254-2	1	0.127586	N
hsa-mir-1255a	2	0.255172	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.382758	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.510344	N
hsa-mir-125a	14747	1881.509673	N
hsa-mir-125b-1	10343	1319.621248	N
hsa-mir-125b-2	10301	1314.262639	N
hsa-mir-126	42481	5419.977787	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.127586	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.382758	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	198	25.262014	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.255172	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	436	55.627464	N
hsa-mir-1270	157	20.030991	N
hsa-mir-1271	2	0.255172	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	12	1.531031	N
hsa-mir-1276	1	0.127586	N
hsa-mir-1277	9	1.148273	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	751	95.817032	N
hsa-mir-128-2	482	61.496417	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.127586	N
hsa-mir-1287	410	52.310230	N
hsa-mir-1288	2	0.255172	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	10	1.275859	N
hsa-mir-129-2	12	1.531031	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.510344	N
hsa-mir-1292	10	1.275859	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.255172	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	1	0.127586	N
hsa-mir-1296	22	2.806890	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	68	8.675843	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.127586	N
hsa-mir-1305	1	0.127586	N
hsa-mir-1306	63	8.037913	N
hsa-mir-1307	7939	1012.904679	N
hsa-mir-130a	435	55.499878	N
hsa-mir-130b	61	7.782742	N
hsa-mir-132	744	94.923930	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	90	11.482733	Y
hsa-mir-133a-2	88	11.227562	Y
hsa-mir-133b	8	1.020687	Y
hsa-mir-134	117	14.927554	N
hsa-mir-1343	3	0.382758	N
hsa-mir-135a-1	1753	223.658131	N
hsa-mir-135a-2	2118	270.226995	N
hsa-mir-135b	2872	366.426784	N
hsa-mir-136	14	1.786203	N
hsa-mir-137	4	0.510344	N
hsa-mir-138-1	386	49.248168	N
hsa-mir-138-2	241	30.748209	N
hsa-mir-139	1222	155.910003	N
hsa-mir-140	17803	2271.412268	N
hsa-mir-141	15367	1960.612948	N
hsa-mir-142	2477	316.030342	N
hsa-mir-143	597656	76252.495102	N
hsa-mir-144	10858	1385.328001	N
hsa-mir-145	11108	1417.224483	N
hsa-mir-1468	210	26.793045	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	161	20.541334	N
hsa-mir-146b	2285	291.533844	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.127586	N
hsa-mir-148a	879472	112208.250854	N
hsa-mir-148b	5001	638.057224	N
hsa-mir-149	84	10.717218	N
hsa-mir-150	370	47.206793	N
hsa-mir-151a	25070	3198.579203	N
hsa-mir-151b	38	4.848265	N
hsa-mir-152	9883	1260.931722	N
hsa-mir-153-1	1	0.127586	N
hsa-mir-153-2	43	5.486195	N
hsa-mir-1537	1	0.127586	N
hsa-mir-1538	2	0.255172	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	2	0.255172	N
hsa-mir-155	382	48.737824	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	965	123.120420	N
hsa-mir-15b	3025	385.947431	N
hsa-mir-16-1	1908	243.433950	N
hsa-mir-16-2	2042	260.530464	N
hsa-mir-17	3428	437.364560	Y
hsa-mir-181a-1	19597	2500.301422	N
hsa-mir-181a-2	38283	4884.372064	N
hsa-mir-181b-1	4277	545.685012	N
hsa-mir-181b-2	4056	517.488522	N
hsa-mir-181c	426	54.351605	N
hsa-mir-181d	126	16.075827	N
hsa-mir-182	249622	31848.254401	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	81362	10380.646235	N
hsa-mir-184	1	0.127586	N
hsa-mir-185	1208	154.123800	N
hsa-mir-186	3805	485.464454	N
hsa-mir-187	44	5.613781	N
hsa-mir-188	47	5.996539	N
hsa-mir-18a	50	6.379296	N
hsa-mir-18b	1	0.127586	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	73	9.313773	N
hsa-mir-190b	2	0.255172	N
hsa-mir-191	5729	730.939779	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.127586	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
