miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	75757	8923.037637	N
hsa-let-7a-2	75321	8871.683381	Y
hsa-let-7a-3	75539	8897.360509	N
hsa-let-7b	107979	12718.305649	N
hsa-let-7c	22285	2624.838546	Y
hsa-let-7d	4181	492.459051	N
hsa-let-7e	8231	969.488269	N
hsa-let-7f-1	30265	3564.762782	N
hsa-let-7f-2	30641	3609.049939	N
hsa-let-7g	4678	550.998192	N
hsa-let-7i	5195	611.893033	N
hsa-mir-1-1	22	2.591270	N
hsa-mir-1-2	31	3.651335	N
hsa-mir-100	25888	3049.217872	Y
hsa-mir-101-1	52380	6169.577880	N
hsa-mir-101-2	53362	6285.242742	N
hsa-mir-103a-1	62344	7343.187540	Y
hsa-mir-103a-2	62829	7400.313261	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	6893	811.891950	N
hsa-mir-105-2	6758	795.990976	N
hsa-mir-106a	57	6.713745	Y
hsa-mir-106b	8011	943.575571	N
hsa-mir-107	523	61.601551	Y
hsa-mir-10a	74248	8745.300084	N
hsa-mir-10b	218540	25740.732147	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	132	15.547619	N
hsa-mir-1181	4	0.471140	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.117785	N
hsa-mir-1185-2	1	0.117785	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.117785	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	28	3.297980	N
hsa-mir-1227	4	0.471140	N
hsa-mir-1228	16	1.884560	N
hsa-mir-1229	4	0.471140	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.353355	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	16	1.884560	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1231	144.993325	N
hsa-mir-1248	10	1.177850	N
hsa-mir-1249	26	3.062410	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.117785	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.353355	N
hsa-mir-1254-2	3	0.353355	N
hsa-mir-1255a	1	0.117785	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	0.942280	N
hsa-mir-125a	4653	548.053568	N
hsa-mir-125b-1	2505	295.051405	N
hsa-mir-125b-2	2548	300.116160	N
hsa-mir-126	10989	1294.339277	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	20	2.355700	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	4	0.471140	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	1.060065	N
hsa-mir-1267	1	0.117785	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	16	1.884560	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5670	667.840905	N
hsa-mir-1270	1	0.117785	N
hsa-mir-1271	65	7.656024	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	8	0.942280	N
hsa-mir-1277	32	3.769120	N
hsa-mir-1278	2	0.235570	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	781	91.990079	N
hsa-mir-128-2	513	60.423701	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	162	19.081169	N
hsa-mir-1288	15	1.766775	N
hsa-mir-1289-1	1	0.117785	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	43	5.064755	N
hsa-mir-129-2	43	5.064755	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.235570	N
hsa-mir-1292	5	0.588925	N
hsa-mir-1293	5	0.588925	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	7	0.824495	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	81	9.540584	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	46	5.418110	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	90	10.600649	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.353355	N
hsa-mir-1304	8	0.942280	N
hsa-mir-1305	1	0.117785	N
hsa-mir-1306	51	6.007035	N
hsa-mir-1307	24859	2928.017116	N
hsa-mir-130a	781	91.990079	N
hsa-mir-130b	384	45.229437	N
hsa-mir-132	1091	128.503426	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	8	0.942280	Y
hsa-mir-133a-2	4	0.471140	N
hsa-mir-133b	3	0.353355	Y
hsa-mir-134	1914	225.440475	N
hsa-mir-1343	3	0.353355	N
hsa-mir-135a-1	4	0.471140	N
hsa-mir-135a-2	4	0.471140	N
hsa-mir-135b	241	28.386183	N
hsa-mir-136	227	26.737193	N
hsa-mir-137	16	1.884560	N
hsa-mir-138-1	10	1.177850	N
hsa-mir-138-2	6	0.706710	N
hsa-mir-139	193	22.732503	N
hsa-mir-140	5213	614.013163	N
hsa-mir-141	9201	1083.739711	N
hsa-mir-142	55419	6527.526470	N
hsa-mir-143	1242428	146339.372013	N
hsa-mir-144	202	23.792568	N
hsa-mir-145	11989	1412.124269	N
hsa-mir-1468	29	3.415765	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1374	161.836579	N
hsa-mir-146b	6409	754.884014	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	0.353355	N
hsa-mir-148a	224603	26454.862553	N
hsa-mir-148b	1151	135.570526	N
hsa-mir-149	195	22.968073	N
hsa-mir-150	23535	2772.069786	N
hsa-mir-151a	46887	5522.584919	N
hsa-mir-151b	49	5.771465	N
hsa-mir-152	3557	418.961216	N
hsa-mir-153-1	5	0.588925	N
hsa-mir-153-2	100	11.778499	N
hsa-mir-1537	5	0.588925	N
hsa-mir-1538	6	0.706710	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	27	3.180195	N
hsa-mir-155	8059	949.229250	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	577	67.961940	N
hsa-mir-15b	3651	430.033006	N
hsa-mir-16-1	2397	282.330626	N
hsa-mir-16-2	2523	297.171535	N
hsa-mir-17	5542	652.764426	Y
hsa-mir-181a-1	3686	434.155480	N
hsa-mir-181a-2	6437	758.181993	N
hsa-mir-181b-1	947	111.542387	N
hsa-mir-181b-2	776	91.401154	N
hsa-mir-181c	795	93.639069	N
hsa-mir-181d	204	24.028138	N
hsa-mir-182	183646	21630.742637	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	157550	18557.025486	N
hsa-mir-184	21	2.473485	N
hsa-mir-185	685	80.682720	N
