miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	205429	21977.266048	N
hsa-let-7a-2	206146	22053.972354	N
hsa-let-7a-3	205984	22036.641222	N
hsa-let-7b	185325	19826.493973	N
hsa-let-7c	17604	1883.316336	N
hsa-let-7d	6271	670.885977	N
hsa-let-7e	22679	2426.251487	N
hsa-let-7f-1	104477	11177.189320	N
hsa-let-7f-2	107065	11454.059502	N
hsa-let-7g	9886	1057.626976	N
hsa-let-7i	8508	910.205373	N
hsa-mir-1-1	16	1.711717	N
hsa-mir-1-2	16	1.711717	N
hsa-mir-100	215746	23081.002394	N
hsa-mir-101-1	40704	4354.607369	N
hsa-mir-101-2	41823	4474.320558	N
hsa-mir-103a-1	147622	15792.940474	Y
hsa-mir-103a-2	147988	15832.095994	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	473	50.602626	Y
hsa-mir-106b	3257	348.441337	N
hsa-mir-107	438	46.858246	Y
hsa-mir-10a	139441	14917.718312	N
hsa-mir-10b	1021270	109257.809253	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.213965	N
hsa-mir-1180	126	13.479769	N
hsa-mir-1181	2	0.213965	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.748876	N
hsa-mir-1185-2	8	0.855858	N
hsa-mir-1193	1	0.106982	N
hsa-mir-1197	2	0.213965	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.106982	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.534911	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.534911	N
hsa-mir-1229	4	0.427929	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.106982	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.748876	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	16	1.711717	N
hsa-mir-1248	26	2.781540	N
hsa-mir-1249	35	3.744380	N
hsa-mir-1250	1	0.106982	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	2	0.213965	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.106982	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.213965	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.213965	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	6584	704.371436	N
hsa-mir-125b-1	9109	974.501733	N
hsa-mir-125b-2	9226	987.018661	N
