miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	51176	15065.900065	N
hsa-let-7a-2	51460	15149.507921	N
hsa-let-7a-3	50883	14979.642665	N
hsa-let-7b	60641	17852.337929	N
hsa-let-7c	5267	1550.572449	N
hsa-let-7d	2683	789.858720	N
hsa-let-7e	6117	1800.807228	N
hsa-let-7f-1	24469	7203.523306	N
hsa-let-7f-2	24624	7249.154354	N
hsa-let-7g	3068	903.200356	N
hsa-let-7i	6653	1958.602336	N
hsa-mir-1-1	1	0.294394	N
hsa-mir-1-2	3	0.883182	N
hsa-mir-100	1667	490.754561	Y
hsa-mir-101-1	2951	868.756274	N
hsa-mir-101-2	3067	902.905962	N
hsa-mir-103a-1	74596	21960.604214	Y
hsa-mir-103a-2	74987	22075.712212	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.294394	N
hsa-mir-105-2	1	0.294394	N
hsa-mir-106a	373	109.808909	Y
hsa-mir-106b	3097	911.737778	N
hsa-mir-107	427	125.706177	Y
hsa-mir-10a	10645	3133.822616	N
hsa-mir-10b	185770	54689.546957	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.588788	N
hsa-mir-1180	138	40.626352	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.294394	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.883182	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	2.060757	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	2.649545	N
hsa-mir-1229	3	0.883182	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.294394	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.294394	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	2	0.588788	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	17	5.004696	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	8	2.355151	N
hsa-mir-1248	23	6.771059	N
hsa-mir-1249	46	13.542117	N
hsa-mir-1250	1	0.294394	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	3.827120	N
hsa-mir-1254-2	10	2.943939	N
hsa-mir-1255a	3	0.883182	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
