miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	6961	2005.279812	N
hsa-let-7a-2	6992	2014.210091	N
hsa-let-7a-3	7131	2054.252311	N
hsa-let-7b	2354	678.125079	N
hsa-let-7c	457	131.649601	N
hsa-let-7d	473	136.258778	N
hsa-let-7e	1772	510.466287	N
hsa-let-7f-1	3179	915.785738	N
hsa-let-7f-2	3427	987.227972	N
hsa-let-7g	452	130.209234	N
hsa-let-7i	266	76.627558	N
hsa-mir-1-1	34	9.794500	N
hsa-mir-1-2	21	6.049544	N
hsa-mir-100	1171	337.334098	N
hsa-mir-101-1	4737	1364.604291	N
hsa-mir-101-2	4854	1398.308893	N
hsa-mir-103a-1	66567	19176.190377	Y
hsa-mir-103a-2	67142	19341.832655	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	309	89.014719	Y
hsa-mir-106b	4977	1433.741937	N
hsa-mir-107	507	146.053277	Y
hsa-mir-10a	345637	99568.869162	N
hsa-mir-10b	1530411	440870.892360	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	2.592662	N
hsa-mir-1180	84	24.198176	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.576147	N
hsa-mir-1224	7	2.016515	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	16	4.609176	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.288074	N
hsa-mir-1229	5	1.440368	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.288074	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.288074	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	2	0.576147	N
hsa-mir-1243	1	0.288074	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	1.440368	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	23	6.625691	N
hsa-mir-1248	3	0.864221	N
hsa-mir-1249	0	0.000000	N
hsa-mir-1250	1	0.288074	N
hsa-mir-1251	117	33.704602	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	2.304588	N
hsa-mir-1254-2	2	0.576147	N
hsa-mir-1255a	1	0.288074	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.288074	N
hsa-mir-125a	982	282.888202	N
hsa-mir-125b-1	91	26.214691	N
