miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	121704	17563.116186	N
hsa-let-7a-2	120917	17449.544139	N
hsa-let-7a-3	121308	17505.969387	N
hsa-let-7b	72013	10392.203099	N
hsa-let-7c	10295	1485.672461	N
hsa-let-7d	4007	578.250563	N
hsa-let-7e	38758	5593.170784	N
hsa-let-7f-1	55397	7994.346508	N
hsa-let-7f-2	57648	8319.188539	N
hsa-let-7g	6080	877.405397	N
hsa-let-7i	5810	838.441670	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	2	0.288620	N
hsa-mir-100	4296	619.956182	N
hsa-mir-101-1	13214	1906.913637	N
hsa-mir-101-2	13467	1943.424092	N
hsa-mir-103a-1	74508	10752.256793	Y
hsa-mir-103a-2	74362	10731.187519	Y
hsa-mir-103b-1	1	0.144310	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	47	6.782575	N
hsa-mir-105-2	39	5.628094	N
hsa-mir-106a	31	4.473613	Y
hsa-mir-106b	8479	1223.605322	N
hsa-mir-107	314	45.313371	Y
hsa-mir-10a	89259	12880.975051	N
hsa-mir-10b	479334	69172.736590	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.144310	N
hsa-mir-1180	173	24.965647	N
hsa-mir-1181	3	0.432930	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.144310	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	3	0.432930	N
hsa-mir-1226	8	1.154481	N
hsa-mir-1227	1	0.144310	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	1	0.144310	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	19	2.741892	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	2.597582	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	95	13.709459	N
hsa-mir-1249	36	5.195164	N
hsa-mir-1250	0	0.000000	N
