miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	18701	5923.918776	N
hsa-let-7a-2	18808	5957.813184	Y
hsa-let-7a-3	18977	6011.347341	N
hsa-let-7b	27894	8835.986864	N
hsa-let-7c	2453	777.037204	Y
hsa-let-7d	2449	775.770124	N
hsa-let-7e	1690	535.341572	N
hsa-let-7f-1	8580	2717.887979	N
hsa-let-7f-2	8618	2729.925245	N
hsa-let-7g	1871	592.676971	N
hsa-let-7i	1993	631.322930	N
hsa-mir-1-1	2	0.633540	N
hsa-mir-1-2	5	1.583851	N
hsa-mir-100	14113	4470.577279	Y
hsa-mir-101-1	35802	11341.005295	N
hsa-mir-101-2	35920	11378.384174	N
hsa-mir-103a-1	41170	13041.427518	Y
hsa-mir-103a-2	41782	13235.290857	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	195	61.770181	N
hsa-mir-105-2	178	56.385089	N
hsa-mir-106a	151	47.832294	Y
hsa-mir-106b	4301	1362.428461	N
hsa-mir-107	416	131.776387	Y
hsa-mir-10a	63098	19987.563603	N
hsa-mir-10b	35952	11388.520820	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	239	75.708068	N
hsa-mir-1181	1	0.316770	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.316770	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	8	2.534161	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	2.850931	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.950310	N
hsa-mir-1229	4	1.267081	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.316770	N
hsa-mir-1238	1	0.316770	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	2	0.633540	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	1.267081	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	3	0.950310	N
hsa-mir-1247	66	20.906831	N
hsa-mir-1248	51	16.155278	N
hsa-mir-1249	9	2.850931	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.316770	N
hsa-mir-1254-2	4	1.267081	N
hsa-mir-1255a	1	0.316770	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	2.217391	N
hsa-mir-125a	1301	412.117979	N
hsa-mir-125b-1	1021	323.422334	N
hsa-mir-125b-2	1027	325.322955	N
hsa-mir-126	8206	2599.415939	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.316770	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	13	4.118012	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	319	101.049681	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2176	689.291870	N
hsa-mir-1270	1	0.316770	N
hsa-mir-1271	29	9.186335	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.950310	N
hsa-mir-1276	2	0.633540	N
hsa-mir-1277	8	2.534161	N
hsa-mir-1278	1	0.316770	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	949	300.614883	N
hsa-mir-128-2	704	223.006193	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.633540	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	153	48.465835	N
hsa-mir-1288	3	0.950310	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	316	100.099371	N
hsa-mir-129-2	292	92.496887	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.950310	N
hsa-mir-1292	3	0.950310	N
hsa-mir-1293	6	1.900621	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	13	4.118012	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	42	13.304347	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	79	25.024843	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.633540	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	81	25.658383	N
hsa-mir-1307	15251	4831.061722	N
hsa-mir-130a	225	71.273286	N
hsa-mir-130b	300	95.031048	N
hsa-mir-132	646	204.633524	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	3	0.950310	N
hsa-mir-133a-2	3	0.950310	Y
hsa-mir-133b	1	0.316770	Y
hsa-mir-134	663	210.018617	N
hsa-mir-1343	2	0.633540	N
hsa-mir-135a-1	1	0.316770	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	8	2.534161	N
hsa-mir-136	116	36.745339	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	15	4.751552	N
hsa-mir-138-2	10	3.167702	N
hsa-mir-139	96	30.409935	N
hsa-mir-140	3538	1120.732829	N
hsa-mir-141	8189	2594.030846	N
hsa-mir-142	12430	3937.453098	N
hsa-mir-143	202807	64243.205993	N
hsa-mir-144	251	79.509310	N
hsa-mir-145	4835	1531.583727	N
hsa-mir-1468	4	1.267081	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	502	159.018621	N
hsa-mir-146b	2358	746.944039	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	7	2.217391	N
hsa-mir-148a	127545	40402.450154	N
hsa-mir-148b	671	212.552778	N
hsa-mir-149	1236	391.527919	N
hsa-mir-150	4641	1470.130316	N
hsa-mir-151a	15899	5036.328786	N
hsa-mir-151b	5	1.583851	N
hsa-mir-152	3548	1123.900530	N
hsa-mir-153-1	1	0.316770	N
hsa-mir-153-2	24	7.602484	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	2	0.633540	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	17	5.385093	N
hsa-mir-155	2221	703.546527	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	584	184.993774	N
hsa-mir-15b	1772	561.316725	N
hsa-mir-16-1	1084	343.378854	N
hsa-mir-16-2	1151	364.602455	N
hsa-mir-17	5865	1857.856993	Y
hsa-mir-181a-1	2821	893.608623	N
hsa-mir-181a-2	4944	1566.111675	N
hsa-mir-181b-1	450	142.546572	N
hsa-mir-181b-2	407	128.925455	N
hsa-mir-181c	415	131.459617	N
hsa-mir-181d	36	11.403726	N
hsa-mir-182	124268	39364.394337	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	93085	29486.550414	N
hsa-mir-184	3	0.950310	N
hsa-mir-185	552	174.857129	N
hsa-mir-186	687	217.621100	N
hsa-mir-187	4	1.267081	N
hsa-mir-188	65	20.590060	N
hsa-mir-18a	189	59.869560	Y
hsa-mir-18b	9	2.850931	Y
hsa-mir-1908	1	0.316770	N
