miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	61492	10416.553735	N
hsa-let-7a-2	60856	10308.817312	Y
hsa-let-7a-3	61858	10478.552998	N
hsa-let-7b	37542	6359.498152	N
hsa-let-7c	17110	2898.380837	Y
hsa-let-7d	3084	522.420018	N
hsa-let-7e	8086	1369.743276	N
hsa-let-7f-1	26960	4566.940231	N
hsa-let-7f-2	27720	4695.681870	N
hsa-let-7g	3597	609.320624	N
hsa-let-7i	2084	353.023125	N
hsa-mir-1-1	2	0.338794	N
hsa-mir-1-2	5	0.846984	N
hsa-mir-100	7688	1302.323312	Y
hsa-mir-101-1	84364	14290.999469	N
hsa-mir-101-2	85230	14437.697178	N
hsa-mir-103a-1	59918	10149.923026	Y
hsa-mir-103a-2	60158	10190.578280	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	79	13.382355	Y
hsa-mir-106b	1770	299.832500	N
hsa-mir-107	768	130.096814	Y
hsa-mir-10a	114256	19354.611390	N
hsa-mir-10b	367218	62205.588200	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.677588	N
hsa-mir-1180	416	70.469107	N
hsa-mir-1181	2	0.338794	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.169397	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.016381	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.185778	N
hsa-mir-1229	4	0.677588	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.169397	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	5	0.846984	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	6	1.016381	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	151	25.578931	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.338794	N
hsa-mir-1254-2	3	0.508191	N
hsa-mir-1255a	2	0.338794	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	1.016381	N
hsa-mir-125a	4052	686.396210	N
hsa-mir-125b-1	1915	324.395050	N
hsa-mir-125b-2	2019	342.012327	N
hsa-mir-126	3467	587.299028	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.677588	N
