miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	52116	15132.136161	N
hsa-let-7a-2	52739	15313.027266	N
hsa-let-7a-3	52943	15372.259667	N
hsa-let-7b	66877	19418.064895	N
hsa-let-7c	581	168.696199	N
hsa-let-7d	2531	734.888261	N
hsa-let-7e	10654	3093.441144	N
hsa-let-7f-1	18552	5386.664173	N
hsa-let-7f-2	18978	5510.355362	N
hsa-let-7g	2927	849.868803	N
hsa-let-7i	4625	1342.891430	N
hsa-mir-1-1	1	0.290355	N
hsa-mir-1-2	1	0.290355	N
hsa-mir-100	109430	31773.537112	N
hsa-mir-101-1	17698	5138.701086	N
hsa-mir-101-2	17602	5110.827015	N
hsa-mir-103a-1	74133	21524.880076	Y
hsa-mir-103a-2	74009	21488.876068	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2641	766.827301	N
hsa-mir-105-2	2619	760.439493	N
hsa-mir-106a	287	83.331857	Y
hsa-mir-106b	1915	556.029641	N
hsa-mir-107	262	76.072985	Y
hsa-mir-10a	95966	27864.198689	N
hsa-mir-10b	153537	44580.220850	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	73	21.195908	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.451775	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	3.774614	N
hsa-mir-1229	6	1.742129	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.580710	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.290355	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.871065	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	9	2.613194	N
hsa-mir-1248	34	9.872067	N
hsa-mir-1249	10	2.903549	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.290355	N
hsa-mir-1254-2	3	0.871065	N
hsa-mir-1255a	1	0.290355	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.290355	N
hsa-mir-125a	7695	2234.280984	N
hsa-mir-125b-1	2515	730.242583	N
hsa-mir-125b-2	2457	713.401998	N
hsa-mir-126	3402	987.787382	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	2.903549	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.580710	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2125	617.004170	N
hsa-mir-1269b	2	0.580710	N
hsa-mir-127	486	141.112483	N
hsa-mir-1270	4	1.161420	N
hsa-mir-1271	27	7.839582	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.290355	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.290355	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	298	86.525761	N
hsa-mir-128-2	202	58.651691	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.290355	N
hsa-mir-1287	57	16.550230	N
hsa-mir-1288	1	0.290355	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	8	2.322839	N
hsa-mir-129-2	8	2.322839	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	1.451775	N
hsa-mir-1292	4	1.161420	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	20	5.807098	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	136	39.488267	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.290355	N
hsa-mir-1304	1	0.290355	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	69	20.034488	N
hsa-mir-1307	4754	1380.347212	N
hsa-mir-130a	377	109.463799	N
hsa-mir-130b	105	30.487265	N
hsa-mir-132	650	188.730687	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	12	3.484259	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	0	0.000000	N
hsa-mir-133a-2	3	0.871065	Y
hsa-mir-133b	1	0.290355	Y
hsa-mir-134	182	52.844592	N
hsa-mir-1343	6	1.742129	N
hsa-mir-135a-1	1	0.290355	N
hsa-mir-135a-2	1	0.290355	N
hsa-mir-135b	139	40.359332	N
hsa-mir-136	21	6.097453	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	109	31.648685	N
hsa-mir-138-2	78	22.647682	N
hsa-mir-139	171	49.650689	N
hsa-mir-140	29590	8591.601601	N
hsa-mir-141	18	5.226388	N
hsa-mir-142	5889	1709.900028	N
hsa-mir-143	32525	9443.793243	N
hsa-mir-144	44	12.775616	N
hsa-mir-145	2209	641.393982	N
hsa-mir-1468	4	1.161420	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	13502	3920.371910	N
hsa-mir-146b	10250	2976.137763	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	78453	22779.213260	N
hsa-mir-148b	952	276.417868	N
hsa-mir-149	9	2.613194	N
hsa-mir-150	4231	1228.491598	N
hsa-mir-151a	9074	2634.680396	N
hsa-mir-151b	13	3.774614	N
hsa-mir-152	363	105.398830	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	22	6.387808	N
hsa-mir-1537	1	0.290355	N
hsa-mir-1538	1	0.290355	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	5	1.451775	N
hsa-mir-155	3261	946.847341	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2086	605.680329	N
hsa-mir-15b	2127	617.584880	N
hsa-mir-16-1	1150	333.908139	N
hsa-mir-16-2	1252	363.524339	N
hsa-mir-17	9423	2736.014258	Y
hsa-mir-181a-1	12364	3589.948029	N
hsa-mir-181a-2	26210	7610.202026	N
hsa-mir-181b-1	2232	648.072145	N
