miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	98537	8823.838091	N
hsa-let-7a-2	98501	8820.614346	Y
hsa-let-7a-3	99687	8926.818837	N
hsa-let-7b	119809	10728.713253	N
hsa-let-7c	52933	4740.069432	Y
hsa-let-7d	4892	438.071140	N
hsa-let-7e	17441	1561.814954	N
hsa-let-7f-1	78059	6990.064418	N
hsa-let-7f-2	78944	7069.314818	N
hsa-let-7g	4806	430.369971	N
hsa-let-7i	8162	730.894654	N
hsa-mir-1-1	130	11.641302	N
hsa-mir-1-2	160	14.327756	N
hsa-mir-100	61686	5523.887235	Y
hsa-mir-101-1	35389	3169.030985	N
hsa-mir-101-2	36417	3261.086818	N
hsa-mir-103a-1	158034	14151.703713	Y
hsa-mir-103a-2	157263	14082.661839	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	47	4.208778	N
hsa-mir-105-2	52	4.656521	N
hsa-mir-106a	45	4.029681	Y
hsa-mir-106b	5739	513.918699	N
hsa-mir-107	784	70.206004	Y
hsa-mir-10a	459976	41190.149381	N
hsa-mir-10b	591491	52967.117084	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.179097	N
hsa-mir-1180	90	8.059363	N
hsa-mir-1181	6	0.537291	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	21	1.880518	N
hsa-mir-1185-2	6	0.537291	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	0.626839	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.089548	N
hsa-mir-1225	1	0.089548	N
hsa-mir-1226	7	0.626839	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	19	1.701421	N
hsa-mir-1229	5	0.447742	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	3	0.268645	N
hsa-mir-124-2	3	0.268645	N
hsa-mir-124-3	6	0.537291	N
hsa-mir-1243	2	0.179097	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	75	6.716136	N
hsa-mir-1245b	1	0.089548	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1709	153.038344	N
hsa-mir-1248	14	1.253679	N
hsa-mir-1249	16	1.432776	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.179097	N
hsa-mir-1254-2	2	0.179097	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.179097	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.089548	N
hsa-mir-125a	7955	712.358119	N
hsa-mir-125b-1	6323	566.215008	N
hsa-mir-125b-2	6828	611.436988	N
hsa-mir-126	38092	3411.080513	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.089548	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	1.701421	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	76	6.805684	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	23	2.059615	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	44642	3997.623025	N
hsa-mir-1270	26	2.328260	N
hsa-mir-1271	15	1.343227	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.089548	N
hsa-mir-1276	1	0.089548	N
hsa-mir-1277	6	0.537291	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	685	61.340705	N
hsa-mir-128-2	535	47.908434	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.089548	N
hsa-mir-1284	2	0.179097	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	338	30.267385	N
hsa-mir-1288	3	0.268645	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.179097	N
hsa-mir-129-2	10	0.895485	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.358194	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	9	0.805936	N
hsa-mir-1294	1	0.089548	N
hsa-mir-1295a	10	0.895485	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	48	4.298327	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	4	0.358194	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	76	6.805684	N
