miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	42344	6863.750405	N
hsa-let-7a-2	42238	6846.568336	Y
hsa-let-7a-3	42785	6935.234297	N
hsa-let-7b	41320	6697.765131	N
hsa-let-7c	19555	3169.767598	Y
hsa-let-7d	2264	366.983065	N
hsa-let-7e	4914	796.534798	N
hsa-let-7f-1	14930	2420.078253	N
hsa-let-7f-2	15120	2450.876302	N
hsa-let-7g	3800	615.960975	N
hsa-let-7i	2032	329.377027	N
hsa-mir-1-1	4	0.648380	N
hsa-mir-1-2	1	0.162095	N
hsa-mir-100	15168	2458.656861	N
hsa-mir-101-1	49655	8048.826902	N
hsa-mir-101-2	49918	8091.457886	N
hsa-mir-103a-1	42470	6884.174374	Y
hsa-mir-103a-2	42861	6947.553516	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	35	5.673325	Y
hsa-mir-106b	2708	438.953242	N
hsa-mir-107	588	95.311856	Y
hsa-mir-10a	66812	10829.890706	N
hsa-mir-10b	154291	25009.798642	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.648380	N
hsa-mir-1180	458	74.239507	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.162095	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	1.945140	N
hsa-mir-1227	2	0.324190	N
hsa-mir-1228	9	1.458855	N
hsa-mir-1229	5	0.810475	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.162095	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
