miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	13646	4971.472144	N
hsa-let-7a-2	13434	4894.236903	N
hsa-let-7a-3	13305	4847.239988	N
hsa-let-7b	20623	7513.313060	N
hsa-let-7c	3596	1310.084554	N
hsa-let-7d	1350	491.828184	N
hsa-let-7e	1126	410.221137	N
hsa-let-7f-1	6702	2441.653694	N
hsa-let-7f-2	6805	2479.178363	N
hsa-let-7g	3015	1098.416277	N
hsa-let-7i	2940	1071.092489	N
hsa-mir-1-1	13	4.736123	N
hsa-mir-1-2	10	3.643172	N
hsa-mir-100	13439	4896.058489	N
hsa-mir-101-1	17418	6345.676521	N
hsa-mir-101-2	17445	6355.513084	N
hsa-mir-103a-1	43601	15884.593063	Y
hsa-mir-103a-2	44064	16053.271914	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4137	1507.180145	N
hsa-mir-105-2	4232	1541.790276	N
hsa-mir-106a	34	12.386784	Y
hsa-mir-106b	3824	1393.148870	N
hsa-mir-107	222	80.878412	Y
hsa-mir-10a	17057	6214.158021	N
hsa-mir-10b	116065	42284.472693	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	81	29.509691	N
hsa-mir-1181	2	0.728634	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	4.007489	N
hsa-mir-1185-2	1	0.364317	N
hsa-mir-1193	1	0.364317	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	1.092952	N
hsa-mir-1224	3	1.092952	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	2.185903	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	4.736123	N
hsa-mir-1229	1	0.364317	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	10	3.643172	N
hsa-mir-124-2	8	2.914537	N
hsa-mir-124-3	11	4.007489	N
hsa-mir-1243	1	0.364317	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.364317	N
hsa-mir-1245b	2	0.728634	N
hsa-mir-1246	1	0.364317	N
hsa-mir-1247	115	41.896475	N
hsa-mir-1248	8	2.914537	N
hsa-mir-1249	22	8.014978	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	2.914537	N
hsa-mir-1254-2	10	3.643172	N
hsa-mir-1255a	1	0.364317	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	1.092952	N
hsa-mir-125a	3020	1100.237863	N
hsa-mir-125b-1	1334	485.999109	N
hsa-mir-125b-2	1337	487.092060	N
hsa-mir-126	9501	3461.377461	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	4.371806	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6	2.185903	N
hsa-mir-1269b	5	1.821586	N
hsa-mir-127	14609	5322.309581	N
hsa-mir-1270	39	14.208370	N
hsa-mir-1271	26	9.472246	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	1	0.364317	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.728634	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	30	10.929515	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	380	138.440526	N
hsa-mir-128-2	247	89.986342	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	1.092952	N
hsa-mir-1283-2	19	6.922026	Y
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.364317	N
hsa-mir-1287	133	48.454184	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	2.550220	N
hsa-mir-129-2	11	4.007489	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	1.457269	N
hsa-mir-1292	2	0.728634	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	6	2.185903	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	84	30.602643	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	48	17.487224	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
