miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	24441	7004.434336	N
hsa-let-7a-2	23863	6838.787961	N
hsa-let-7a-3	24362	6981.794088	N
hsa-let-7b	21522	6167.891485	N
hsa-let-7c	22316	6395.440311	N
hsa-let-7d	1192	341.609825	N
hsa-let-7e	2116	606.414756	N
hsa-let-7f-1	12316	3529.586076	N
hsa-let-7f-2	12833	3677.750740	N
hsa-let-7g	2496	715.317217	N
hsa-let-7i	1012	290.024449	N
hsa-mir-1-1	268	76.804894	N
hsa-mir-1-2	278	79.670748	N
hsa-mir-100	21499	6161.300020	N
hsa-mir-101-1	26261	7526.019807	N
hsa-mir-101-2	26803	7681.349107	N
hsa-mir-103a-1	33332	9552.465337	Y
hsa-mir-103a-2	33578	9622.965351	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.286585	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	612	175.390279	Y
hsa-mir-106b	1997	572.311091	N
hsa-mir-107	117	33.530495	Y
hsa-mir-10a	21847	6261.031748	N
hsa-mir-10b	98815	28318.938625	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	22	6.304879	N
hsa-mir-1181	1	0.286585	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.573171	N
hsa-mir-1185-2	1	0.286585	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.286585	N
hsa-mir-1224	1	0.286585	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.286585	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.286585	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.573171	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	202	57.890256	N
hsa-mir-1248	37	10.603661	N
hsa-mir-1249	5	1.432927	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	16	4.585367	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.286585	N
hsa-mir-1255a	2	0.573171	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.573171	N
hsa-mir-125a	1612	461.975703	N
hsa-mir-125b-1	1978	566.865968	N
hsa-mir-125b-2	2176	623.609882	N
