miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	51324	17834.487863	N
hsa-let-7a-2	50174	17434.876355	N
hsa-let-7a-3	51264	17813.638567	N
hsa-let-7b	41216	14322.076451	N
hsa-let-7c	10132	3520.751131	N
hsa-let-7d	2279	791.925763	N
hsa-let-7e	6444	2239.214399	N
hsa-let-7f-1	39971	13889.453557	N
hsa-let-7f-2	40651	14125.745580	N
hsa-let-7g	3263	1133.854218	N
hsa-let-7i	2039	708.528578	N
hsa-mir-1-1	13	4.517347	N
hsa-mir-1-2	6	2.084930	N
hsa-mir-100	3702	1286.401568	N
hsa-mir-101-1	22770	7912.307861	N
hsa-mir-101-2	22979	7984.932909	N
hsa-mir-103a-1	58111	20192.890738	Y
hsa-mir-103a-2	58150	20206.442780	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	1.737441	N
hsa-mir-105-2	2	0.694977	N
hsa-mir-106a	460	159.844603	Y
hsa-mir-106b	5042	1752.035847	N
hsa-mir-107	403	140.037772	Y
hsa-mir-10a	18300	6359.035303	N
hsa-mir-10b	48328	16793.413012	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.347488	N
hsa-mir-1180	134	46.563428	N
hsa-mir-1181	1	0.347488	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.347488	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.694977	N
hsa-mir-1224	2	0.694977	N
hsa-mir-1225	1	0.347488	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	1.737441	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	1	0.347488	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	3.127394	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	25	8.687207	N
hsa-mir-1248	14	4.864836	N
hsa-mir-1249	7	2.432418	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.347488	N
hsa-mir-1254-2	3	1.042465	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.694977	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	2.084930	N
hsa-mir-125a	1845	641.115854	N
hsa-mir-125b-1	1721	598.027309	N
hsa-mir-125b-2	2010	698.451419	N
hsa-mir-126	8082	2808.400181	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.694977	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	865	300.577352	N
hsa-mir-1269b	419	145.597584	N
hsa-mir-127	1472	511.502730	N
hsa-mir-1270	5	1.737441	N
hsa-mir-1271	9	3.127394	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	6	2.084930	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	298	103.551504	N
hsa-mir-128-2	211	73.320025	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.347488	N
hsa-mir-1285-1	2	0.694977	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	66	22.934226	N
hsa-mir-1288	1	0.347488	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	1.042465	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	1.042465	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	2	0.694977	N
hsa-mir-1294	7	2.432418	N
hsa-mir-1295a	8	2.779906	N
