miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	28408	3690.106402	N
hsa-let-7a-2	28443	3694.652788	N
hsa-let-7a-3	28740	3733.232118	N
hsa-let-7b	50111	6509.255207	N
hsa-let-7c	9783	1270.779743	N
hsa-let-7d	7613	988.903831	N
hsa-let-7e	8208	1066.192388	N
hsa-let-7f-1	15566	2021.972552	N
hsa-let-7f-2	16041	2083.673500	N
hsa-let-7g	10373	1347.418816	N
hsa-let-7i	8275	1074.895469	N
hsa-mir-1-1	12	1.558761	N
hsa-mir-1-2	9	1.169071	N
hsa-mir-100	20218	2626.252156	Y
hsa-mir-101-1	51741	6720.986883	N
hsa-mir-101-2	51427	6680.199308	N
hsa-mir-103a-1	59578	7738.987582	Y
hsa-mir-103a-2	60675	7881.484299	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.129897	N
hsa-mir-105-2	4	0.519587	N
hsa-mir-106a	167	21.692754	Y
hsa-mir-106b	15754	2046.393138	N
hsa-mir-107	934	121.323549	Y
hsa-mir-10a	57652	7488.806474	N
hsa-mir-10b	261716	33996.053477	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	79	10.261842	N
hsa-mir-1181	1	0.129897	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.129897	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	2	0.259793	N
hsa-mir-1197	1	0.129897	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.259793	N
hsa-mir-1225	1	0.129897	N
hsa-mir-1226	24	3.117522	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	23	2.987625	N
hsa-mir-1229	11	1.428864	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.129897	N
hsa-mir-1237	1	0.129897	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	2	0.259793	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	16	2.078348	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.259793	N
hsa-mir-1247	228	29.616455	N
hsa-mir-1248	59	7.663907	N
hsa-mir-1249	24	3.117522	N
hsa-mir-1250	2	0.259793	N
hsa-mir-1251	2	0.259793	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.389690	N
hsa-mir-1254-2	4	0.519587	N
hsa-mir-1255a	4	0.519587	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.259793	N
hsa-mir-1257	1	0.129897	N
hsa-mir-1258	6	0.779380	N
hsa-mir-125a	10272	1334.299245	N
hsa-mir-125b-1	4646	603.500223	N
hsa-mir-125b-2	4568	593.368278	N
hsa-mir-126	85771	11141.372720	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.259793	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	53	6.884527	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	50	6.494837	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5909	767.559798	N
hsa-mir-1270	10	1.298967	N
hsa-mir-1271	69	8.962875	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.129897	N
hsa-mir-1276	4	0.519587	N
hsa-mir-1277	30	3.896902	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	599	77.808143	N
hsa-mir-128-2	419	54.426731	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	7	0.909277	N
hsa-mir-1283-2	8	1.039174	N
hsa-mir-1284	9	1.169071	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	511	66.377231	N
hsa-mir-1288	10	1.298967	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	47	6.105146	N
hsa-mir-129-2	72	9.352565	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	15	1.948451	N
hsa-mir-1292	6	0.779380	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.259793	N
hsa-mir-1295a	11	1.428864	N
hsa-mir-1295b	280	36.371085	N
hsa-mir-1296	308	40.008194	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	351	45.593753	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.129897	N
hsa-mir-1304	4	0.519587	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	209	27.148417	N
hsa-mir-1307	18510	2404.388535	N
hsa-mir-130a	7181	932.788443	N
hsa-mir-130b	826	107.294702	N
hsa-mir-132	552	71.702997	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	20	2.597935	Y
hsa-mir-133a-2	8	1.039174	Y
hsa-mir-133b	7	0.909277	Y
hsa-mir-134	2667	346.434588	N
hsa-mir-1343	20	2.597935	N
hsa-mir-135a-1	2	0.259793	N
hsa-mir-135a-2	3	0.389690	N
hsa-mir-135b	834	108.333876	N
hsa-mir-136	333	43.255612	N
hsa-mir-137	10	1.298967	N
hsa-mir-138-1	55	7.144320	N
hsa-mir-138-2	54	7.014424	N
hsa-mir-139	249	32.344287	N
hsa-mir-140	7556	981.499718	N
hsa-mir-141	15643	2031.974601	N
hsa-mir-142	94902	12327.459793	N
hsa-mir-143	313751	40755.230000	N
hsa-mir-144	313	40.657678	N
hsa-mir-145	26227	3406.801627	N
hsa-mir-1468	299	38.839123	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2297	298.372797	N
hsa-mir-146b	4054	526.601357	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	74	9.612358	N
hsa-mir-148a	1889856	245486.120989	N
hsa-mir-148b	2154	279.797564	N
hsa-mir-149	556	72.222584	N
hsa-mir-150	35742	4642.769045	N
hsa-mir-151a	25650	3331.851212	N
hsa-mir-151b	18	2.338141	N
hsa-mir-152	1648	214.069817	N
hsa-mir-153-1	18	2.338141	N
hsa-mir-153-2	362	47.022617	N
hsa-mir-1537	8	1.039174	N
hsa-mir-1538	1	0.129897	N
hsa-mir-1539	2	0.259793	N
hsa-mir-154	35	4.546386	N
hsa-mir-155	9234	1199.466436	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2316	300.840835	N
hsa-mir-15b	4101	532.706504	N
hsa-mir-16-1	6817	885.506032	N
hsa-mir-16-2	7134	926.683296	N
hsa-mir-17	17389	2258.774297	Y
hsa-mir-181a-1	6318	820.687562	N
hsa-mir-181a-2	11393	1479.913484	N
hsa-mir-181b-1	1794	233.034740	N
hsa-mir-181b-2	1220	158.474015	N
hsa-mir-181c	810	105.216354	N
hsa-mir-181d	101	13.119570	N
hsa-mir-182	69610	9042.111612	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	35762	4645.366980	N
hsa-mir-184	211	27.408211	N
hsa-mir-185	385	50.010242	N
hsa-mir-186	6271	814.582415	N
hsa-mir-187	142	18.445336	N
hsa-mir-188	95	12.340190	N
hsa-mir-18a	1127	146.393619	Y
hsa-mir-18b	32	4.156695	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	29	3.767005	N
hsa-mir-190b	21	2.727831	N
hsa-mir-191	13998	1818.294474	N
hsa-mir-1910	1	0.129897	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	2	0.259793	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	4	0.519587	N
hsa-mir-192	9110	1183.359241	Y
hsa-mir-193a	2070	268.886238	N
hsa-mir-193b	1172	152.238972	N
hsa-mir-194-1	804	104.436974	N
hsa-mir-194-2	924	120.024582	N
hsa-mir-195	608	78.977214	N
hsa-mir-196a-1	1105	143.535890	N
hsa-mir-196a-2	1092	141.847233	N
hsa-mir-196b	2054	266.807890	N
hsa-mir-197	12388	1609.160733	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	89	11.560809	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	17220	2236.821749	Y
hsa-mir-199a-2	31040	4031.994605	Y
hsa-mir-199b	43871	5698.699591	Y
hsa-mir-19a	728	94.564822	N
hsa-mir-19b-1	1692	219.785273	N
