miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	32820	7539.336869	N
hsa-let-7a-2	32340	7429.072345	N
hsa-let-7a-3	32476	7460.313960	N
hsa-let-7b	32141	7383.358510	N
hsa-let-7c	4010	921.168216	N
hsa-let-7d	1535	352.616761	N
hsa-let-7e	6174	1418.277448	N
hsa-let-7f-1	10060	2310.960661	N
hsa-let-7f-2	10068	2312.798403	N
hsa-let-7g	2293	526.742823	N
hsa-let-7i	2714	623.453999	N
hsa-mir-1-1	26	5.972662	N
hsa-mir-1-2	24	5.513226	N
hsa-mir-100	47151	10831.422082	Y
hsa-mir-101-1	50229	11538.493346	N
hsa-mir-101-2	50714	11649.906459	N
hsa-mir-103a-1	124397	28576.200137	Y
hsa-mir-103a-2	124534	28607.671471	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	6	1.378307	N
hsa-mir-105-2	8	1.837742	N
hsa-mir-106a	364	83.617264	Y
hsa-mir-106b	12892	2961.521356	N
hsa-mir-107	1498	344.117204	Y
hsa-mir-10a	72196	16584.703370	N
hsa-mir-10b	64869	14901.561346	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.229718	N
hsa-mir-1180	578	132.776865	N
hsa-mir-1181	5	1.148589	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.229718	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.229718	N
hsa-mir-1224	2	0.459436	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	41	9.418428	N
hsa-mir-1227	1	0.229718	N
hsa-mir-1228	17	3.905202	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.459436	N
hsa-mir-1236	1	0.229718	N
hsa-mir-1237	1	0.229718	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.229718	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	7	1.608024	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.459436	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.459436	N
hsa-mir-1247	130	29.863309	N
hsa-mir-1248	51	11.715606	N
hsa-mir-1249	76	17.458550	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.459436	N
hsa-mir-1254-2	4	0.918871	N
hsa-mir-1255a	4	0.918871	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.689153	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	3495	802.863570	N
hsa-mir-125b-1	7746	1779.393766	N
hsa-mir-125b-2	7715	1772.272515	N
hsa-mir-126	4273	981.583987	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	6	1.378307	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	2.986331	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.918871	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	22155	5089.396963	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2156	495.271490	N
hsa-mir-1270	27	6.202380	N
hsa-mir-1271	31	7.121251	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	20	4.594355	N
hsa-mir-1276	4	0.918871	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2019	463.800157	N
hsa-mir-128-2	1714	393.736240	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.229718	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	755	173.436908	N
hsa-mir-1288	15	3.445766	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.229718	N
hsa-mir-129-1	28	6.432097	N
hsa-mir-129-2	32	7.350968	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	6	1.378307	N
hsa-mir-1292	19	4.364637	N
hsa-mir-1293	1	0.229718	N
hsa-mir-1294	4	0.918871	N
hsa-mir-1295a	10	2.297178	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	69	15.850525	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	471	108.197065	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	15	3.445766	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	228	52.375649	N
hsa-mir-1307	16475	3784.600089	N
hsa-mir-130a	998	229.258324	N
hsa-mir-130b	477	109.575371	N
hsa-mir-132	1752	402.465515	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.229718	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	27	6.202380	Y
hsa-mir-133a-2	20	4.594355	Y
hsa-mir-133b	12	2.756613	Y
hsa-mir-134	550	126.344768	N
hsa-mir-1343	22	5.053791	N
hsa-mir-135a-1	6	1.378307	N
hsa-mir-135a-2	1	0.229718	N
hsa-mir-135b	17	3.905202	N
hsa-mir-136	23	5.283508	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	49	11.256170	N
hsa-mir-138-2	46	10.567017	N
hsa-mir-139	284	65.239844	N
hsa-mir-140	75953	17447.752993	N
hsa-mir-141	16	3.675484	N
hsa-mir-142	6423	1475.477170	N
hsa-mir-143	765496	175848.026081	N
hsa-mir-144	2361	542.363630	N
hsa-mir-145	7288	1674.183032	N
hsa-mir-1468	31	7.121251	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	6459	1483.747009	N
hsa-mir-146b	4467	1026.149232	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	0.689153	N
hsa-mir-148a	198434	45583.813903	N
hsa-mir-148b	2433	558.903309	N
hsa-mir-149	10	2.297178	N
hsa-mir-150	27040	6211.568219	N
hsa-mir-151a	43226	9929.779875	N
hsa-mir-151b	15	3.445766	N
hsa-mir-152	1838	422.221242	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	23	5.283508	N
hsa-mir-1537	2	0.459436	N
hsa-mir-1538	2	0.459436	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	9	2.067460	N
hsa-mir-155	3930	902.790795	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	951	218.461589	N
hsa-mir-15b	4090	939.545637	N
hsa-mir-16-1	1816	417.167451	N
hsa-mir-16-2	1855	426.126444	N
hsa-mir-17	29990	6889.235610	Y
hsa-mir-181a-1	7938	1823.499575	N
hsa-mir-181a-2	24334	5589.951961	N
hsa-mir-181b-1	1715	393.965958	N
hsa-mir-181b-2	1794	412.113661	N
hsa-mir-181c	269	61.794077	N
hsa-mir-181d	22	5.053791	N
hsa-mir-182	7551	1734.598803	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1984	455.760035	N
hsa-mir-184	14	3.216049	N
hsa-mir-185	1396	320.685992	N
hsa-mir-186	3137	720.624612	N
hsa-mir-187	3	0.689153	N
hsa-mir-188	85	19.526010	N
hsa-mir-18a	394	90.508797	Y
hsa-mir-18b	44	10.107581	Y
hsa-mir-1908	1	0.229718	N
hsa-mir-1909	1	0.229718	N
hsa-mir-190a	54	12.404759	N
hsa-mir-190b	22	5.053791	N
hsa-mir-191	2187	502.392740	N
hsa-mir-1910	13	2.986331	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	8	1.837742	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1536	352.846479	Y
hsa-mir-193a	1858	426.815597	N
hsa-mir-193b	510	117.156057	N
hsa-mir-194-1	358	82.238958	N
hsa-mir-194-2	395	90.738515	N
hsa-mir-195	182	41.808632	N
hsa-mir-196a-1	236	54.213391	N
hsa-mir-196a-2	252	57.888875	N
hsa-mir-196b	328	75.347425	N
hsa-mir-197	5079	1166.736501	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	82	18.836856	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	2699	620.008233	Y
hsa-mir-199a-2	4380	1006.163787	Y
hsa-mir-199b	5049	1159.844968	Y
hsa-mir-19a	279	64.091255	N
hsa-mir-19b-1	761	174.815215	N
hsa-mir-19b-2	611	140.357551	N
hsa-mir-200a	7	1.608024	N
hsa-mir-200b	2	0.459436	N
hsa-mir-200c	102	23.431211	N
hsa-mir-202	1	0.229718	N
hsa-mir-203a	123	28.255284	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	31	7.121251	N
hsa-mir-205	2	0.459436	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	100	22.971776	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	5681	1305.026592	N
hsa-mir-20b	751	172.518037	N
hsa-mir-21	693379	159281.470414	N
hsa-mir-210	1429	328.266678	N
hsa-mir-211	9014	2070.675885	N
hsa-mir-2110	25	5.742944	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	2	0.459436	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	20	4.594355	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	182	41.808632	N
hsa-mir-214	49	11.256170	N
hsa-mir-215	60	13.783066	Y
hsa-mir-216a	35	8.040122	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	481	110.494242	N
hsa-mir-218-1	50	11.485888	N
hsa-mir-218-2	54	12.404759	N
hsa-mir-219a-1	57	13.093912	N
hsa-mir-219a-2	44	10.107581	N
hsa-mir-219b	4	0.918871	N
hsa-mir-22	260936	59941.633312	N
hsa-mir-221	2989	686.626383	N
hsa-mir-222	465	106.818758	N
