miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	331922	36783.726247	N
hsa-let-7a-2	332039	36796.692233	N
hsa-let-7a-3	331345	36719.782881	N
hsa-let-7b	150389	16666.167975	N
hsa-let-7c	789	87.437290	N
hsa-let-7d	12528	1388.357875	N
hsa-let-7e	26823	2972.535382	N
hsa-let-7f-1	285808	31673.354677	N
hsa-let-7f-2	288315	31951.181401	N
hsa-let-7g	30676	3399.526354	N
hsa-let-7i	9754	1080.942106	N
hsa-mir-1-1	15	1.662306	N
hsa-mir-1-2	18	1.994767	N
hsa-mir-100	3833	424.774564	N
hsa-mir-101-1	224606	24890.925029	N
hsa-mir-101-2	225820	25025.460985	N
hsa-mir-103a-1	178933	19829.425252	Y
hsa-mir-103a-2	180576	20011.503157	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	72	7.979068	Y
hsa-mir-106b	26020	2883.546607	N
hsa-mir-107	1536	170.220123	Y
hsa-mir-10a	4100	454.363608	N
hsa-mir-10b	295	32.692016	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.332461	N
hsa-mir-1180	19	2.105587	N
hsa-mir-1181	2	0.221641	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.110820	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.332461	N
hsa-mir-1224	1	0.110820	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	1.219024	N
hsa-mir-1227	1	0.110820	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	4	0.443282	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.110820	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	10	1.108204	N
hsa-mir-1249	15	1.662306	N
hsa-mir-1250	2	0.221641	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.554102	N
hsa-mir-1254-2	5	0.554102	N
hsa-mir-1255a	8	0.886563	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.110820	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	0.664922	N
hsa-mir-125a	5584	618.821071	N
hsa-mir-125b-1	39	4.321995	N
hsa-mir-125b-2	32	3.546253	N
hsa-mir-126	124801	13830.495777	N
hsa-mir-1260a	1	0.110820	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	358	39.673700	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5193	575.490297	N
hsa-mir-1270	106	11.746962	N
hsa-mir-1271	75	8.311529	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	2	0.221641	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.110820	N
hsa-mir-1275	27	2.992151	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	8	0.886563	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	9834	1089.807738	N
hsa-mir-128-2	8452	936.653956	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	9	0.997384	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.110820	N
hsa-mir-1287	618	68.487002	N
hsa-mir-1288	18	1.994767	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.443282	N
hsa-mir-129-2	1	0.110820	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	8	0.886563	N
hsa-mir-1292	10	1.108204	N
hsa-mir-1293	2	0.221641	N
hsa-mir-1294	8	0.886563	N
hsa-mir-1295a	1	0.110820	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	3	0.332461	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	138	15.293214	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	182	20.169311	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	73	8.089889	N
hsa-mir-1307	9153	1014.339051	N
hsa-mir-130a	1985	219.978479	N
hsa-mir-130b	667	73.917202	N
hsa-mir-132	1357	150.383272	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	9	0.997384	Y
hsa-mir-133a-2	11	1.219024	Y
hsa-mir-133b	7	0.775743	Y
hsa-mir-134	1341	148.610146	N
hsa-mir-1343	1	0.110820	N
hsa-mir-135a-1	63	6.981685	N
hsa-mir-135a-2	10	1.108204	N
hsa-mir-135b	2	0.221641	N
hsa-mir-136	201	22.274899	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	3	0.332461	N
hsa-mir-139	172	19.061107	N
hsa-mir-140	24387	2702.576907	N
hsa-mir-141	414	45.879642	N
hsa-mir-142	110132	12204.871443	N
hsa-mir-143	41697	4620.877897	N
hsa-mir-144	386	42.776671	N
hsa-mir-145	105	11.636141	N
hsa-mir-1468	308	34.132681	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	47087	5218.199811	N
hsa-mir-146b	51558	5713.677785	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.221641	N
hsa-mir-148a	13645	1512.144253	N
hsa-mir-148b	2667	295.557986	N
hsa-mir-149	9	0.997384	N
hsa-mir-150	84430	9356.565720	N
hsa-mir-151a	5696	631.232954	N
hsa-mir-151b	19	2.105587	N
hsa-mir-152	255	28.259200	N
hsa-mir-153-1	133	14.739112	N
hsa-mir-153-2	1535	170.109302	N
hsa-mir-1537	3	0.332461	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	22	2.438049	N
hsa-mir-155	32786	3633.357381	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2603	288.465481	N
hsa-mir-15b	5946	658.938053	N
hsa-mir-16-1	7928	878.584070	N
hsa-mir-16-2	7684	851.543894	N
hsa-mir-17	24231	2685.288925	Y
hsa-mir-181a-1	251394	27859.581697	Y
hsa-mir-181a-2	240661	26670.146427	N
hsa-mir-181b-1	29608	3281.170175	N
hsa-mir-181b-2	25314	2805.307410	N
hsa-mir-181c	5545	614.499075	Y
hsa-mir-181d	1036	114.809926	N
hsa-mir-182	7683	851.433074	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3281	363.601707	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	1829	202.690497	N
hsa-mir-186	4300	476.527687	N
hsa-mir-187	0	0.000000	N
hsa-mir-188	2	0.221641	N
hsa-mir-18a	218	24.158846	Y
hsa-mir-18b	14	1.551485	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	1	0.110820	N
hsa-mir-190a	12	1.329845	N
hsa-mir-190b	39	4.321995	N
hsa-mir-191	22361	2478.054792	N
hsa-mir-1910	2	0.221641	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	6284	696.395345	Y
hsa-mir-193a	1308	144.953073	N
hsa-mir-193b	17	1.883947	N
hsa-mir-194-1	1817	201.360653	N
hsa-mir-194-2	1757	194.711429	N
hsa-mir-195	137	15.182394	N
hsa-mir-196a-1	14	1.551485	N
hsa-mir-196a-2	8	0.886563	N
hsa-mir-196b	43	4.765277	N
hsa-mir-197	3453	382.662815	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	215	23.826384	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	2274	252.005572	Y
hsa-mir-199a-2	4373	484.617575	Y
hsa-mir-199b	7869	872.045667	Y
hsa-mir-19a	312	34.575962	N
hsa-mir-19b-1	1696	187.951385	N
hsa-mir-19b-2	1497	165.898127	N
hsa-mir-200a	23	2.548869	N
hsa-mir-200b	24	2.659689	N
hsa-mir-200c	2373	262.976791	N
hsa-mir-202	151	16.733879	N
hsa-mir-203a	1950	216.099765	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	0	0.000000	N
hsa-mir-205	0	0.000000	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	5	0.554102	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	1	0.110820	N
hsa-mir-20a	7382	818.076136	N
hsa-mir-20b	64	7.092505	N
hsa-mir-21	2278816	252539.283059	N
hsa-mir-210	165	18.285365	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	64	7.092505	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	11	1.219024	N
