miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	57848	13563.299187	N
hsa-let-7a-2	57275	13428.951060	N
hsa-let-7a-3	57438	13467.168764	N
hsa-let-7b	19659	4609.336515	N
hsa-let-7c	3616	847.823431	N
hsa-let-7d	2523	591.553794	N
hsa-let-7e	46904	10997.320306	N
hsa-let-7f-1	51754	12134.472862	N
hsa-let-7f-2	52518	12313.603697	N
hsa-let-7g	3734	875.490236	N
hsa-let-7i	1170	274.323400	N
hsa-mir-1-1	20	4.689289	N
hsa-mir-1-2	9	2.110180	N
hsa-mir-100	449	105.274536	N
hsa-mir-101-1	33575	7872.143725	N
hsa-mir-101-2	33683	7897.465885	N
hsa-mir-103a-1	59280	13899.052271	Y
hsa-mir-103a-2	59064	13848.407951	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	16	3.751431	Y
hsa-mir-106b	999	234.229980	N
hsa-mir-107	372	87.220773	Y
hsa-mir-10a	46507	10904.237921	N
hsa-mir-10b	811223	190202.950079	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	86	20.163942	N
hsa-mir-1180	296	69.401476	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	52	12.192151	N
hsa-mir-1185-2	22	5.158218	N
hsa-mir-1193	2	0.468929	N
hsa-mir-1197	26	6.096076	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	6054	1419.447747	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	2.110180	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	1.172322	N
hsa-mir-1229	12	2.813573	N
hsa-mir-1231	1	0.234464	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.234464	N
hsa-mir-124-2	1	0.234464	N
hsa-mir-124-3	1	0.234464	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
