miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12853	4019.606095	N
hsa-let-7a-2	12881	4028.362726	N
hsa-let-7a-3	13257	4145.951763	N
hsa-let-7b	19769	6182.493807	N
hsa-let-7c	3797	1187.461631	N
hsa-let-7d	1129	353.079848	N
hsa-let-7e	3537	1106.150063	N
hsa-let-7f-1	7649	2392.123786	N
hsa-let-7f-2	8103	2534.106294	N
hsa-let-7g	1401	438.144257	N
hsa-let-7i	1535	480.050989	N
hsa-mir-1-1	390	121.967352	N
hsa-mir-1-2	408	127.596615	N
hsa-mir-100	15466	4836.787355	N
hsa-mir-101-1	9600	3002.273284	N
hsa-mir-101-2	9753	3050.122014	N
hsa-mir-103a-1	26476	8280.019527	Y
hsa-mir-103a-2	26702	8350.698044	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.625474	N
hsa-mir-105-2	2	0.625474	N
hsa-mir-106a	25	7.818420	Y
hsa-mir-106b	1359	425.009312	N
hsa-mir-107	131	40.968521	Y
hsa-mir-10a	15490	4844.293038	N
hsa-mir-10b	48400	15136.461139	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.312737	N
hsa-mir-1180	37	11.571262	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.312737	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.563684	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.938210	N
hsa-mir-1229	6	1.876421	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	3.127368	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	170	53.165256	N
hsa-mir-1248	8	2.501894	N
hsa-mir-1249	6	1.876421	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.312737	N
hsa-mir-1255a	1	0.312737	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.312737	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2115	661.438333	N
hsa-mir-125b-1	1352	422.820154	N
hsa-mir-125b-2	1262	394.673842	N
hsa-mir-126	7205	2253.268647	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.312737	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.312737	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	1.563684	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	40	12.509472	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3222	1007.637971	N
hsa-mir-1270	2	0.625474	N
hsa-mir-1271	6	1.876421	N
