miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	205832	9890.891785	N
hsa-let-7a-2	205675	9883.347428	Y
hsa-let-7a-3	206903	9942.356791	N
hsa-let-7b	255666	12285.576291	N
hsa-let-7c	70752	3399.861905	Y
hsa-let-7d	5055	242.909062	N
hsa-let-7e	24312	1168.270051	N
hsa-let-7f-1	100737	4840.737911	N
hsa-let-7f-2	101549	4879.757131	N
hsa-let-7g	11453	550.353607	N
hsa-let-7i	13798	663.038424	N
hsa-mir-1-1	35	1.681863	N
hsa-mir-1-2	36	1.729916	N
hsa-mir-100	104193	5006.809863	Y
hsa-mir-101-1	147797	7102.122766	N
hsa-mir-101-2	149884	7202.409850	N
hsa-mir-103a-1	576011	27679.187239	Y
hsa-mir-103a-2	576912	27722.483197	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.048053	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	60	2.883194	Y
hsa-mir-106b	24880	1195.564284	N
hsa-mir-107	3707	178.133312	Y
hsa-mir-10a	311508	14968.964583	N
hsa-mir-10b	1065841	51217.099337	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.288319	N
hsa-mir-1180	214	10.283391	N
hsa-mir-1181	6	0.288319	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.240266	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.096106	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	1	0.048053	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	22	1.057171	N
hsa-mir-1225	1	0.048053	N
hsa-mir-1226	33	1.585756	N
hsa-mir-1227	1	0.048053	N
hsa-mir-1228	12	0.576639	N
hsa-mir-1229	19	0.913011	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.144160	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.048053	N
hsa-mir-1238	1	0.048053	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	26	1.249384	N
hsa-mir-1245b	5	0.240266	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	214	10.283391	N
hsa-mir-1248	28	1.345490	N
hsa-mir-1249	18	0.864958	N
hsa-mir-1250	42	2.018236	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	0.432479	N
hsa-mir-1254-2	8	0.384426	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.048053	N
hsa-mir-1257	1	0.048053	N
hsa-mir-1258	30	1.441597	N
hsa-mir-125a	12900	619.886626	N
hsa-mir-125b-1	9356	449.585990	N
hsa-mir-125b-2	9854	473.516497	N
hsa-mir-126	25395	1220.311695	N
hsa-mir-1260a	1	0.048053	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.240266	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	4	0.192213	N
hsa-mir-1266	335	16.097831	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	10	0.480532	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	19792	951.069465	N
hsa-mir-1270	4	0.192213	N
hsa-mir-1271	25	1.201331	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.048053	N
hsa-mir-1275	19	0.913011	N
hsa-mir-1276	7	0.336373	N
hsa-mir-1277	2	0.096106	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3574	171.742233	N
hsa-mir-128-2	2901	139.402411	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	6	0.288319	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	518	24.891571	N
hsa-mir-1288	8	0.384426	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	24	1.153277	N
hsa-mir-129-2	18	0.864958	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	14	0.672745	N
hsa-mir-1292	4	0.192213	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	3	0.144160	N
hsa-mir-1295a	13	0.624692	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	79	3.796205	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	367	17.635534	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	8	0.384426	N
hsa-mir-1305	1	0.048053	N
hsa-mir-1306	69	3.315673	N
hsa-mir-1307	17224	827.668779	N
hsa-mir-130a	1214	58.336617	N
hsa-mir-130b	226	10.860029	N
hsa-mir-132	2709	130.176191	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.096106	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	4	0.192213	N
hsa-mir-133a-2	12	0.576639	Y
hsa-mir-133b	1	0.048053	Y
hsa-mir-134	3327	159.873086	N
hsa-mir-1343	13	0.624692	N
hsa-mir-135a-1	1	0.048053	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	29	1.393544	N
hsa-mir-136	333	16.001725	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	7	0.336373	N
hsa-mir-138-2	7	0.336373	N
hsa-mir-139	1552	74.578608	N
hsa-mir-140	29380	1411.803804	N
hsa-mir-141	33668	1617.856041	N
hsa-mir-142	20514	985.763895	N
hsa-mir-143	662684	31844.104568	N
hsa-mir-144	352	16.914736	N
hsa-mir-145	12981	623.778937	N
hsa-mir-1468	253	12.157466	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	3712	178.373578	N
hsa-mir-146b	15692	754.051235	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	19	0.913011	N
hsa-mir-148a	622218	29899.582691	N
hsa-mir-148b	2559	122.968207	N
hsa-mir-149	2910	139.834890	N
hsa-mir-150	28429	1366.105186	N
hsa-mir-151a	50612	2432.069916	N
hsa-mir-151b	41	1.970182	N
hsa-mir-152	4649	223.399452	N
hsa-mir-153-1	12	0.576639	N
hsa-mir-153-2	231	11.100295	N
hsa-mir-1537	1	0.048053	N
hsa-mir-1538	14	0.672745	N
hsa-mir-1539	2	0.096106	N
hsa-mir-154	99	4.757269	N
hsa-mir-155	6827	328.059380	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	3315	159.296447	N
