miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	206351	20139.487356	N
hsa-let-7a-2	205100	20017.392000	N
hsa-let-7a-3	206263	20130.898714	N
hsa-let-7b	381563	37239.864182	N
hsa-let-7c	36311	3543.888449	N
hsa-let-7d	2125	207.396187	N
hsa-let-7e	16900	1649.409677	N
hsa-let-7f-1	62787	6127.898545	N
hsa-let-7f-2	63089	6157.373203	N
hsa-let-7g	3918	382.389770	N
hsa-let-7i	2808	274.055762	N
hsa-mir-1-1	13	1.268777	N
hsa-mir-1-2	11	1.073580	N
hsa-mir-100	33978	3316.191835	N
hsa-mir-101-1	111293	10861.997113	N
hsa-mir-101-2	112412	10971.209505	N
hsa-mir-103a-1	75998	7417.268441	Y
hsa-mir-103a-2	75257	7344.948170	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	89	8.686240	Y
hsa-mir-106b	2213	215.984829	N
hsa-mir-107	522	50.946263	Y
hsa-mir-10a	157993	15419.833322	N
hsa-mir-10b	838428	81829.068454	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	87	8.491044	N
hsa-mir-1181	1	0.097598	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.585589	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.195196	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.292795	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.780786	N
hsa-mir-1229	4	0.390393	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.097598	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	17	1.659169	N
hsa-mir-1245b	1	0.097598	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	63	6.148687	N
hsa-mir-1248	1	0.097598	N
hsa-mir-1249	15	1.463973	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.195196	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.292795	N
hsa-mir-1254-2	1	0.097598	N
hsa-mir-1255a	1	0.097598	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	0.585589	N
hsa-mir-125a	7675	749.066229	N
hsa-mir-125b-1	3128	305.287188	N
hsa-mir-125b-2	3380	329.881935	N
hsa-mir-126	5406	527.615900	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.487991	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.097598	N
hsa-mir-1266	34	3.318339	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	10259	1001.259993	N
hsa-mir-1270	5	0.487991	N
hsa-mir-1271	6	0.585589	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	0.292795	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	496	48.408710	N
hsa-mir-128-2	308	30.060247	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.292795	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	158	15.420517	N
hsa-mir-1288	2	0.195196	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.097598	N
hsa-mir-129-2	2	0.195196	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	2	0.195196	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.390393	N
hsa-mir-1295a	5	0.487991	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	32	3.123143	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	29	2.830348	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	1	0.097598	N
hsa-mir-1306	11	1.073580	N
hsa-mir-1307	5445	531.422230	N
hsa-mir-130a	760	74.174636	N
hsa-mir-130b	45	4.391919	N
hsa-mir-132	486	47.432728	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	4	0.390393	Y
hsa-mir-133a-2	4	0.390393	Y
hsa-mir-133b	3	0.292795	Y
hsa-mir-134	2332	227.599016	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	12	1.171178	N
hsa-mir-135a-2	16	1.561571	N
hsa-mir-135b	8	0.780786	N
hsa-mir-136	384	37.477711	N
hsa-mir-137	3	0.292795	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	145	14.151740	N
hsa-mir-140	5332	520.393633	N
hsa-mir-141	11451	1117.597054	N
hsa-mir-142	2993	292.111430	N
hsa-mir-143	257316	25113.579912	N
hsa-mir-144	1030	100.526152	N
hsa-mir-145	3984	388.831252	N
hsa-mir-1468	28	2.732750	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	369	36.013738	N
hsa-mir-146b	2670	260.587209	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.195196	N
hsa-mir-148a	306401	29904.187841	N
hsa-mir-148b	836	81.592100	N
hsa-mir-149	624	60.901280	N
hsa-mir-150	842	82.177689	N
hsa-mir-151a	9997	975.689263	N
hsa-mir-151b	4	0.390393	N
hsa-mir-152	2254	219.986356	N
