miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	221189	27489.901744	N
hsa-let-7a-2	220271	27375.810492	Y
hsa-let-7a-3	221845	27571.431004	N
hsa-let-7b	342443	42559.640953	N
hsa-let-7c	269819	33533.755289	Y
hsa-let-7d	53723	6676.823854	N
hsa-let-7e	31376	3899.484862	N
hsa-let-7f-1	21277	2644.356814	N
hsa-let-7f-2	21342	2652.435171	N
hsa-let-7g	3766	468.047552	N
hsa-let-7i	8874	1102.882097	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	1	0.124282	N
hsa-mir-100	32124	3992.448104	Y
hsa-mir-101-1	1049	130.372247	N
hsa-mir-101-2	1092	135.716391	N
hsa-mir-103a-1	184984	22990.257129	Y
hsa-mir-103a-2	184586	22940.792730	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	6	0.745694	N
hsa-mir-105-2	8	0.994259	N
hsa-mir-106a	27	3.355625	Y
hsa-mir-106b	12178	1513.511176	N
hsa-mir-107	1464	181.949447	Y
hsa-mir-10a	137749	17119.777544	N
hsa-mir-10b	471011	58538.381701	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	1033	128.383728	N
hsa-mir-1181	7	0.869977	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.372847	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	25	3.107060	N
hsa-mir-1225	6	0.745694	N
hsa-mir-1226	1638	203.574586	N
hsa-mir-1227	33	4.101319	N
hsa-mir-1228	113	14.043912	N
hsa-mir-1229	106	13.173935	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	10	1.242824	N
hsa-mir-1236	8	0.994259	N
hsa-mir-1237	8	0.994259	N
hsa-mir-1238	14	1.739954	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	3	0.372847	N
hsa-mir-1247	205	25.477894	N
hsa-mir-1248	200	24.856482	N
hsa-mir-1249	30	3.728472	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	14	1.739954	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	163	20.258033	N
hsa-mir-1254-2	147	18.269514	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
