miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	145199	9222.283655	N
hsa-let-7a-2	144951	9206.531988	N
hsa-let-7a-3	145684	9253.088327	N
hsa-let-7b	150368	9550.591593	N
hsa-let-7c	31499	2000.652297	N
hsa-let-7d	8510	540.510843	N
hsa-let-7e	14509	921.536054	N
hsa-let-7f-1	111379	7074.213536	N
hsa-let-7f-2	112993	7176.726403	N
hsa-let-7g	8445	536.382382	N
hsa-let-7i	13113	832.869411	N
hsa-mir-1-1	23	1.460840	N
hsa-mir-1-2	23	1.460840	N
hsa-mir-100	24795	1574.849160	N
hsa-mir-101-1	32325	2053.115511	N
hsa-mir-101-2	33770	2144.894380	N
hsa-mir-103a-1	379343	24093.890100	Y
hsa-mir-103a-2	380349	24157.785976	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1030	65.420231	N
hsa-mir-105-2	1011	64.213450	N
hsa-mir-106a	50	3.175739	Y
hsa-mir-106b	32253	2048.542447	N
hsa-mir-107	1017	64.594539	Y
hsa-mir-10a	68883	4375.089119	N
hsa-mir-10b	474847	30159.806382	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.254059	N
hsa-mir-1180	619	39.315654	N
hsa-mir-1181	3	0.190544	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.381089	N
hsa-mir-1185-2	3	0.190544	N
hsa-mir-1193	2	0.127030	N
hsa-mir-1197	1	0.063515	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	0.508118	N
hsa-mir-1227	1	0.063515	N
hsa-mir-1228	24	1.524355	N
hsa-mir-1229	13	0.825692	N
hsa-mir-1231	8	0.508118	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.190544	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.063515	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	160	10.162366	N
hsa-mir-1245b	1	0.063515	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	3178	201.849995	N
hsa-mir-1248	24	1.524355	N
hsa-mir-1249	22	1.397325	N
hsa-mir-1250	4	0.254059	N
hsa-mir-1251	1	0.063515	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	22	1.397325	N
hsa-mir-1254-2	30	1.905444	N
hsa-mir-1255a	6	0.381089	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	30	1.905444	N
hsa-mir-125a	5932	376.769720	N
hsa-mir-125b-1	2763	175.491358	N
hsa-mir-125b-2	3039	193.021440	N
hsa-mir-126	36199	2299.171799	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	29	1.841929	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	92	5.843360	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	474	30.106009	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	15793	1003.089042	N
hsa-mir-1270	26	1.651384	N
hsa-mir-1271	32	2.032473	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.190544	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	6	0.381089	N
hsa-mir-1277	23	1.460840	N
hsa-mir-1278	1	0.063515	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	579	36.775062	N
hsa-mir-128-2	401	25.469430	N
