miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	33109	8759.316811	N
hsa-let-7a-2	32918	8708.785852	Y
hsa-let-7a-3	32853	8691.589453	N
hsa-let-7b	25748	6811.890702	N
hsa-let-7c	3246	858.761738	Y
hsa-let-7d	1831	484.409347	N
hsa-let-7e	12369	3272.342554	N
hsa-let-7f-1	27016	7147.352773	N
hsa-let-7f-2	27310	7225.133411	N
hsa-let-7g	4016	1062.472932	N
hsa-let-7i	2142	566.687505	N
hsa-mir-1-1	130	34.392799	N
hsa-mir-1-2	101	26.720559	N
hsa-mir-100	10930	2891.640724	N
hsa-mir-101-1	18331	4849.649233	N
hsa-mir-101-2	18495	4893.037072	N
hsa-mir-103a-1	110925	29346.317232	Y
hsa-mir-103a-2	111854	29592.093466	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	559	147.889036	N
hsa-mir-105-2	559	147.889036	N
hsa-mir-106a	139	36.773839	Y
hsa-mir-106b	6151	1627.308517	N
hsa-mir-107	511	135.190156	Y
hsa-mir-10a	59791	15818.306546	N
hsa-mir-10b	130828	34611.854775	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.264560	N
hsa-mir-1180	115	30.424399	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.264560	N
hsa-mir-1185-2	1	0.264560	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.264560	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	3.174720	N
hsa-mir-1227	1	0.264560	N
hsa-mir-1228	4	1.058240	N
hsa-mir-1229	9	2.381040	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.529120	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.264560	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.793680	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	87	23.016719	N
hsa-mir-1248	4	1.058240	N
hsa-mir-1249	2	0.529120	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	53	14.021680	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	2.645600	N
hsa-mir-1254-2	6	1.587360	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.529120	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	3859	1020.937013	N
hsa-mir-125b-1	746	197.361755	N
hsa-mir-125b-2	797	210.854314	N
hsa-mir-126	22658	5994.400323	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	1.058240	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	39	10.317840	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6	1.587360	N
hsa-mir-1269b	3	0.793680	N
hsa-mir-127	2369	626.742624	N
hsa-mir-1270	9	2.381040	N
hsa-mir-1271	10	2.645600	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.793680	N
hsa-mir-1277	12	3.174720	N
hsa-mir-1278	1	0.264560	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	508	134.396476	N
hsa-mir-128-2	380	100.532797	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	0.793680	N
hsa-mir-1283-2	3	0.793680	N
hsa-mir-1284	8	2.116480	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	107	28.307919	N
hsa-mir-1288	3	0.793680	N
hsa-mir-1289-1	4	1.058240	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	1.058240	N
hsa-mir-129-2	8	2.116480	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	1.058240	N
hsa-mir-1292	6	1.587360	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.264560	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	80	21.164799	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.793680	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	103	27.249679	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	28	7.407680	N
hsa-mir-1305	1	0.264560	N
hsa-mir-1306	52	13.757120	N
hsa-mir-1307	16534	4374.234926	N
hsa-mir-130a	1218	322.234072	N
hsa-mir-130b	405	107.146797	N
hsa-mir-132	386	102.120157	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	4	1.058240	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	30	7.936800	Y
hsa-mir-133a-2	37	9.788720	Y
hsa-mir-133b	5	1.322800	Y
hsa-mir-134	528	139.687676	N
hsa-mir-1343	5	1.322800	N
hsa-mir-135a-1	28	7.407680	N
hsa-mir-135a-2	28	7.407680	N
hsa-mir-135b	14	3.703840	N
hsa-mir-136	375	99.209997	N
hsa-mir-137	1	0.264560	N
hsa-mir-138-1	2	0.529120	N
hsa-mir-138-2	4	1.058240	N
hsa-mir-139	305	80.690798	N
hsa-mir-140	6693	1770.700034	N
hsa-mir-141	15223	4027.396775	N
hsa-mir-142	8963	2371.251218	N
hsa-mir-143	443556	117347.172290	N
hsa-mir-144	681	180.165355	N
hsa-mir-145	10042	2656.711451	N
hsa-mir-1468	5	1.322800	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1196	316.413752	N
hsa-mir-146b	2636	697.380142	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	19	5.026640	N
hsa-mir-148a	102610	27146.500890	N
hsa-mir-148b	990	261.914393	N
hsa-mir-149	308	81.484478	N
hsa-mir-150	2901	767.488540	N
hsa-mir-151a	18331	4849.649233	N
hsa-mir-151b	8	2.116480	N
hsa-mir-152	415	109.792397	N
hsa-mir-153-1	3	0.793680	N
hsa-mir-153-2	21	5.555760	N
hsa-mir-1537	1	0.264560	N
hsa-mir-1538	1	0.264560	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	27	7.143120	N
hsa-mir-155	1946	514.833747	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1124	297.365432	N
hsa-mir-15b	1501	397.104550	N
hsa-mir-16-1	1419	375.410630	N
hsa-mir-16-2	1514	400.543830	N
hsa-mir-17	2726	721.190541	Y
hsa-mir-181a-1	4860	1285.761566	N
hsa-mir-181a-2	6254	1654.558197	N
hsa-mir-181b-1	1063	281.227273	N
hsa-mir-181b-2	1021	270.115753	N
hsa-mir-181c	947	250.538313	N
hsa-mir-181d	225	59.525998	N
hsa-mir-182	105739	27974.309108	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	90671	23987.919132	N
hsa-mir-184	2	0.529120	N
hsa-mir-185	734	194.187035	N
hsa-mir-186	1452	384.141110	N
hsa-mir-187	1838	486.261267	N
hsa-mir-188	45	11.905200	N
hsa-mir-18a	171	45.239759	N
hsa-mir-18b	10	2.645600	N
hsa-mir-1908	2	0.529120	N
hsa-mir-1909	0	0.000000	N
