miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	135093	27947.456060	N
hsa-let-7a-2	135169	27963.178612	Y
hsa-let-7a-3	135892	28112.749727	N
hsa-let-7b	255208	52796.328205	N
hsa-let-7c	15123	3128.580889	Y
hsa-let-7d	8886	1838.297281	N
hsa-let-7e	9711	2008.969716	N
hsa-let-7f-1	25360	5246.367211	N
hsa-let-7f-2	25931	5364.493224	N
hsa-let-7g	7656	1583.840196	N
hsa-let-7i	4833	999.830155	N
hsa-mir-1-1	8	1.655005	N
hsa-mir-1-2	8	1.655005	N
hsa-mir-100	160809	33267.471013	Y
hsa-mir-101-1	22092	4570.297493	N
hsa-mir-101-2	22241	4601.121970	N
hsa-mir-103a-1	43357	8969.508801	Y
hsa-mir-103a-2	43733	9047.294056	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	11	2.275632	N
hsa-mir-105-2	11	2.275632	N
hsa-mir-106a	126	26.066336	Y
hsa-mir-106b	12972	2683.591304	N
hsa-mir-107	683	141.296089	Y
hsa-mir-10a	13137	2717.725791	N
hsa-mir-10b	1124439	232619.081261	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.620627	N
hsa-mir-1180	536	110.885364	N
hsa-mir-1181	3	0.620627	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	2	0.413751	N
hsa-mir-1193	1	0.206876	N
hsa-mir-1197	3	0.620627	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.413751	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	18	3.723762	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.413751	N
hsa-mir-1229	3	0.620627	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.206876	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	12	2.482508	N
hsa-mir-124-2	15	3.103135	N
hsa-mir-124-3	10	2.068757	N
hsa-mir-1243	2	0.413751	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.827503	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.413751	N
hsa-mir-1247	45	9.309406	N
hsa-mir-1248	21	4.344389	N
hsa-mir-1249	30	6.206270	N
hsa-mir-1250	8	1.655005	N
hsa-mir-1251	54	11.171287	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	2.275632	N
hsa-mir-1254-2	8	1.655005	N
hsa-mir-1255a	3	0.620627	N
hsa-mir-1255b-1	0	0.000000	N
