miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	9308	4343.656595	N
hsa-let-7a-2	9333	4355.323056	N
hsa-let-7a-3	9319	4348.789838	N
hsa-let-7b	5565	2596.954120	N
hsa-let-7c	559	260.862058	N
hsa-let-7d	1925	898.317463	N
hsa-let-7e	6760	3154.610935	N
hsa-let-7f-1	8796	4104.727483	N
hsa-let-7f-2	9118	4254.991495	N
hsa-let-7g	809	377.526664	N
hsa-let-7i	504	235.195845	N
hsa-mir-1-1	4	1.866634	N
hsa-mir-1-2	4	1.866634	N
hsa-mir-100	893	416.725971	N
hsa-mir-101-1	3790	1768.635421	N
hsa-mir-101-2	3794	1770.502054	N
hsa-mir-103a-1	43973	20520.370807	Y
hsa-mir-103a-2	43847	20461.571846	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	1.399975	N
hsa-mir-105-2	3	1.399975	N
hsa-mir-106a	116	54.132377	Y
hsa-mir-106b	776	362.126936	N
hsa-mir-107	144	67.198813	Y
hsa-mir-10a	363478	169620.070045	N
hsa-mir-10b	1066310	497602.542355	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.466658	N
hsa-mir-1180	39	18.199678	N
hsa-mir-1181	2	0.933317	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.933317	N
hsa-mir-1185-2	2	0.933317	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	9	4.199926	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	1.866634	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	69	32.199431	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	5.133243	N
hsa-mir-1229	18	8.399852	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.933317	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.933317	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	7	3.266609	N
hsa-mir-1248	2	0.933317	N
hsa-mir-1249	0	0.000000	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	1.399975	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	3.266609	N
hsa-mir-1254-2	5	2.333292	N
hsa-mir-1255a	1	0.466658	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1882	878.251151	N
hsa-mir-125b-1	58	27.066188	N
hsa-mir-125b-2	58	27.066188	N
hsa-mir-126	13801	6440.352887	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.466658	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.933317	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1239	578.189785	N
hsa-mir-1269b	1	0.466658	N
hsa-mir-127	3825	1784.968466	N
hsa-mir-1270	16	7.466535	N
hsa-mir-1271	4	1.866634	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	4	1.866634	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	126	58.798961	N
hsa-mir-128-2	92	42.932575	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.466658	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	35	16.333045	N
hsa-mir-1288	2	0.933317	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.466658	N
hsa-mir-1292	9	4.199926	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	32	14.933070	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	38	17.733020	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	21	9.799827	N
hsa-mir-1305	2	0.933317	N
hsa-mir-1306	39	18.199678	N
hsa-mir-1307	4413	2059.363618	N
hsa-mir-130a	724	337.860698	N
hsa-mir-130b	270	125.997774	N
hsa-mir-132	238	111.064705	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2	0.933317	N
hsa-mir-133a-2	1	0.466658	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	2134	995.849073	N
hsa-mir-1343	1	0.466658	N
hsa-mir-135a-1	1	0.466658	N
hsa-mir-135a-2	5	2.333292	N
hsa-mir-135b	33	15.399728	N
hsa-mir-136	144	67.198813	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	51	23.799580	N
hsa-mir-140	1707	796.585927	N
hsa-mir-141	8	3.733267	N
hsa-mir-142	427	199.263146	N
hsa-mir-143	41594	19410.190420	N
hsa-mir-144	33	15.399728	N
hsa-mir-145	1650	769.986397	N
hsa-mir-1468	8	3.733267	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	55	25.666213	N
hsa-mir-146b	4477	2089.229757	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.466658	N
hsa-mir-148a	6574	3067.812469	N
hsa-mir-148b	207	96.598293	N
hsa-mir-149	485	226.329335	N
hsa-mir-150	87	40.599283	N
hsa-mir-151a	1772	826.918724	N
hsa-mir-151b	0	0.000000	N
hsa-mir-152	58	27.066188	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	11	5.133243	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.466658	N
hsa-mir-1539	2	0.933317	N
hsa-mir-154	51	23.799580	N
hsa-mir-155	140	65.332179	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	457	213.262899	N
hsa-mir-15b	409	190.863295	N
hsa-mir-16-1	310	144.664111	N
hsa-mir-16-2	323	150.730670	N
hsa-mir-17	4485	2092.963024	Y
hsa-mir-181a-1	1356	632.788821	N
hsa-mir-181a-2	6564	3063.145884	N
hsa-mir-181b-1	313	146.064086	N
hsa-mir-181b-2	354	165.197082	N
hsa-mir-181c	126	58.798961	N
hsa-mir-181d	17	7.933193	N
hsa-mir-182	12455	5812.230651	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	8245	3847.598692	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	34	15.866386	N
hsa-mir-186	381	177.796859	N
hsa-mir-187	0	0.000000	N
hsa-mir-188	4	1.866634	N
hsa-mir-18a	137	63.932204	Y
hsa-mir-18b	3	1.399975	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	2	0.933317	N
hsa-mir-190b	1	0.466658	N
hsa-mir-191	718	335.060747	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	2	0.933317	N
hsa-mir-192	480	223.996043	N
hsa-mir-193a	129	60.198936	N
hsa-mir-193b	20	9.333168	N
hsa-mir-194-1	210	97.998269	N
hsa-mir-194-2	253	118.064581	N
hsa-mir-195	19	8.866510	N
hsa-mir-196a-1	820	382.659906	N
hsa-mir-196a-2	968	451.725353	N
hsa-mir-196b	1820	849.318329	N
hsa-mir-197	753	351.393792	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	26	12.133119	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	660	307.994559	Y
hsa-mir-199a-2	747	348.593842	Y
hsa-mir-199b	615	286.994930	Y
hsa-mir-19a	215	100.331561	N
hsa-mir-19b-1	408	190.396636	N
hsa-mir-19b-2	398	185.730052	N
hsa-mir-200a	3	1.399975	N
