miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	68010	8613.420421	N
hsa-let-7a-2	67632	8565.546977	N
hsa-let-7a-3	69224	8767.172698	N
hsa-let-7b	330691	41881.791095	N
hsa-let-7c	8105	1026.492759	N
hsa-let-7d	8212	1040.044236	N
hsa-let-7e	6619	838.291865	N
hsa-let-7f-1	15510	1964.330991	N
hsa-let-7f-2	15232	1929.122480	N
hsa-let-7g	5338	676.054083	N
hsa-let-7i	3397	430.227748	N
hsa-mir-1-1	10	1.266493	N
hsa-mir-1-2	5	0.633247	N
hsa-mir-100	12251	1551.580850	Y
hsa-mir-101-1	35414	4485.159106	N
hsa-mir-101-2	36102	4572.293840	N
hsa-mir-103a-1	66674	8444.216926	Y
hsa-mir-103a-2	66685	8445.610069	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	8	1.013195	N
hsa-mir-105-2	1	0.126649	N
hsa-mir-106a	91	11.525088	Y
hsa-mir-106b	6639	840.824852	N
hsa-mir-107	620	78.522580	Y
hsa-mir-10a	129052	16344.348363	N
hsa-mir-10b	416544	52755.015376	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.126649	N
hsa-mir-1180	536	67.884037	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.253299	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.506597	N
hsa-mir-1225	2	0.253299	N
hsa-mir-1226	68	8.612154	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	19	2.406337	N
hsa-mir-1229	24	3.039584	N
hsa-mir-1231	2	0.253299	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.253299	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.126649	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	12	1.519792	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	172	21.783683	N
hsa-mir-1248	15	1.899740	N
hsa-mir-1249	32	4.052778	N
hsa-mir-1250	18	2.279688	N
hsa-mir-1251	107	13.551478	N
hsa-mir-1252	1	0.126649	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	1.013195	N
hsa-mir-1254-2	5	0.633247	N
hsa-mir-1255a	7	0.886545	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.126649	N
hsa-mir-125a	10275	1301.321788	N
hsa-mir-125b-1	2797	354.238155	N
hsa-mir-125b-2	2900	367.283035	N
hsa-mir-126	69097	8751.088234	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.506597	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.126649	N
hsa-mir-1266	272	34.448616	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	47	5.952518	N
hsa-mir-1269b	5	0.633247	N
hsa-mir-127	6626	839.178411	N
hsa-mir-1270	19	2.406337	N
hsa-mir-1271	26	3.292882	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	6	0.759896	N
hsa-mir-1276	2	0.253299	N
hsa-mir-1277	3	0.379948	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	681	86.248189	N
hsa-mir-128-2	419	53.066066	N
hsa-mir-1281	0	0.000000	N
