miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	59087	7011.259879	N
hsa-let-7a-2	59421	7050.892299	Y
hsa-let-7a-3	60274	7152.109228	N
hsa-let-7b	112313	13327.053849	N
hsa-let-7c	12345	1464.856960	Y
hsa-let-7d	2916	346.012385	N
hsa-let-7e	6064	719.553877	N
hsa-let-7f-1	15483	1837.211852	N
hsa-let-7f-2	15680	1860.587860	N
hsa-let-7g	3450	409.376793	N
hsa-let-7i	3470	411.749992	N
hsa-mir-1-1	79	9.374135	N
hsa-mir-1-2	99	11.747334	N
hsa-mir-100	83797	9943.346998	Y
hsa-mir-101-1	71081	8434.467200	N
hsa-mir-101-2	72208	8568.196953	N
hsa-mir-103a-1	96511	11451.989476	Y
hsa-mir-103a-2	95899	11379.369593	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	430	51.023774	N
hsa-mir-105-2	422	50.074495	N
hsa-mir-106a	39	4.627738	Y
hsa-mir-106b	4604	546.310364	N
hsa-mir-107	517	61.347189	Y
hsa-mir-10a	286369	33980.528378	N
hsa-mir-10b	569134	67533.406333	N
hsa-mir-1178	1	0.118660	N
hsa-mir-1179	1	0.118660	N
hsa-mir-1180	107	12.696614	N
hsa-mir-1181	1	0.118660	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.118660	N
hsa-mir-1185-2	1	0.118660	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.118660	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	0.593300	N
hsa-mir-1225	1	0.118660	N
hsa-mir-1226	7	0.830620	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.711960	N
hsa-mir-1229	4	0.474640	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.118660	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	0.830620	N
hsa-mir-1245b	1	0.118660	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	143	16.968371	N
hsa-mir-1248	5	0.593300	N
hsa-mir-1249	7	0.830620	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.237320	N
hsa-mir-1254-2	2	0.237320	N
hsa-mir-1255a	5	0.593300	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	0.949280	N
hsa-mir-125a	6369	755.745158	N
hsa-mir-125b-1	3738	443.550856	N
hsa-mir-125b-2	3746	444.500136	N
hsa-mir-126	34149	4052.118294	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.118660	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.305259	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.118660	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	38	4.509078	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1395	165.530616	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3354	397.985439	N
hsa-mir-1270	25	2.966499	N
hsa-mir-1271	22	2.610519	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.118660	N
hsa-mir-1275	2	0.237320	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	0.355980	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	794	94.215992	N
hsa-mir-128-2	515	61.109869	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	0.355980	N
hsa-mir-1283-2	1	0.118660	N
hsa-mir-1284	5	0.593300	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	211	25.037247	N
hsa-mir-1288	5	0.593300	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	10	1.186599	N
