miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	36293	9163.006228	N
hsa-let-7a-2	36387	9186.738699	N
hsa-let-7a-3	36118	9118.823435	N
hsa-let-7b	34129	8616.654439	N
hsa-let-7c	3407	860.175853	N
hsa-let-7d	2809	709.196939	N
hsa-let-7e	21962	5544.814228	N
hsa-let-7f-1	28247	7131.607663	N
hsa-let-7f-2	28443	7181.092391	N
hsa-let-7g	4292	1083.614546	N
hsa-let-7i	1234	311.551806	N
hsa-mir-1-1	127	32.064084	N
hsa-mir-1-2	144	36.356126	N
hsa-mir-100	7223	1823.613203	N
hsa-mir-101-1	16092	4062.797129	N
hsa-mir-101-2	16466	4157.222069	N
hsa-mir-103a-1	105094	26533.407998	Y
hsa-mir-103a-2	105699	26686.154224	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3498	883.150905	N
hsa-mir-105-2	3707	935.917783	N
hsa-mir-106a	32	8.079139	Y
hsa-mir-106b	9269	2340.173166	N
hsa-mir-107	1096	276.710518	Y
hsa-mir-10a	60986	15397.324492	N
hsa-mir-10b	192364	48566.735457	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.252473	N
hsa-mir-1180	431	108.815906	N
hsa-mir-1181	4	1.009892	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.252473	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	22	5.554408	N
hsa-mir-1227	1	0.252473	N
hsa-mir-1228	7	1.767312	N
hsa-mir-1229	8	2.019785	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.252473	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.504946	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.252473	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	92	23.227525	N
hsa-mir-1248	10	2.524731	N
hsa-mir-1249	14	3.534623	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	12	3.029677	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	26	6.564301	N
hsa-mir-1254-2	24	6.059354	N
hsa-mir-1255a	4	1.009892	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
