miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	113633	5585.253550	N
hsa-let-7a-2	111990	5504.497330	N
hsa-let-7a-3	115901	5696.729575	N
hsa-let-7b	249454	12261.084713	N
hsa-let-7c	1493	73.383467	N
hsa-let-7d	13688	672.788280	N
hsa-let-7e	7587	372.913843	N
hsa-let-7f-1	36962	1816.744623	N
hsa-let-7f-2	38143	1874.792764	N
hsa-let-7g	6742	331.380668	N
hsa-let-7i	7364	361.953017	N
hsa-mir-1-1	81	3.981287	N
hsa-mir-1-2	82	4.030438	N
hsa-mir-100	5979	293.877931	N
hsa-mir-101-1	90027	4424.978848	N
hsa-mir-101-2	90746	4460.318910	N
hsa-mir-103a-1	512677	25198.938992	Y
hsa-mir-103a-2	512684	25199.283054	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	73	3.588073	N
hsa-mir-105-2	47	2.310129	N
hsa-mir-106a	174	8.552393	Y
hsa-mir-106b	38795	1906.839664	N
hsa-mir-107	4392	215.874205	Y
hsa-mir-10a	6655	327.104471	N
hsa-mir-10b	73201	3597.952577	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	619	30.424894	N
hsa-mir-1180	2316	113.835305	N
hsa-mir-1181	3	0.147455	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.098303	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.049152	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	978	48.070349	N
hsa-mir-1225	5	0.245758	N
hsa-mir-1226	43	2.113523	N
hsa-mir-1227	1	0.049152	N
hsa-mir-1228	3	0.147455	N
hsa-mir-1229	25	1.228792	N
hsa-mir-1231	1	0.049152	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.049152	N
hsa-mir-1237	1	0.049152	N
hsa-mir-1238	1	0.049152	N
hsa-mir-124-1	36	1.769461	N
hsa-mir-124-2	31	1.523702	N
hsa-mir-124-3	18	0.884730	N
hsa-mir-1243	2	0.098303	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.294910	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.098303	N
hsa-mir-1247	21	1.032185	N
hsa-mir-1248	23	1.130489	N
hsa-mir-1249	8	0.393213	N
hsa-mir-1250	2	0.098303	N
hsa-mir-1251	77	3.784680	N
hsa-mir-1252	5	0.245758	N
hsa-mir-1253	1	0.049152	N
hsa-mir-1254-1	17	0.835579	N
hsa-mir-1254-2	20	0.983034	N
hsa-mir-1255a	6	0.294910	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.049152	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.147455	N
hsa-mir-125a	6618	325.285859	N
hsa-mir-125b-1	434	21.331832	N
hsa-mir-125b-2	437	21.479287	N
hsa-mir-126	20108	988.342105	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.049152	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.196607	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.049152	N
hsa-mir-1266	19	0.933882	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	39	1.916916	N
hsa-mir-1269b	15	0.737275	N
hsa-mir-127	3251	159.792132	N
hsa-mir-1270	1	0.049152	N
hsa-mir-1271	164	8.060877	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	4	0.196607	N
hsa-mir-1277	18	0.884730	N
hsa-mir-1278	2	0.098303	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3530	173.505452	N
hsa-mir-128-2	2375	116.735255	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.147455	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	8	0.393213	N
hsa-mir-1287	626	30.768956	N
hsa-mir-1288	20	0.983034	N
hsa-mir-1289-1	2	0.098303	N
hsa-mir-1289-2	0	0.000000	N
