miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	64554	11249.230203	N
hsa-let-7a-2	63789	11115.920709	N
hsa-let-7a-3	64901	11309.698693	N
hsa-let-7b	95669	16671.354282	N
hsa-let-7c	13063	2276.368531	N
hsa-let-7d	3456	602.245246	N
hsa-let-7e	10504	1830.435202	N
hsa-let-7f-1	11696	2038.154049	N
hsa-let-7f-2	11770	2051.049346	N
hsa-let-7g	3014	525.221982	N
hsa-let-7i	5544	966.101748	N
hsa-mir-1-1	2	0.348522	N
hsa-mir-1-2	3	0.522782	N
hsa-mir-100	14902	2596.834100	Y
hsa-mir-101-1	8362	1457.168618	N
hsa-mir-101-2	8452	1472.852088	N
hsa-mir-103a-1	178653	31132.210606	Y
hsa-mir-103a-2	179278	31241.123592	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	8	1.394086	N
hsa-mir-105-2	7	1.219825	N
hsa-mir-106a	632	110.132811	Y
hsa-mir-106b	8870	1545.693093	N
hsa-mir-107	1002	174.609299	Y
hsa-mir-10a	137326	23930.535472	N
hsa-mir-10b	683915	119179.559350	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	1.219825	N
hsa-mir-1180	708	123.376630	N
hsa-mir-1181	3	0.522782	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.348522	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.522782	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	0.871304	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	22	3.833737	N
hsa-mir-1227	1	0.174261	N
hsa-mir-1228	30	5.227823	N
hsa-mir-1229	19	3.310955	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.174261	N
hsa-mir-1236	4	0.697043	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	3	0.522782	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	20	3.485216	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	280	48.793018	N
hsa-mir-1248	32	5.576345	N
hsa-mir-1249	28	4.879302	N
hsa-mir-1250	1	0.174261	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	1.045565	N
hsa-mir-1254-2	3	0.522782	N
hsa-mir-1255a	2	0.348522	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	7280	1268.618457	N
hsa-mir-125b-1	4191	730.326917	N
hsa-mir-125b-2	4369	761.345335	N
hsa-mir-126	44927	7829.013931	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	2.091129	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	14	2.439651	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	9	1.568347	N
hsa-mir-1269b	2	0.348522	N
hsa-mir-127	3165	551.535359	N
hsa-mir-1270	16	2.788172	N
hsa-mir-1271	44	7.667474	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	4	0.697043	N
hsa-mir-1277	2	0.348522	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1023	178.268775	N
hsa-mir-128-2	681	118.671589	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.174261	N
hsa-mir-1284	1	0.174261	N
hsa-mir-1285-1	1	0.174261	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	579	100.896990	N
hsa-mir-1288	13	2.265390	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	494	86.084824	N
hsa-mir-129-2	493	85.910563	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.871304	N
hsa-mir-1292	6	1.045565	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.348522	N
hsa-mir-1295a	6	1.045565	N
hsa-mir-1295b	2	0.348522	N
hsa-mir-1296	23	4.007998	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.174261	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	1651	287.704543	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	7	1.219825	N
hsa-mir-1305	1	0.174261	N
hsa-mir-1306	292	50.884147	N
hsa-mir-1307	24303	4235.059665	N
hsa-mir-130a	729	127.036106	N
hsa-mir-130b	804	140.105665	N
hsa-mir-132	1855	323.253741	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	10	1.742608	N
hsa-mir-133a-2	9	1.568347	Y
hsa-mir-133b	1	0.174261	Y
hsa-mir-134	3577	623.330800	N
hsa-mir-1343	42	7.318953	N
hsa-mir-135a-1	22	3.833737	N
hsa-mir-135a-2	3	0.522782	N
hsa-mir-135b	65	11.326951	N
hsa-mir-136	122	21.259815	N
hsa-mir-137	1	0.174261	N
hsa-mir-138-1	37	6.447649	N
hsa-mir-138-2	21	3.659476	N
hsa-mir-139	642	111.875419	N
hsa-mir-140	16345	2848.292401	N
hsa-mir-141	20	3.485216	N
hsa-mir-142	20409	3556.488199	N
hsa-mir-143	253412	44159.772039	N
hsa-mir-144	591	102.988119	N
hsa-mir-145	10124	1764.216107	N
hsa-mir-1468	45	7.841735	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	19961	3478.419371	N
hsa-mir-146b	10468	1824.161814	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	312303	54422.163461	N
hsa-mir-148b	2105	366.818936	N
