miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	147520	12194.563467	N
hsa-let-7a-2	147992	12233.580779	Y
hsa-let-7a-3	147525	12194.976786	N
hsa-let-7b	135826	11227.893014	N
hsa-let-7c	10810	893.595655	Y
hsa-let-7d	9190	759.680303	N
hsa-let-7e	23861	1972.440882	N
hsa-let-7f-1	134906	11151.842320	N
hsa-let-7f-2	135680	11215.824099	N
hsa-let-7g	12015	993.205532	N
hsa-let-7i	8415	695.615859	N
hsa-mir-1-1	41	3.389216	N
hsa-mir-1-2	47	3.885199	N
hsa-mir-100	48140	3979.435231	Y
hsa-mir-101-1	76242	6302.453280	N
hsa-mir-101-2	76979	6363.376499	N
hsa-mir-103a-1	74099	6125.304761	Y
hsa-mir-103a-2	74631	6169.281901	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.082664	N
hsa-mir-106a	25	2.066595	Y
hsa-mir-106b	4597	380.005479	N
hsa-mir-107	782	64.643090	Y
hsa-mir-10a	627468	51868.887942	N
hsa-mir-10b	437405	36157.558521	N
hsa-mir-1178	1	0.082664	N
hsa-mir-1179	1	0.082664	N
hsa-mir-1180	322	26.617743	N
hsa-mir-1181	7	0.578647	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.082664	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.330655	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.330655	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	1.074629	N
hsa-mir-1229	3	0.247991	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.082664	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.082664	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.165328	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
