miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	101933	15622.396950	N
hsa-let-7a-2	101202	15510.362848	Y
hsa-let-7a-3	101786	15599.867521	N
hsa-let-7b	138591	21240.654310	N
hsa-let-7c	8834	1353.911438	Y
hsa-let-7d	6025	923.400092	N
hsa-let-7e	6740	1032.982012	N
hsa-let-7f-1	33400	5118.931633	N
hsa-let-7f-2	34475	5283.687666	N
hsa-let-7g	15055	2307.350770	N
hsa-let-7i	3177	486.911551	N
hsa-mir-1-1	109	16.705495	N
hsa-mir-1-2	125	19.157678	N
hsa-mir-100	8748	1340.730956	Y
hsa-mir-101-1	15743	2412.794632	N
hsa-mir-101-2	16231	2487.586208	N
hsa-mir-103a-1	23886	3660.802425	Y
hsa-mir-103a-2	24220	3711.991741	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	10	1.532614	N
hsa-mir-105-2	15	2.298921	N
hsa-mir-106a	93	14.253313	Y
hsa-mir-106b	4754	728.604820	N
hsa-mir-107	295	45.212121	Y
hsa-mir-10a	409848	62813.888980	N
hsa-mir-10b	704798	108018.346619	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.306523	N
hsa-mir-1180	69	10.575038	N
hsa-mir-1181	1	0.153261	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.306523	N
hsa-mir-1185-2	1	0.153261	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.153261	N
hsa-mir-1225	2	0.306523	N
hsa-mir-1226	12	1.839137	N
hsa-mir-1227	4	0.613046	N
hsa-mir-1228	6	0.919569	N
hsa-mir-1229	7	1.072830	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.153261	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	2	0.306523	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	1.992399	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	56	8.582640	N
hsa-mir-1248	4	0.613046	N
hsa-mir-1249	13	1.992399	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.766307	N
hsa-mir-1254-2	5	0.766307	N
hsa-mir-1255a	3	0.459784	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.153261	N
hsa-mir-1257	1	0.153261	N
hsa-mir-1258	3	0.459784	N
hsa-mir-125a	6778	1038.805946	N
hsa-mir-125b-1	3156	483.693061	N
hsa-mir-125b-2	3362	515.264915	N
hsa-mir-126	30449	4666.657164	N
