miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	51389	6365.424334	N
hsa-let-7a-2	51394	6366.043671	N
hsa-let-7a-3	52159	6460.802270	N
hsa-let-7b	147679	18292.620993	N
hsa-let-7c	17202	2130.767857	N
hsa-let-7d	4028	498.938084	N
hsa-let-7e	8930	1106.136319	N
hsa-let-7f-1	10358	1283.019036	N
hsa-let-7f-2	10407	1289.088541	N
hsa-let-7g	2890	357.976927	N
hsa-let-7i	3590	444.684142	N
hsa-mir-1-1	12	1.486409	N
hsa-mir-1-2	13	1.610277	N
hsa-mir-100	7845	971.740137	N
hsa-mir-101-1	21931	2716.537023	N
hsa-mir-101-2	22338	2766.951075	N
hsa-mir-103a-1	101859	12617.014482	Y
hsa-mir-103a-2	102104	12647.362007	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	806	99.837164	N
hsa-mir-105-2	841	104.172525	N
hsa-mir-106a	176	21.800671	Y
hsa-mir-106b	8912	1103.906705	N
hsa-mir-107	490	60.695050	Y
hsa-mir-10a	215745	26723.782773	N
hsa-mir-10b	94843	11747.960461	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.247735	N
hsa-mir-1180	166	20.561997	N
hsa-mir-1181	2	0.247735	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.123867	N
hsa-mir-1185-2	2	0.247735	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	28	3.468289	N
hsa-mir-1225	2	0.247735	N
hsa-mir-1226	8	0.990940	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	1.238674	N
hsa-mir-1229	17	2.105747	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.247735	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.123867	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	14	1.734144	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	639	79.151300	N
hsa-mir-1248	8	0.990940	N
hsa-mir-1249	40	4.954698	N
hsa-mir-1250	3	0.371602	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	1.238674	N
hsa-mir-1254-2	17	2.105747	N
hsa-mir-1255a	3	0.371602	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.371602	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	7939	983.383677	N
hsa-mir-125b-1	3303	409.134184	N
hsa-mir-125b-2	3624	448.895635	N
hsa-mir-126	11715	1451.107164	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.123867	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.495470	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	74	9.166191	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.495470	N
hsa-mir-1269b	1474	182.580620	N
hsa-mir-127	7501	929.129735	N
hsa-mir-1270	5	0.619337	N
hsa-mir-1271	26	3.220554	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.247735	N
hsa-mir-1276	3	0.371602	N
hsa-mir-1277	8	0.990940	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	513	63.544001	N
hsa-mir-128-2	378	46.821896	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.123867	N
hsa-mir-1284	1	0.123867	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	434	53.758473	N
hsa-mir-1288	2	0.247735	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.123867	N
hsa-mir-129-1	3	0.371602	N
hsa-mir-129-2	3	0.371602	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.247735	N
hsa-mir-1292	6	0.743205	N
hsa-mir-1293	10	1.238674	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	8	0.990940	N
hsa-mir-1295b	2	0.247735	N
hsa-mir-1296	41	5.078565	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.123867	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	185	22.915478	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.123867	N
hsa-mir-1304	6	0.743205	N
hsa-mir-1305	1	0.123867	N
hsa-mir-1306	94	11.643540	N
hsa-mir-1307	25715	3185.251450	N
hsa-mir-130a	1309	162.142491	N
hsa-mir-130b	279	34.559018	N
hsa-mir-132	480	59.456375	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.123867	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	10	1.238674	N
hsa-mir-133a-2	10	1.238674	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	2119	262.475124	N
hsa-mir-1343	15	1.858012	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	299	37.036367	N
hsa-mir-136	353	43.725209	N
hsa-mir-137	6	0.743205	N
hsa-mir-138-1	12	1.486409	N
hsa-mir-138-2	10	1.238674	N
hsa-mir-139	117	14.492492	N
hsa-mir-140	6896	854.189928	N
hsa-mir-141	22537	2791.600697	N
hsa-mir-142	13592	1683.606366	N
hsa-mir-143	188724	23376.760435	N
hsa-mir-144	282	34.930621	N
hsa-mir-145	10055	1245.487199	N
hsa-mir-1468	52	6.441107	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1002	124.115184	N
hsa-mir-146b	7447	922.440892	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	9	1.114807	N
hsa-mir-148a	174869	21660.576930	N
hsa-mir-148b	610	75.559144	N
hsa-mir-149	4554	564.092363	N
hsa-mir-150	3877	480.234100	N
hsa-mir-151a	25152	3115.514076	N
hsa-mir-151b	14	1.734144	N
hsa-mir-152	2857	353.889302	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	40	4.954698	N
hsa-mir-1537	3	0.371602	N
hsa-mir-1538	1	0.123867	N
hsa-mir-1539	1	0.123867	N
hsa-mir-154	64	7.927517	N
hsa-mir-155	1378	170.689345	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1570	194.471895	N
hsa-mir-15b	3604	446.418286	N
hsa-mir-16-1	2305	285.514470	N
hsa-mir-16-2	2458	304.466190	N
hsa-mir-17	6175	764.881497	Y
hsa-mir-181a-1	12547	1554.164882	N
hsa-mir-181a-2	17460	2162.725659	N
hsa-mir-181b-1	2571	318.463211	N
hsa-mir-181b-2	2620	324.532716	N
hsa-mir-181c	489	60.571183	N
hsa-mir-181d	109	13.501552	N
hsa-mir-182	29925	3706.733410	N
hsa-mir-1825	1	0.123867	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	14806	1833.981449	N
hsa-mir-184	133	16.474371	N
hsa-mir-185	912	112.967113	N
hsa-mir-186	1379	170.813212	N
hsa-mir-187	86	10.652601	N
hsa-mir-188	28	3.468289	N
hsa-mir-18a	178	22.048406	Y
hsa-mir-18b	4	0.495470	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	20	2.477349	N
hsa-mir-190b	6	0.743205	N
hsa-mir-191	2903	359.587204	N
hsa-mir-1910	7	0.867072	N
hsa-mir-1911	1	0.123867	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1628	201.656207	Y
hsa-mir-193a	3225	399.472523	N
hsa-mir-193b	1551	192.118413	N
hsa-mir-194-1	338	41.867198	N
hsa-mir-194-2	394	48.803775	N
hsa-mir-195	98	12.139010	N
hsa-mir-196a-1	406	50.290184	N
hsa-mir-196a-2	465	57.598364	N
hsa-mir-196b	1259	155.949118	N
hsa-mir-197	3082	381.759478	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	149	18.456250	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	13968	1730.180527	Y
hsa-mir-199a-2	22910	2837.803255	Y
hsa-mir-199b	29295	3628.696917	Y
hsa-mir-19a	255	31.586199	N
hsa-mir-19b-1	620	76.797818	N
hsa-mir-19b-2	534	66.145218	N
hsa-mir-200a	14873	1842.280568	N
hsa-mir-200b	10902	1350.402928	N
hsa-mir-200c	115985	14366.766066	N
hsa-mir-202	1	0.123867	N
hsa-mir-203a	478728	59298.816100	N
hsa-mir-203b	1150	142.447566	N
hsa-mir-204	2	0.247735	N
hsa-mir-205	149142	18473.839071	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2798	346.581122	N
hsa-mir-20b	324	40.133053	N
hsa-mir-21	3546719	439323.034663	N
hsa-mir-210	11057	1369.602383	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	14	1.734144	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	3	0.371602	N
hsa-mir-2115	2	0.247735	N
hsa-mir-2116	6	0.743205	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	30	3.716023	N
hsa-mir-214	393	48.679907	N
hsa-mir-215	14	1.734144	Y
hsa-mir-216a	2	0.247735	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	24	2.972819	N
hsa-mir-218-1	80	9.909396	N
hsa-mir-218-2	84	10.404866	N
hsa-mir-219a-1	25	3.096686	N
hsa-mir-219a-2	1	0.123867	N
hsa-mir-219b	2	0.247735	N
hsa-mir-22	720717	89273.376203	N
hsa-mir-221	4676	579.204191	N
hsa-mir-222	1686	208.840519	N
hsa-mir-223	3230	400.091860	N
hsa-mir-224	1693	209.707591	N
hsa-mir-2276	2	0.247735	N
hsa-mir-2277	27	3.344421	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	1247	154.462709	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	22957	2843.625025	Y
hsa-mir-23b	11515	1426.333675	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	9797	1213.529397	N
hsa-mir-24-2	9776	1210.928181	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	98196	12163.288017	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	4471	553.811364	N
hsa-mir-26a-2	4527	560.747941	N
hsa-mir-26b	3914	484.817195	N
hsa-mir-27a	12978	1607.551752	Y
hsa-mir-27b	18016	2231.595960	Y
hsa-mir-28	45102	5586.669682	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	143	17.713045	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	42	5.202433	N
hsa-mir-29a	21505	2663.769490	N
hsa-mir-29b-1	1403	173.786031	Y
hsa-mir-29b-2	1522	188.526257	N
hsa-mir-29c	8833	1094.121177	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	273	33.815814	N
hsa-mir-301b	21	2.601216	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	2	0.247735	N
hsa-mir-3065	187	23.163213	N
hsa-mir-3074	10	1.238674	N
hsa-mir-30a	291755	36138.947568	Y
hsa-mir-30b	4494	556.660316	Y
hsa-mir-30c-1	3989	494.107254	Y
hsa-mir-30c-2	4480	554.926171	N
hsa-mir-30d	47284	5856.948456	N
hsa-mir-30e	78846	9766.452880	Y
hsa-mir-31	2530	313.384646	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	11	1.362542	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	48	5.945638	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	3	0.371602	N
hsa-mir-3130-1	6	0.743205	N
hsa-mir-3130-2	8	0.990940	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	6	0.743205	N
hsa-mir-3137	1	0.123867	N
hsa-mir-3138	2	0.247735	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	3	0.371602	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	1	0.123867	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	2	0.247735	N
hsa-mir-3150a	1	0.123867	N
hsa-mir-3150b	3	0.371602	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	1	0.123867	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
