miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	35528	9769.229183	N
hsa-let-7a-2	35349	9720.009074	N
hsa-let-7a-3	36109	9928.988307	N
hsa-let-7b	114646	31524.517251	N
hsa-let-7c	4553	1251.950587	N
hsa-let-7d	4625	1271.748620	N
hsa-let-7e	2873	789.996494	N
hsa-let-7f-1	8805	2421.134400	N
hsa-let-7f-2	9041	2486.027951	N
hsa-let-7g	9775	2687.857894	N
hsa-let-7i	1113	306.044587	N
hsa-mir-1-1	47	12.923716	N
hsa-mir-1-2	39	10.723934	N
hsa-mir-100	3617	994.576164	Y
hsa-mir-101-1	8800	2419.759536	N
hsa-mir-101-2	8892	2445.057022	N
hsa-mir-103a-1	12169	3346.142477	Y
hsa-mir-103a-2	12146	3339.818106	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	174	47.845245	Y
hsa-mir-106b	2965	815.293980	N
hsa-mir-107	160	43.995628	Y
hsa-mir-10a	445131	122398.861613	N
hsa-mir-10b	810024	222734.465762	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	236	64.893551	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.274973	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	123	33.821639	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	3.299672	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.824918	N
hsa-mir-1229	2	0.549945	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.274973	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	1.099891	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	9	2.474754	N
hsa-mir-1248	16	4.399563	N
hsa-mir-1249	1	0.274973	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	17	4.674535	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	1.649836	N
hsa-mir-1254-2	2	0.549945	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	5527	1519.773972	N
hsa-mir-125b-1	1776	488.351470	N
hsa-mir-125b-2	1779	489.176388	N
hsa-mir-126	10831	2978.229038	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.549945	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	2.199781	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	106	29.147104	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
