miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	55737	15609.496260	N
hsa-let-7a-2	55876	15648.424081	Y
hsa-let-7a-3	55823	15633.581099	N
hsa-let-7b	130463	36536.981010	N
hsa-let-7c	14559	4077.339219	Y
hsa-let-7d	1352	378.636076	N
hsa-let-7e	3565	998.400599	N
hsa-let-7f-1	15244	4269.177763	N
hsa-let-7f-2	15425	4319.867948	N
hsa-let-7g	1558	436.327667	N
hsa-let-7i	1918	537.147924	N
hsa-mir-1-1	4	1.120225	N
hsa-mir-1-2	5	1.400281	N
hsa-mir-100	11293	3162.675445	N
hsa-mir-101-1	16047	4494.062947	N
hsa-mir-101-2	15926	4460.176139	N
hsa-mir-103a-1	19152	5363.637662	Y
hsa-mir-103a-2	19198	5376.520250	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.280056	N
hsa-mir-106a	21	5.881182	Y
hsa-mir-106b	594	166.353424	N
hsa-mir-107	143	40.048046	Y
hsa-mir-10a	120447	33731.937421	N
hsa-mir-10b	287710	80574.989127	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	15	4.200844	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.840169	N
hsa-mir-1185-2	2	0.560113	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	1.400281	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.560113	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.280056	N
hsa-mir-1229	1	0.280056	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.280056	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	15	4.200844	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	51	14.282870	N
hsa-mir-1248	2	0.560113	N
hsa-mir-1249	13	3.640731	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.280056	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	1.120225	N
hsa-mir-125a	4778	1338.108853	N
hsa-mir-125b-1	1991	557.592031	N
hsa-mir-125b-2	2052	574.675464	N
hsa-mir-126	10432	2921.546997	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	1.400281	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	15	4.200844	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	23	6.441294	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4889	1369.195099	N
hsa-mir-1270	6	1.680338	N
hsa-mir-1271	20	5.601125	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
