miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	16982	4733.516036	N
hsa-let-7a-2	17173	4786.754852	N
hsa-let-7a-3	17052	4753.027644	N
hsa-let-7b	15250	4250.743114	N
hsa-let-7c	18924	5274.823782	N
hsa-let-7d	1550	432.042743	N
hsa-let-7e	4614	1286.093687	N
hsa-let-7f-1	9827	2739.150989	N
hsa-let-7f-2	10159	2831.691757	N
hsa-let-7g	1536	428.140421	N
hsa-let-7i	824	229.679497	N
hsa-mir-1-1	1	0.278737	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	928	258.668171	N
hsa-mir-101-1	7962	2219.306011	N
hsa-mir-101-2	8011	2232.964137	N
hsa-mir-103a-1	41212	11487.319685	Y
hsa-mir-103a-2	41324	11518.538257	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	234	65.224517	N
hsa-mir-105-2	250	69.684313	N
hsa-mir-106a	777	216.578846	Y
hsa-mir-106b	11450	3191.541551	N
hsa-mir-107	544	151.633066	Y
hsa-mir-10a	46549	12974.940406	N
hsa-mir-10b	16640	4638.187896	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.557475	N
hsa-mir-1180	274	76.374007	N
hsa-mir-1181	3	0.836212	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.836212	N
hsa-mir-1224	3	0.836212	N
hsa-mir-1225	1	0.278737	N
hsa-mir-1226	20	5.574745	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.557475	N
hsa-mir-1229	4	1.114949	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.278737	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	18	5.017271	N
hsa-mir-124-2	23	6.410957	N
hsa-mir-124-3	25	6.968431	N
hsa-mir-1243	9	2.508635	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1	0.278737	N
hsa-mir-1248	14	3.902322	N
hsa-mir-1249	10	2.787373	N
hsa-mir-1250	1	0.278737	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.278737	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.557475	N
hsa-mir-1254-2	5	1.393686	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.278737	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.557475	N
hsa-mir-125a	2542	708.550098	N
hsa-mir-125b-1	1253	349.257778	N
hsa-mir-125b-2	1678	467.721111	N
hsa-mir-126	2011	560.540616	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	1.393686	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	79	22.020243	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1740	485.002821	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	151	42.089325	N
hsa-mir-1270	30	8.362118	N
hsa-mir-1271	20	5.574745	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	4	1.114949	N
hsa-mir-1277	8	2.229898	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3507	977.531547	N
hsa-mir-128-2	2739	763.461337	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	0.836212	N
hsa-mir-1283-2	5	1.393686	N
hsa-mir-1284	4	1.114949	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.836212	N
hsa-mir-1287	20	5.574745	N
hsa-mir-1288	2	0.557475	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	22	6.132220	N
hsa-mir-129-2	22	6.132220	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	1.114949	N
hsa-mir-1292	2	0.557475	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.278737	N
hsa-mir-1295b	1	0.278737	N
hsa-mir-1296	88	24.528878	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.278737	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	106	29.546149	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.278737	N
hsa-mir-1304	2	0.557475	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	86	23.971404	N
hsa-mir-1307	10191	2840.611349	N
hsa-mir-130a	401	111.773639	N
hsa-mir-130b	132	36.793317	N
hsa-mir-132	577	160.831395	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	0	0.000000	N
hsa-mir-133a-2	1	0.278737	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	59	16.445498	N
hsa-mir-1343	10	2.787373	N
hsa-mir-135a-1	1	0.278737	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	3	0.836212	N
hsa-mir-136	10	2.787373	N
hsa-mir-137	1	0.278737	N
hsa-mir-138-1	1	0.278737	N
hsa-mir-138-2	1	0.278737	N
hsa-mir-139	27	7.525906	N
hsa-mir-140	1332	371.278021	N
hsa-mir-141	4345	1211.113366	N
hsa-mir-142	2012	560.819354	N
hsa-mir-143	37101	10341.430836	N
hsa-mir-144	305	85.014862	N
hsa-mir-145	342	95.328141	N
hsa-mir-1468	49	13.658125	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	56	15.609286	N
hsa-mir-146b	1074	299.363810	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.557475	N
hsa-mir-148a	26234	7312.393104	N
hsa-mir-148b	753	209.889152	N
hsa-mir-149	676	188.426383	N
hsa-mir-150	711	198.182187	N
hsa-mir-151a	19309	5382.137625	N
hsa-mir-151b	5	1.393686	N
hsa-mir-152	484	134.908831	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	3	0.836212	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	2	0.557475	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	1	0.278737	N
hsa-mir-155	376	104.805207	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	331	92.262031	N
hsa-mir-15b	680	189.541332	N
hsa-mir-16-1	602	167.799827	N
hsa-mir-16-2	579	161.388870	N
hsa-mir-17	3080	858.510740	Y
hsa-mir-181a-1	2206	614.894381	N
hsa-mir-181a-2	6140	1711.446736	N
hsa-mir-181b-1	648	180.621740	N
hsa-mir-181b-2	657	183.130375	N
hsa-mir-181c	229	63.830831	N
hsa-mir-181d	43	11.985702	N
hsa-mir-182	169478	47239.832222	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	99606	27763.902857	N
hsa-mir-184	11	3.066110	N
hsa-mir-185	237	66.060729	N
hsa-mir-186	876	244.173834	N
hsa-mir-187	10	2.787373	N
hsa-mir-188	32	8.919592	N
hsa-mir-18a	89	24.807616	Y
hsa-mir-18b	46	12.821914	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	3	0.836212	N
hsa-mir-190a	9	2.508635	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	2698	752.033110	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	3	0.836212	N
hsa-mir-1912	1	0.278737	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	14	3.902322	N
hsa-mir-192	1555	433.436429	Y
hsa-mir-193a	779	217.136320	N
hsa-mir-193b	39	10.870753	N
hsa-mir-194-1	276	76.931482	N
hsa-mir-194-2	317	88.359709	N
hsa-mir-195	12	3.344847	N
hsa-mir-196a-1	1201	334.763441	N
hsa-mir-196a-2	1326	369.605598	N
hsa-mir-196b	3703	1032.164049	N
hsa-mir-197	3398	947.149187	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	22	6.132220	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	292	81.391278	Y
hsa-mir-199a-2	536	149.403168	Y
hsa-mir-199b	721	200.969560	Y
hsa-mir-19a	57	15.888023	N
hsa-mir-19b-1	205	57.141137	N
hsa-mir-19b-2	195	54.353764	N
hsa-mir-200a	48	13.379388	N
hsa-mir-200b	25	6.968431	N
hsa-mir-200c	46846	13057.725370	N
hsa-mir-202	1	0.278737	N
hsa-mir-203a	12901	3595.989305	N
hsa-mir-203b	452	125.989239	N
hsa-mir-204	0	0.000000	N
hsa-mir-205	96957	27025.527873	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	3	0.836212	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1113	310.234563	N
hsa-mir-20b	2697	751.754372	N
hsa-mir-21	1605493	447510.709085	N
hsa-mir-210	5038	1404.278282	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	19	5.296008	N
hsa-mir-2113	23	6.410957	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	1	0.278737	N
hsa-mir-2116	6	1.672424	N
hsa-mir-2117	3	0.836212	N
hsa-mir-212	23	6.410957	N
hsa-mir-214	5	1.393686	N
hsa-mir-215	4	1.114949	Y
hsa-mir-216a	5	1.393686	N
hsa-mir-216b	4	1.114949	N
hsa-mir-217	96	26.758776	N
hsa-mir-218-1	479	133.515144	N
hsa-mir-218-2	463	129.055348	N
hsa-mir-219a-1	16	4.459796	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	6	1.672424	N
hsa-mir-22	128828	35909.162874	N
hsa-mir-221	3205	893.352897	N
hsa-mir-222	648	180.621740	N
hsa-mir-223	150	41.810588	N
hsa-mir-224	5	1.393686	N
hsa-mir-2276	1	0.278737	N
hsa-mir-2277	4	1.114949	N
hsa-mir-2278	1	0.278737	N
hsa-mir-2355	33	9.198329	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	12628	3519.894035	Y
hsa-mir-23b	1107	308.562139	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	3773	1051.675657	N
hsa-mir-24-2	3728	1039.132480	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	144068	40157.118615	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	2113	588.971816	N
hsa-mir-26a-2	2151	599.563832	N
hsa-mir-26b	1232	343.404296	N
hsa-mir-27a	4415	1230.624974	Y
hsa-mir-27b	1528	425.910523	Y
hsa-mir-28	13365	3725.323391	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	3	0.836212	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	0	0.000000	N
hsa-mir-29a	11494	3203.805990	N
hsa-mir-29b-1	458	127.661662	N
hsa-mir-29b-2	522	145.500846	N
hsa-mir-29c	1865	519.844977	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	123	34.284682	N
hsa-mir-301b	3	0.836212	N
hsa-mir-302a	67	18.675396	N
hsa-mir-302b	45	12.543176	N
hsa-mir-302c	2	0.557475	N
hsa-mir-302d	13	3.623584	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	0	0.000000	N
hsa-mir-3065	2005	558.868193	N
hsa-mir-3074	227	63.273357	N
hsa-mir-30a	277898	77460.525230	Y
hsa-mir-30b	461	128.497874	Y
hsa-mir-30c-1	1183	329.746171	Y
hsa-mir-30c-2	2240	624.371447	N
hsa-mir-30d	24686	6880.907836	N
hsa-mir-30e	27979	7798.789611	Y
hsa-mir-31	12	3.344847	N
hsa-mir-3115	1	0.278737	N
hsa-mir-3116-1	1	0.278737	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	1	0.278737	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	67	18.675396	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	16	4.459796	N
hsa-mir-3130-1	43	11.985702	N
hsa-mir-3130-2	36	10.034541	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	7	1.951161	N
hsa-mir-3137	1	0.278737	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	2	0.557475	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	2	0.557475	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	1	0.278737	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	10	2.787373	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	1	0.278737	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	3	0.836212	N
hsa-mir-3158-1	3	0.836212	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	3	0.836212	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	4	1.114949	N
hsa-mir-3174	2	0.557475	N
hsa-mir-3175	1	0.278737	N
hsa-mir-3176	2	0.557475	N
hsa-mir-3177	0	0.000000	N
hsa-mir-3178	3	0.836212	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	1	0.278737	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	1	0.278737	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	1	0.278737	N
hsa-mir-3188	0	0.000000	N
hsa-mir-3189	0	0.000000	N
hsa-mir-3190	2	0.557475	N
hsa-mir-3191	1	0.278737	N
hsa-mir-3192	1	0.278737	N
