miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	83549	10221.717893	N
hsa-let-7a-2	83383	10201.408791	N
hsa-let-7a-3	84267	10309.560877	N
hsa-let-7b	132482	16208.376281	N
hsa-let-7c	7101	868.764662	N
hsa-let-7d	6222	761.224296	N
hsa-let-7e	11013	1347.374345	N
hsa-let-7f-1	26851	3285.058435	N
hsa-let-7f-2	27433	3356.262636	N
hsa-let-7g	2721	332.897993	N
hsa-let-7i	4078	498.918785	N
hsa-mir-1-1	44	5.383135	N
hsa-mir-1-2	53	6.484231	N
hsa-mir-100	23519	2877.408265	N
hsa-mir-101-1	28731	3515.065133	N
hsa-mir-101-2	28856	3530.358131	N
hsa-mir-103a-1	61410	7513.144332	Y
hsa-mir-103a-2	61628	7539.815322	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	516	63.129498	N
hsa-mir-105-2	514	62.884810	N
hsa-mir-106a	85	10.399239	Y
hsa-mir-106b	9176	1122.628438	N
hsa-mir-107	452	55.299483	Y
hsa-mir-10a	28761	3518.735453	N
hsa-mir-10b	83197	10178.652809	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.244688	N
hsa-mir-1180	492	60.193242	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.611720	N
hsa-mir-1185-2	4	0.489376	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.122344	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	0.856408	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	1.590472	N
hsa-mir-1229	1	0.122344	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	2	0.244688	N
hsa-mir-124-3	1	0.122344	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	27	3.303288	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	22	2.691568	N
hsa-mir-1248	7	0.856408	N
hsa-mir-1249	51	6.239543	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.122344	N
hsa-mir-1255a	5	0.611720	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.244688	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.244688	N
hsa-mir-125a	5917	723.909380	N
hsa-mir-125b-1	2292	280.412422	N
hsa-mir-125b-2	2419	295.950108	N
hsa-mir-126	21640	2647.523911	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.122344	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.345784	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	22	2.691568	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3019	369.356501	N
hsa-mir-1269b	1	0.122344	N
hsa-mir-127	12603	1541.901287	N
hsa-mir-1270	11	1.345784	N
hsa-mir-1271	27	3.303288	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
