miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	9672	2079.820643	N
hsa-let-7a-2	9814	2110.355645	Y
hsa-let-7a-3	10177	2188.413429	N
hsa-let-7b	8109	1743.720595	N
hsa-let-7c	37425	8047.693091	Y
hsa-let-7d	1158	249.010784	N
hsa-let-7e	19261	4141.793364	N
hsa-let-7f-1	3006	646.395870	N
hsa-let-7f-2	3210	690.263055	N
hsa-let-7g	2438	524.255865	N
hsa-let-7i	933	200.627860	N
hsa-mir-1-1	20	4.300704	N
hsa-mir-1-2	22	4.730775	N
hsa-mir-100	11798	2536.985520	N
hsa-mir-101-1	7520	1617.064851	N
hsa-mir-101-2	7475	1607.388266	N
hsa-mir-103a-1	65463	14076.850577	Y
hsa-mir-103a-2	65656	14118.352374	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	345	74.187151	N
hsa-mir-105-2	334	71.821763	N
hsa-mir-106a	279	59.994826	Y
hsa-mir-106b	4745	1020.342117	N
hsa-mir-107	198	42.576973	Y
hsa-mir-10a	467759	100584.659258	N
hsa-mir-10b	568634	122276.337030	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	97	20.858416	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	62	13.332184	N
hsa-mir-1185-2	20	4.300704	N
hsa-mir-1193	3	0.645106	N
hsa-mir-1197	58	12.472043	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.860141	N
hsa-mir-1224	88	18.923099	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	72	15.482536	N
hsa-mir-1227	1	0.215035	N
hsa-mir-1228	36	7.741268	N
hsa-mir-1229	46	9.891620	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.430070	N
hsa-mir-1236	4	0.860141	N
hsa-mir-1237	1	0.215035	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	2	0.430070	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	35	7.526233	N
hsa-mir-1245b	1	0.215035	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	462	99.346271	N
hsa-mir-1248	22	4.730775	N
hsa-mir-1249	7	1.505247	N
hsa-mir-1250	1	0.215035	N
hsa-mir-1251	87	18.708064	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.215035	N
hsa-mir-1254-2	3	0.645106	N
hsa-mir-1255a	4	0.860141	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.215035	N
hsa-mir-125a	19166	4121.365018	N
hsa-mir-125b-1	5655	1216.024167	N
hsa-mir-125b-2	5905	1269.782971	N
hsa-mir-126	5719	1229.786421	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	16	3.440564	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	30	6.451057	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	16744	3600.549716	N
hsa-mir-1269b	5	1.075176	N
hsa-mir-127	42410	9119.643661	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	38	8.171338	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	5	1.075176	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	489	105.152222	N
hsa-mir-128-2	337	72.466869	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.215035	N
hsa-mir-1284	1	0.215035	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	414	89.024581	N
hsa-mir-1288	3	0.645106	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	17	3.655599	N
hsa-mir-129-2	27	5.805951	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	27	5.805951	N
hsa-mir-1292	10	2.150352	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	3	0.645106	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	109	23.438839	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.215035	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	331	71.176658	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.215035	N
hsa-mir-1305	11	2.365387	N
hsa-mir-1306	80	17.202818	N
hsa-mir-1307	14420	3100.807866	N
hsa-mir-130a	4009	862.076195	N
hsa-mir-130b	741	159.341098	N
hsa-mir-132	185	39.781516	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	22	4.730775	Y
hsa-mir-133a-2	28	6.020986	Y
hsa-mir-133b	5	1.075176	Y
hsa-mir-134	22456	4828.830890	N
hsa-mir-1343	7	1.505247	N
hsa-mir-135a-1	58	12.472043	N
hsa-mir-135a-2	57	12.257008	N
hsa-mir-135b	225	48.382924	N
hsa-mir-136	3859	829.820912	N
hsa-mir-137	38	8.171338	N
hsa-mir-138-1	16	3.440564	N
hsa-mir-138-2	10	2.150352	N
hsa-mir-139	55	11.826937	N
hsa-mir-140	12480	2683.639540	N
hsa-mir-141	2800	602.098615	N
hsa-mir-142	2594	557.801359	N
hsa-mir-143	54860	11796.832144	N
hsa-mir-144	24	5.160845	N
hsa-mir-145	3685	792.404784	N
hsa-mir-1468	113	24.298980	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	539	115.903983	N
hsa-mir-146b	7278	1565.026328	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.215035	N
hsa-mir-148a	123899	26642.648666	N
hsa-mir-148b	749	161.061379	N
hsa-mir-149	1771	380.827374	N
hsa-mir-150	155	33.330459	N
hsa-mir-151a	9505	2043.909762	N
hsa-mir-151b	7	1.505247	N
hsa-mir-152	1247	268.148919	N
hsa-mir-153-1	1	0.215035	N
hsa-mir-153-2	9	1.935317	N
hsa-mir-1537	1	0.215035	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	2	0.430070	N
hsa-mir-154	847	182.134831	N
hsa-mir-155	1071	230.302720	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	510	109.667962	N
hsa-mir-15b	426	91.605004	N
hsa-mir-16-1	359	77.197644	N
hsa-mir-16-2	415	89.239616	N
hsa-mir-17	6867	1476.646853	Y
hsa-mir-181a-1	6825	1467.615373	N
hsa-mir-181a-2	16488	3545.500700	N
hsa-mir-181b-1	1892	406.846635	N
hsa-mir-181b-2	2114	454.584454	N
hsa-mir-181c	605	130.096308	N
hsa-mir-181d	171	36.771023	N
hsa-mir-182	141968	30528.120048	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	86652	18633.231844	N
hsa-mir-184	26	5.590916	N
hsa-mir-185	168	36.125917	N
hsa-mir-186	2352	505.762836	N
hsa-mir-187	80	17.202818	N
hsa-mir-188	24	5.160845	N
hsa-mir-18a	692	148.804372	N
hsa-mir-18b	9	1.935317	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	1	0.215035	N
hsa-mir-190a	25	5.375880	N
hsa-mir-190b	9	1.935317	N
hsa-mir-191	4581	985.076341	N
hsa-mir-1910	3	0.645106	N
hsa-mir-1911	1	0.215035	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.215035	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	4217	906.803521	Y
hsa-mir-193a	1745	375.236458	N
hsa-mir-193b	99	21.288487	N
hsa-mir-194-1	449	96.550814	N
hsa-mir-194-2	627	134.827083	N
hsa-mir-195	16	3.440564	N
hsa-mir-196a-1	101	21.718557	N
hsa-mir-196a-2	128	27.524508	N
hsa-mir-196b	446	95.905708	N
hsa-mir-197	2973	639.299708	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	23	4.945810	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	34740	7470.323527	Y
hsa-mir-199a-2	52400	11267.845504	Y
hsa-mir-199b	57968	12465.161606	Y
hsa-mir-19a	1195	256.967087	N
hsa-mir-19b-1	1959	421.253995	N
hsa-mir-19b-2	1941	417.383361	N
hsa-mir-200a	1571	337.820330	N
hsa-mir-200b	1541	331.369273	N
hsa-mir-200c	11333	2436.994143	N
hsa-mir-202	1	0.215035	N
hsa-mir-203a	99809	21462.450227	N
hsa-mir-203b	475	102.141729	N
hsa-mir-204	327	70.316517	N
hsa-mir-205	7206	1549.543792	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	223	47.952854	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	3766	809.822637	N
hsa-mir-20b	356	76.552538	N
hsa-mir-21	275550	59252.954745	N
hsa-mir-210	4405	947.230142	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	17	3.655599	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	8	1.720282	N
hsa-mir-2115	2	0.430070	N
hsa-mir-2116	2	0.430070	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	16	3.440564	N
hsa-mir-214	1599	343.841316	N
hsa-mir-215	87	18.708064	Y
hsa-mir-216a	11	2.365387	N
hsa-mir-216b	18	3.870634	N
hsa-mir-217	950	204.283459	N
hsa-mir-218-1	1255	269.869201	N
hsa-mir-218-2	1255	269.869201	N
hsa-mir-219a-1	85	18.277994	N
hsa-mir-219a-2	1	0.215035	N
hsa-mir-219b	12	2.580423	N
hsa-mir-22	177936	38262.506825	N
hsa-mir-221	695	149.449478	N
hsa-mir-222	273	58.704615	N
hsa-mir-223	662	142.353315	N
hsa-mir-224	1850	397.815156	N
hsa-mir-2276	2	0.430070	N
hsa-mir-2277	8	1.720282	N
hsa-mir-2278	1	0.215035	N
hsa-mir-2355	303	65.155672	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	5761	1238.817900	Y
hsa-mir-23b	5541	1191.510151	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	6246	1343.109981	N
hsa-mir-24-2	6369	1369.559313	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	57247	12310.121213	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	11502	2473.335095	N
hsa-mir-26a-2	11298	2429.467910	N
hsa-mir-26b	10856	2334.422343	N
hsa-mir-27a	3592	772.406509	Y
hsa-mir-27b	10913	2346.679351	Y
hsa-mir-28	13945	2998.666137	N
hsa-mir-2861	0	0.000000	N
