miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	27527	7184.383160	N
hsa-let-7a-2	27602	7203.957714	N
hsa-let-7a-3	27702	7230.057119	N
hsa-let-7b	81580	21291.894438	N
hsa-let-7c	3003	783.765126	N
hsa-let-7d	2240	584.626668	N
hsa-let-7e	2230	582.016727	N
hsa-let-7f-1	6528	1703.769146	N
hsa-let-7f-2	6715	1752.575033	N
hsa-let-7g	1366	356.517870	N
hsa-let-7i	2887	753.489817	N
hsa-mir-1-1	6	1.565964	N
hsa-mir-1-2	5	1.304970	N
hsa-mir-100	11184	2918.957433	Y
hsa-mir-101-1	20498	5349.855997	N
hsa-mir-101-2	20348	5310.706889	N
hsa-mir-103a-1	29657	7740.300482	Y
hsa-mir-103a-2	29780	7772.402750	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	22	5.741869	N
hsa-mir-105-2	13	3.392923	N
hsa-mir-106a	38	9.917774	Y
hsa-mir-106b	6141	1602.764449	N
hsa-mir-107	287	74.905292	Y
hsa-mir-10a	105130	27438.304269	N
hsa-mir-10b	35300	9213.089895	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	180	46.978929	N
hsa-mir-1181	2	0.521988	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.260994	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	14	3.653917	N
hsa-mir-1225	2	0.521988	N
hsa-mir-1226	2	0.521988	N
hsa-mir-1227	1	0.260994	N
hsa-mir-1228	6	1.565964	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	2	0.521988	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.260994	N
hsa-mir-1238	1	0.260994	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	2	0.521988	N
hsa-mir-124-3	3	0.782982	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	16	4.175905	N
hsa-mir-1245b	2	0.521988	N
hsa-mir-1246	4	1.043976	N
hsa-mir-1247	113	29.492327	N
hsa-mir-1248	17	4.436899	N
hsa-mir-1249	17	4.436899	N
hsa-mir-1250	1	0.260994	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.260994	N
hsa-mir-1254-2	3	0.782982	N
