miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	26375	7209.321523	N
hsa-let-7a-2	26271	7180.894246	N
hsa-let-7a-3	26700	7298.156764	N
hsa-let-7b	49922	13645.639775	N
hsa-let-7c	4185	1143.924571	N
hsa-let-7d	2604	711.775289	N
hsa-let-7e	1477	403.722005	N
hsa-let-7f-1	10856	2967.370406	N
hsa-let-7f-2	10845	2964.363675	N
hsa-let-7g	2479	677.607888	N
hsa-let-7i	2951	806.623993	N
hsa-mir-1-1	5	1.366696	N
hsa-mir-1-2	5	1.366696	N
hsa-mir-100	24101	6587.748171	Y
hsa-mir-101-1	57905	15827.706646	N
hsa-mir-101-2	58089	15878.001059	N
hsa-mir-103a-1	26339	7199.481312	Y
hsa-mir-103a-2	26284	7184.447655	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	813	222.224773	N
hsa-mir-105-2	806	220.311399	N
hsa-mir-106a	117	31.980687	Y
hsa-mir-106b	6860	1875.106944	N
hsa-mir-107	520	142.136386	Y
hsa-mir-10a	59389	16233.342026	N
hsa-mir-10b	8691	2375.591028	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.546678	N
hsa-mir-1180	522	142.683065	N
hsa-mir-1181	3	0.820018	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.546678	N
hsa-mir-1185-2	2	0.546678	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.273339	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	1.366696	N
hsa-mir-1225	2	0.546678	N
hsa-mir-1226	10	2.733392	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	2.733392	N
hsa-mir-1229	3	0.820018	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.820018	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
