miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	43622	10659.658951	N
hsa-let-7a-2	43774	10696.802322	N
hsa-let-7a-3	44342	10835.601238	N
hsa-let-7b	118731	29013.616222	N
hsa-let-7c	26349	6438.754612	N
hsa-let-7d	38511	9410.713077	N
hsa-let-7e	15126	3696.254213	N
hsa-let-7f-1	1469	358.971138	N
hsa-let-7f-2	1488	363.614060	N
hsa-let-7g	277	67.688908	N
hsa-let-7i	1004	245.341745	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	4821	1178.080230	N
hsa-mir-101-1	123	30.056807	N
hsa-mir-101-2	126	30.789900	N
hsa-mir-103a-1	27780	6788.439908	Y
hsa-mir-103a-2	27891	6815.564343	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	62	15.150586	N
hsa-mir-105-2	55	13.440036	N
hsa-mir-106a	2	0.488729	Y
hsa-mir-106b	2548	622.640205	N
hsa-mir-107	153	37.387736	Y
hsa-mir-10a	24539	5996.455252	N
hsa-mir-10b	8868	2167.022502	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	629	153.705137	N
hsa-mir-1181	4	0.977457	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.733093	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	7	1.710550	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	131	32.011722	N
hsa-mir-1227	2	0.488729	N
hsa-mir-1228	34	8.308386	N
hsa-mir-1229	34	8.308386	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	5	1.221821	N
hsa-mir-1236	1	0.244364	N
hsa-mir-1237	2	0.488729	N
hsa-mir-1238	5	1.221821	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.244364	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.488729	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	192	46.917943	N
hsa-mir-1248	35	8.552750	N
hsa-mir-1249	29	7.086564	N
hsa-mir-1250	5	1.221821	N
hsa-mir-1251	5	1.221821	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	14	3.421100	N
hsa-mir-1254-2	17	4.154193	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.244364	N
hsa-mir-125a	18130	4430.324533	N
hsa-mir-125b-1	1710	417.862932	N
hsa-mir-125b-2	1854	453.051389	N
hsa-mir-126	230	56.203786	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.733093	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.977457	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	427	104.343551	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	19654	4802.735707	N
hsa-mir-1269b	5	1.221821	N
hsa-mir-127	7077	1729.366063	N
hsa-mir-1270	77	18.816050	N
hsa-mir-1271	15	3.665464	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.733093	N
hsa-mir-1276	4	0.977457	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	405	98.967536	N
hsa-mir-128-2	205	50.094679	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.244364	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	53	12.951307	N
hsa-mir-1288	1	0.244364	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	452	110.452658	N
hsa-mir-129-2	486	118.761044	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	9	2.199279	N
hsa-mir-1292	14	3.421100	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.244364	N
hsa-mir-1295a	14	3.421100	N
hsa-mir-1295b	1	0.244364	N
hsa-mir-1296	153	37.387736	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.244364	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	274	66.955815	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	9	2.199279	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	328	80.151486	N
hsa-mir-1307	48121	11759.053880	N
hsa-mir-130a	279	68.177636	N
hsa-mir-130b	203	49.605950	N
hsa-mir-132	1339	327.203781	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	9	2.199279	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	3	0.733093	N
hsa-mir-133a-2	3	0.733093	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	1618	395.381417	N
hsa-mir-1343	27	6.597836	N
hsa-mir-135a-1	25	6.109107	N
hsa-mir-135a-2	8	1.954914	N
hsa-mir-135b	6	1.466186	N
hsa-mir-136	11	2.688007	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	526	128.535615	N
hsa-mir-140	4231	1033.905301	N
hsa-mir-141	195	47.651036	N
hsa-mir-142	24	5.864743	N
hsa-mir-143	6664	1628.443612	N
hsa-mir-144	7	1.710550	N
hsa-mir-145	3648	891.440921	N
hsa-mir-1468	49	11.973850	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	59	14.417493	N
hsa-mir-146b	2493	609.200169	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	3971	970.370586	N
hsa-mir-148b	3306	807.868335	N
hsa-mir-149	290	70.865643	N
hsa-mir-150	6203	1515.791676	N
hsa-mir-151a	9027	2205.876424	N
hsa-mir-151b	0	0.000000	N
hsa-mir-152	52	12.706943	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	3	0.733093	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	3	0.733093	N
hsa-mir-155	809	197.690709	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	39	9.530207	N
hsa-mir-15b	9692	2368.378675	N
hsa-mir-16-1	74	18.082957	N
hsa-mir-16-2	80	19.549143	N
hsa-mir-17	630	153.949501	Y
hsa-mir-181a-1	4996	1220.843980	N
hsa-mir-181a-2	11223	2742.500399	N
hsa-mir-181b-1	501	122.426508	N
hsa-mir-181b-2	578	141.242558	N
hsa-mir-181c	132	32.256086	N
hsa-mir-181d	29	7.086564	N
hsa-mir-182	6374	1557.577969	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	51038	12471.864507	N
hsa-mir-184	1	0.244364	N
hsa-mir-185	78	19.060414	N
hsa-mir-186	316	77.219115	N
hsa-mir-187	171	41.786293	N
hsa-mir-188	0	0.000000	N
hsa-mir-18a	57	13.928764	N
hsa-mir-18b	10	2.443643	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	2	0.488729	N
hsa-mir-190a	4	0.977457	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	2550	623.128933	N
hsa-mir-1910	6	1.466186	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
