miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	21549	5903.982812	N
hsa-let-7a-2	21726	5952.477171	Y
hsa-let-7a-3	21694	5943.709829	N
hsa-let-7b	25766	7059.354083	N
hsa-let-7c	14228	3898.179379	Y
hsa-let-7d	1927	527.958368	N
hsa-let-7e	3307	906.049986	N
hsa-let-7f-1	12918	3539.266321	N
hsa-let-7f-2	13347	3656.803498	N
hsa-let-7g	1547	423.846184	N
hsa-let-7i	2507	686.866440	N
hsa-mir-1-1	6	1.643877	N
hsa-mir-1-2	11	3.013774	N
hsa-mir-100	20211	5537.398330	N
hsa-mir-101-1	10964	3003.910508	N
hsa-mir-101-2	10975	3006.924282	N
hsa-mir-103a-1	45389	12435.652505	Y
hsa-mir-103a-2	45495	12464.694325	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	18	4.931630	N
hsa-mir-105-2	16	4.383671	N
hsa-mir-106a	195	53.425990	Y
hsa-mir-106b	2782	762.210784	N
hsa-mir-107	247	67.672920	Y
hsa-mir-10a	45242	12395.377529	N
hsa-mir-10b	61290	16792.199477	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.547959	N
hsa-mir-1180	80	21.918355	N
hsa-mir-1181	1	0.273979	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	1.917856	N
hsa-mir-1185-2	2	0.547959	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	1.095918	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.547959	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.273979	N
hsa-mir-1226	13	3.561733	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	3.287753	N
hsa-mir-1229	2	0.547959	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.273979	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.273979	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	14	3.835712	N
hsa-mir-124-2	16	4.383671	N
hsa-mir-124-3	15	4.109692	N
hsa-mir-1243	7	1.917856	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	26	7.123465	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	4	1.095918	N
hsa-mir-1247	60	16.438766	N
hsa-mir-1248	60	16.438766	N
hsa-mir-1249	7	1.917856	N
hsa-mir-1250	2	0.547959	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	2	0.547959	N
hsa-mir-1254-1	4	1.095918	N
hsa-mir-1254-2	3	0.821938	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.547959	N
hsa-mir-125a	2260	619.193520	N
hsa-mir-125b-1	1906	522.204800	N
hsa-mir-125b-2	1971	540.013463	N
hsa-mir-126	8960	2454.855724	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.547959	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.273979	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	18	4.931630	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1336	366.036523	N
hsa-mir-1269b	1	0.273979	N
hsa-mir-127	9744	2669.655600	N
hsa-mir-1270	44	12.055095	N
hsa-mir-1271	9	2.465815	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.273979	N
hsa-mir-1277	8	2.191835	N
hsa-mir-1278	1	0.273979	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	327	89.591275	N
hsa-mir-128-2	222	60.823434	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	1	0.273979	N
hsa-mir-1283-1	123	33.699470	N
hsa-mir-1283-2	584	160.003989	Y
hsa-mir-1284	1	0.273979	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	118	32.329573	N
hsa-mir-1288	2	0.547959	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	1	0.273979	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	17	4.657650	N
hsa-mir-1292	3	0.821938	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	2	0.547959	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	65	17.808663	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	5	1.369897	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	42	11.507136	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.547959	N
hsa-mir-1305	4	1.095918	N
hsa-mir-1306	48	13.151013	N
hsa-mir-1307	2528	692.620008	N
hsa-mir-130a	774	212.060081	N
hsa-mir-130b	224	61.371393	N
hsa-mir-132	1342	367.680400	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1483	406.311500	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	4	1.095918	N
hsa-mir-133a-2	4	1.095918	Y
hsa-mir-133b	1	0.273979	Y
hsa-mir-134	2179	597.001186	N
hsa-mir-1343	3	0.821938	N
hsa-mir-135a-1	8	2.191835	N
hsa-mir-135a-2	9	2.465815	N
hsa-mir-135b	185	50.686195	N
hsa-mir-136	532	145.757059	N
hsa-mir-137	18	4.931630	N
hsa-mir-138-1	1	0.273979	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	222	60.823434	N
hsa-mir-140	4336	1187.974823	N
hsa-mir-141	14575	3993.250243	N
hsa-mir-142	6121	1677.028112	N
hsa-mir-143	146112	40031.682982	N
hsa-mir-144	1926	527.684389	N
hsa-mir-145	4586	1256.469682	N
hsa-mir-1468	16	4.383671	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	235	64.385167	N
hsa-mir-146b	8663	2373.483832	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	6	1.643877	N
hsa-mir-148a	150163	41141.573667	N
hsa-mir-148b	471	129.044313	N
hsa-mir-149	189	51.782113	N
hsa-mir-150	507	138.907573	N
hsa-mir-151a	6748	1848.813217	N
hsa-mir-151b	3	0.821938	N
hsa-mir-152	2292	627.960861	N
hsa-mir-153-1	7	1.917856	N
hsa-mir-153-2	29	7.945404	N
hsa-mir-1537	1	0.273979	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	145	39.727018	N
hsa-mir-155	1840	504.122158	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	922	252.609038	N
hsa-mir-15b	675	184.936118	N
hsa-mir-16-1	1028	281.650858	N
hsa-mir-16-2	1143	313.158492	N
hsa-mir-17	3294	902.488254	Y
hsa-mir-181a-1	5643	1546.065943	N
hsa-mir-181a-2	6147	1684.151577	N
hsa-mir-181b-1	946	259.184544	N
hsa-mir-181b-2	909	249.047305	N
hsa-mir-181c	186	50.960175	N
hsa-mir-181d	45	12.329075	N
hsa-mir-182	259213	71019.030885	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	48967	13415.950918	N
hsa-mir-184	20	5.479589	N
hsa-mir-185	374	102.468308	N
hsa-mir-186	1355	371.242132	N
hsa-mir-187	14	3.835712	N
hsa-mir-188	14	3.835712	N
hsa-mir-18a	145	39.727018	N
hsa-mir-18b	11	3.013774	N
hsa-mir-1908	1	0.273979	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	16	4.383671	N
hsa-mir-190b	4	1.095918	N
hsa-mir-191	2284	625.769026	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	3	0.821938	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1415	387.680898	Y
hsa-mir-193a	967	264.938112	N
hsa-mir-193b	228	62.467311	N
hsa-mir-194-1	282	77.262200	N
hsa-mir-194-2	300	82.193830	N
hsa-mir-195	19	5.205609	N
hsa-mir-196a-1	115	31.507635	N
hsa-mir-196a-2	154	42.192833	N
hsa-mir-196b	797	218.361608	N
hsa-mir-197	1852	507.409911	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	36	9.863260	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	16689	4572.442765	Y
hsa-mir-199a-2	26519	7265.660596	Y
hsa-mir-199b	32161	8811.452560	Y
hsa-mir-19a	170	46.576504	N
hsa-mir-19b-1	368	100.824432	N
hsa-mir-19b-2	294	80.549953	N
hsa-mir-200a	25	6.849486	N
hsa-mir-200b	16	4.383671	N
hsa-mir-200c	13342	3655.433601	N
hsa-mir-202	59	16.164787	N
hsa-mir-203a	280	76.714241	N
hsa-mir-203b	13	3.561733	N
hsa-mir-204	15	4.109692	N
hsa-mir-205	5103	1398.117049	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	2	0.547959	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2994	820.294424	N
hsa-mir-20b	550	150.688688	N
hsa-mir-21	1366962	374519.474321	N
hsa-mir-210	6160	1687.713310	N
hsa-mir-211	1	0.273979	N
hsa-mir-2110	10	2.739794	N
hsa-mir-2113	10	2.739794	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	5	1.369897	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	84	23.014272	N
hsa-mir-214	367	100.550452	N
hsa-mir-215	9	2.465815	Y
hsa-mir-216a	2	0.547959	N
hsa-mir-216b	2	0.547959	N
hsa-mir-217	184	50.412216	N
hsa-mir-218-1	208	56.987722	N
hsa-mir-218-2	175	47.946401	N
hsa-mir-219a-1	16	4.383671	N
hsa-mir-219a-2	707	193.703459	N
hsa-mir-219b	1	0.273979	N
hsa-mir-22	367535	100697.031077	N
hsa-mir-221	1374	376.447742	N
hsa-mir-222	676	185.210097	N
hsa-mir-223	2191	600.288939	N
hsa-mir-224	33	9.041321	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	5	1.369897	N
hsa-mir-2278	2	0.547959	N
hsa-mir-2355	143	39.179059	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	5171	1416.747650	Y
hsa-mir-23b	979	268.225865	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	2465	675.359303	N
hsa-mir-24-2	2614	716.182239	N
hsa-mir-2467	0	0.000000	N
