miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	41567	5620.093725	N
hsa-let-7a-2	41539	5616.307966	N
hsa-let-7a-3	42286	5717.306595	N
hsa-let-7b	55613	7519.192444	N
hsa-let-7c	8713	1178.046927	N
hsa-let-7d	3231	436.849492	N
hsa-let-7e	12904	1744.693854	N
hsa-let-7f-1	7746	1047.303053	N
hsa-let-7f-2	7766	1050.007166	N
hsa-let-7g	3234	437.255109	N
hsa-let-7i	1447	195.642592	N
hsa-mir-1-1	4	0.540823	N
hsa-mir-1-2	3	0.405617	N
hsa-mir-100	56957	7700.908852	N
hsa-mir-101-1	24733	3344.041622	N
hsa-mir-101-2	25074	3390.146752	N
hsa-mir-103a-1	175030	23665.046903	Y
hsa-mir-103a-2	174620	23609.612582	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	393	53.135825	N
hsa-mir-105-2	417	56.380761	N
hsa-mir-106a	1015	137.233746	Y
hsa-mir-106b	8754	1183.590359	N
hsa-mir-107	1230	166.302963	Y
hsa-mir-10a	19104	2582.968954	N
hsa-mir-10b	1764112	238517.929623	N
hsa-mir-1178	1	0.135206	N
hsa-mir-1179	1	0.135206	N
hsa-mir-1180	296	40.020876	N
hsa-mir-1181	1	0.135206	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	57	7.706723	N
hsa-mir-1185-2	17	2.298496	N
hsa-mir-1193	1	0.135206	N
hsa-mir-1197	14	1.892879	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	0.676028	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	31	4.191376	N
hsa-mir-1227	1	0.135206	N
hsa-mir-1228	12	1.622468	N
hsa-mir-1229	5	0.676028	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.135206	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.135206	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	1.757674	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	61	8.247545	N
hsa-mir-1248	45	6.084255	N
hsa-mir-1249	6	0.811234	N
hsa-mir-1250	4	0.540823	N
hsa-mir-1251	4	0.540823	N
hsa-mir-1252	2	0.270411	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	15	2.028085	N
hsa-mir-1254-2	9	1.216851	N
hsa-mir-1255a	4	0.540823	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.135206	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	13119	1773.763071	N
hsa-mir-125b-1	5881	795.144494	N
hsa-mir-125b-2	6131	828.945910	N
hsa-mir-126	4965	671.296109	N
hsa-mir-1260a	0	0.000000	N
