miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	94501	15223.994953	N
hsa-let-7a-2	94276	15187.747730	N
hsa-let-7a-3	94318	15194.513878	N
hsa-let-7b	125723	20253.820780	N
hsa-let-7c	7430	1196.963868	N
hsa-let-7d	3167	510.199808	N
hsa-let-7e	17938	2889.789753	N
hsa-let-7f-1	55999	9021.370074	N
hsa-let-7f-2	56264	9064.061248	N
hsa-let-7g	3657	589.138205	N
hsa-let-7i	4807	774.401792	N
hsa-mir-1-1	169	27.225692	N
hsa-mir-1-2	199	32.058655	N
hsa-mir-100	12931	2083.168207	Y
hsa-mir-101-1	16792	2705.170562	N
hsa-mir-101-2	16829	2711.131216	N
hsa-mir-103a-1	46289	7457.101008	Y
hsa-mir-103a-2	46392	7473.694182	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	259	41.724582	N
hsa-mir-105-2	236	38.019310	N
hsa-mir-106a	40	6.443951	Y
hsa-mir-106b	4620	744.276322	N
hsa-mir-107	793	127.751325	Y
hsa-mir-10a	24326	3918.888702	N
hsa-mir-10b	69308	11165.433617	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	94	15.143284	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.288790	N
hsa-mir-1185-2	2	0.322198	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.322198	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.161099	N
hsa-mir-1226	8	1.288790	N
hsa-mir-1227	2	0.322198	N
hsa-mir-1228	21	3.383074	N
hsa-mir-1229	3	0.483296	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.161099	N
hsa-mir-1237	1	0.161099	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
