miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	6549	950.247044	N
hsa-let-7a-2	6631	962.145083	N
hsa-let-7a-3	6614	959.678416	N
hsa-let-7b	1455	211.117644	N
hsa-let-7c	960	139.294115	N
hsa-let-7d	668	96.925489	N
hsa-let-7e	10171	1475.792134	N
hsa-let-7f-1	5857	849.839202	N
hsa-let-7f-2	6135	890.176457	N
hsa-let-7g	722	104.760783	N
hsa-let-7i	293	42.513725	N
hsa-mir-1-1	6	0.870588	N
hsa-mir-1-2	9	1.305882	N
hsa-mir-100	242	35.113725	N
hsa-mir-101-1	9752	1414.996056	N
hsa-mir-101-2	9664	1402.227429	N
hsa-mir-103a-1	50403	7313.376356	Y
hsa-mir-103a-2	50425	7316.568513	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	31	4.498039	N
hsa-mir-105-2	23	3.337255	N
hsa-mir-106a	449	65.149019	Y
hsa-mir-106b	12752	1850.290167	N
hsa-mir-107	328	47.592156	Y
hsa-mir-10a	1705302	247435.972589	N
hsa-mir-10b	2447796	355170.394429	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.580392	N
hsa-mir-1180	126	18.282353	N
hsa-mir-1181	1	0.145098	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.145098	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	23	3.337255	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.145098	N
hsa-mir-1229	3	0.435294	N
hsa-mir-1231	1	0.145098	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.145098	N
hsa-mir-124-2	1	0.145098	N
hsa-mir-124-3	1	0.145098	N
hsa-mir-1243	1	0.145098	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.145098	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	64	9.286274	N
hsa-mir-1248	3	0.435294	N
hsa-mir-1249	4	0.580392	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	26	3.772549	N
hsa-mir-1252	2	0.290196	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	1.450980	N
hsa-mir-1254-2	16	2.321569	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	4194	608.541167	N
hsa-mir-125b-1	63	9.141176	N
hsa-mir-125b-2	60	8.705882	N
hsa-mir-126	9236	1340.125469	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.290196	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	73	10.592157	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
