miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	62883	10622.609267	N
hsa-let-7a-2	62304	10524.800785	Y
hsa-let-7a-3	63148	10667.374807	N
hsa-let-7b	89220	15071.628243	N
hsa-let-7c	5123	865.410799	Y
hsa-let-7d	3779	638.373494	N
hsa-let-7e	6695	1130.963361	N
hsa-let-7f-1	37726	6372.923639	N
hsa-let-7f-2	37949	6410.594263	N
hsa-let-7g	2597	438.702293	N
hsa-let-7i	4064	686.517565	N
hsa-mir-1-1	5708	964.232840	N
hsa-mir-1-2	6255	1056.635672	N
hsa-mir-100	14588	2464.300749	Y
hsa-mir-101-1	15327	2589.137481	N
hsa-mir-101-2	15415	2604.003019	N
hsa-mir-103a-1	94061	15889.401750	Y
hsa-mir-103a-2	93845	15852.913612	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	19	3.209605	Y
hsa-mir-106b	3995	674.861632	N
hsa-mir-107	457	77.199441	Y
hsa-mir-10a	15056	2543.358382	N
hsa-mir-10b	158285	26738.541542	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.337853	N
hsa-mir-1180	104	17.568363	N
hsa-mir-1181	1	0.168927	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.506780	N
hsa-mir-1185-2	1	0.168927	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.506780	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.506780	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.182486	N
hsa-mir-1229	1	0.168927	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
