miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	158096	10030.462034	N
hsa-let-7a-2	157714	10006.225896	N
hsa-let-7a-3	157796	10011.428418	N
hsa-let-7b	85601	5430.988643	N
hsa-let-7c	957	60.717236	N
hsa-let-7d	17469	1108.327480	N
hsa-let-7e	1761	111.727328	N
hsa-let-7f-1	135631	8605.161397	N
hsa-let-7f-2	138194	8767.771926	N
hsa-let-7g	12725	807.342560	N
hsa-let-7i	11876	753.477426	N
hsa-mir-1-1	668	42.381519	N
hsa-mir-1-2	701	44.475217	N
hsa-mir-100	1736	110.141193	N
hsa-mir-101-1	246986	15670.122558	N
hsa-mir-101-2	253074	16056.378079	N
hsa-mir-103a-1	1046496	66395.344580	Y
hsa-mir-103a-2	1047668	66469.702575	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	2562	162.547084	Y
hsa-mir-106b	49320	3129.126528	N
hsa-mir-107	2710	171.937001	Y
hsa-mir-10a	13113	831.959371	N
hsa-mir-10b	6102	387.143757	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.253782	N
hsa-mir-1180	293	18.589499	N
hsa-mir-1181	4	0.253782	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.063445	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	11	0.697899	N
hsa-mir-1225	2	0.126891	N
hsa-mir-1226	46	2.918488	N
hsa-mir-1227	1	0.063445	N
hsa-mir-1228	1	0.063445	N
hsa-mir-1229	4	0.253782	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.126891	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.063445	N
hsa-mir-1238	4	0.253782	N
hsa-mir-124-1	5	0.317227	N
hsa-mir-124-2	7	0.444118	N
hsa-mir-124-3	10	0.634454	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	1	0.063445	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	5	0.317227	N
hsa-mir-1247	4	0.253782	N
hsa-mir-1248	700	44.411771	N
hsa-mir-1249	174	11.039497	N
hsa-mir-1250	7	0.444118	N
