miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	67175	12624.409397	N
hsa-let-7a-2	67530	12691.125665	N
hsa-let-7a-3	68393	12853.311974	N
hsa-let-7b	293767	55208.557874	N
hsa-let-7c	6912	1298.993937	N
hsa-let-7d	3109	584.284165	N
hsa-let-7e	13657	2566.603039	N
hsa-let-7f-1	16827	3162.351126	N
hsa-let-7f-2	17131	3219.482804	N
hsa-let-7g	2389	448.972297	N
hsa-let-7i	3014	566.430516	N
hsa-mir-1-1	5	0.939666	N
hsa-mir-1-2	8	1.503465	N
hsa-mir-100	8215	1543.870833	Y
hsa-mir-101-1	22010	4136.408646	N
hsa-mir-101-2	22135	4159.900290	N
hsa-mir-103a-1	55108	10356.620067	Y
hsa-mir-103a-2	55402	10411.872414	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	41	7.705259	N
hsa-mir-105-2	41	7.705259	N
hsa-mir-106a	261	49.050552	Y
hsa-mir-106b	6320	1187.737512	N
hsa-mir-107	358	67.280068	Y
hsa-mir-10a	53119	9982.821031	N
hsa-mir-10b	153361	28821.615921	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.375866	N
hsa-mir-1180	84	15.786385	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.375866	N
hsa-mir-1185-2	1	0.187933	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.375866	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.187933	N
hsa-mir-1224	16	3.006930	N
hsa-mir-1225	4	0.751733	N
hsa-mir-1226	28	5.262128	N
